"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,32.1318,22.5901,52.0591,117.3141,
1,0.28763,0.020421,0.01021,15.825,8.0283,
2,0.30774,0.023418,0.011709,15.8175,0.56011,
3,0.32709,0.020324,0.010162,15.821,0.56038,
4,0.34822,0.014939,0.0074697,15.8277,0.52611,
5,0.36905,0.012017,0.0060083,15.8317,0.52985,
6,0.39168,0.0079672,0.0039836,15.8382,0.50073,
7,0.41545,0.0061045,0.0030522,15.8417,0.50612,
8,0.43798,0.0050201,0.0025101,15.8439,0.51122,
9,0.46547,0.0034202,0.0017101,15.8477,0.48529,
10,0.49166,0.0026526,0.0013263,15.8498,0.49236,
11,0.51675,0.0021969,0.0010985,15.8512,0.49837,
12,0.54623,0.0015101,0.00075507,15.8536,0.47479,
13,0.57296,0.0011762,0.00058809,15.855,0.48287,
14,0.60671,0.0009764,0.0004882,15.8559,0.48954,
15,0.64225,0.00067327,0.00033664,15.8574,0.46766,
16,0.67246,0.00052509,0.00026255,15.8583,0.47637,
17,0.6992,0.00043627,0.00021814,15.8589,0.48352,
18,0.75325,0.00030114,0.00015057,15.8599,0.46281,
19,0.83395,0.000235,0.0001175,15.8605,0.47195,
20,0.8794,0.0001953,9.7652e-05,15.8609,0.47944,
21,0.94255,0.00013486,6.7432e-05,15.8616,0.45954,
22,1.0092,0.00010526,5.2631e-05,15.8619,0.46897,
23,1.0622,8.749e-05,4.3745e-05,15.8622,0.47669,
24,1.1467,6.0424e-05,3.0212e-05,15.8627,0.45734,
25,1.2565,4.7163e-05,2.3582e-05,15.8629,0.46696,
26,1.3316,4.1491e-05,2.0746e-05,15.863,0.47247,
27,1.433,3.152e-05,1.576e-05,15.8633,0.45309,
28,1.4344,3.152e-05,1.576e-05,15.8633,0.45309,
29,1.5794,2.0352e-05,1.0176e-05,15.8636,0.48136,
30,1.5808,2.0352e-05,1.0176e-05,15.8636,0.48136,
