"iter","time","maxviolation","meanviolation","cost",
0,0,9.5442,7.4231,44.9511,
1,0.097976,0.027713,0.013856,30.1152,
2,0.1363,0.028056,0.014028,30.1175,
3,0.16904,0.034438,0.023902,30.1535,
4,0.2167,0.58575,0.3011,29.9673,
5,0.25142,0.30852,0.15894,29.8999,
6,0.48534,0.0055298,0.0027649,29.4936,
7,0.51632,0.37709,0.18868,29.4127,
8,0.54899,3.3156e-05,1.6578e-05,29.4969,
9,0.57028,3.3156e-05,1.6578e-05,29.4969,
10,0.61202,0.37051,0.18594,29.3709,
11,0.63982,0.32367,0.16185,29.4053,
12,0.67877,0.064064,0.032117,29.383,
13,0.70882,1.3995e-05,6.9975e-06,29.3946,
14,0.73854,0.073237,0.036638,29.457,
15,0.76524,4.1734e-06,2.0867e-06,29.4494,
16,0.79941,5.089e-06,2.5445e-06,29.5067,
17,0.82037,0.13982,0.069913,29.5067,
18,0.85556,4.9306e-06,2.4653e-06,29.4969,
19,0.8877,2.1065e-06,1.0532e-06,29.4919,
20,0.90793,2.1065e-06,1.0532e-06,29.4919,
21,0.93987,1.7002e-06,8.5011e-07,29.4603,
22,0.97397,0.26043,0.13021,29.4543,
23,1.0175,0.11971,0.059857,29.4542,
24,1.0581,1.0792e-07,5.3961e-08,29.4538,
25,1.108,1.5231e-08,7.6155e-09,29.4535,
26,1.1445,2.3534e-07,1.1767e-07,29.4508,
27,1.2054,3.3763e-07,1.6881e-07,29.4562,
28,1.2362,2.3377e-08,1.1688e-08,29.4562,
29,1.2613,0.033952,0.016976,29.4489,
30,1.294,0.22629,0.11314,29.4488,
31,1.3153,2.6583e-08,1.3292e-08,29.4488,
