"iter","time","maxviolation","meanviolation","cost",
0,0,15.1517,9.5926,50.2715,
1,0.090578,0.38418,0.24662,44.9763,
2,0.16679,0.051566,0.025783,45.0156,
3,0.23175,0.049741,0.024871,45.0193,
4,0.28468,0.013961,0.0069806,45.1385,
5,0.31751,0.010855,0.0054275,45.1536,
6,0.35597,0.0084775,0.0042387,45.1666,
7,0.38872,0.0066618,0.0033309,45.1777,
8,0.42311,0.005276,0.002638,45.1872,
9,0.45437,0.0042234,0.0021117,45.1951,
10,0.49544,0.0034332,0.0017166,45.2018,
11,0.55685,0.00099688,0.00049844,45.2294,
12,0.60442,0.00078078,0.00039039,45.2331,
13,0.65929,0.00061444,0.00030722,45.2363,
14,0.71287,0.00048667,0.00024334,45.239,
15,0.77211,0.00038892,0.00019446,45.2414,
16,0.81915,0.00031479,0.0001574,45.2433,
17,0.86141,0.00025965,0.00012982,45.245,
18,0.99063,7.4088e-05,3.7044e-05,45.2524,
19,1.1053,5.8287e-05,2.9143e-05,45.2534,
20,1.1854,4.6115e-05,2.3057e-05,45.2542,
21,1.2702,3.6773e-05,1.8387e-05,45.2549,
22,1.3461,2.9654e-05,1.4827e-05,45.2555,
23,1.4191,2.4311e-05,1.2156e-05,45.256,
24,1.5473,7.0972e-06,3.5486e-06,45.2583,
25,1.6134,5.5785e-06,2.7892e-06,45.2586,
26,1.7066,4.4072e-06,2.2036e-06,45.2588,
27,1.7687,3.5066e-06,1.7533e-06,45.2591,
28,1.8806,2.8182e-06,1.4091e-06,45.2592,
29,2.004,2.2984e-06,1.1492e-06,45.2594,
30,2.1872,6.8199e-07,3.4099e-07,45.2601,
31,2.3101,5.355e-07,2.6775e-07,45.2602,
32,2.3223,5.355e-07,2.6775e-07,45.2602,
