"iter","time","maxviolation","meanviolation","cost",
0,0,20.3045,13.9944,51.9273,
1,0.49461,0.10901,0.065557,29.0089,
2,1.7887,0.057137,0.028569,29.2897,
3,2.066,0.11542,0.083313,29.4954,
4,2.283,0.00089778,0.00044889,30.272,
5,2.3303,0.15495,0.077924,30.272,
6,2.6276,0.57103,0.28567,30.101,
7,3.3582,0.0018337,0.00091683,30.0387,
8,4.8018,0.0002727,0.00013635,31.0005,
9,6.4625,0.00088375,0.00044188,34.7122,
10,8.1171,0.012643,0.0063217,29.663,
11,9.5842,7.7675e-06,3.8838e-06,30.4832,
12,9.7878,0.0043143,0.0021572,30.6341,
13,11.6179,0.00034396,0.00017198,31.3458,
14,12.5145,0.22614,0.11428,34.4378,
15,13.8203,0.00092501,0.00046251,30.0265,
16,16.1401,0.00016252,8.1262e-05,31.1513,
17,18.3773,0.00049996,0.00024998,31.9411,
18,20.8659,0.0005004,0.0002502,31.9119,
19,23.5293,0.00050043,0.00025021,31.9028,
20,26.3027,0.00050044,0.00025022,31.8982,
21,29.1816,0.00050044,0.00025022,31.897,
22,32.2055,0.00050044,0.00025022,31.8967,
23,35.3229,0.00050044,0.00025022,31.8966,
24,38.5915,0.00050044,0.00025022,31.8966,
25,38.6222,0.00050044,0.00025022,31.8966,
26,38.6551,0.00050044,0.00025022,31.8966,
27,38.6898,0.00050044,0.00025022,31.8966,
28,38.7243,0.00050044,0.00025022,31.8966,
29,38.7605,0.00050044,0.00025022,31.8966,
30,38.7944,0.00050044,0.00025022,31.8966,
