"iter","time","maxviolation","meanviolation","cost",
0,0,32.2787,22.6636,52.0591,
1,0.11038,0.080013,0.040007,15.7712,
2,0.19378,0.062271,0.031135,15.7836,
3,0.23606,0.050735,0.025367,15.7924,
4,0.26949,0.013878,0.0069392,15.8291,
5,0.29482,0.010762,0.0053811,15.8336,
6,0.32291,0.0083846,0.0041923,15.8375,
7,0.35046,0.0065702,0.0032851,15.8408,
8,0.38102,0.0051887,0.0025944,15.8436,
9,0.41051,0.0041408,0.0020704,15.8459,
10,0.43599,0.0033526,0.0016763,15.8479,
11,0.48477,0.00097397,0.00048699,15.8559,
12,0.52047,0.00076171,0.00038085,15.8569,
13,0.55774,0.00059842,0.00029921,15.8578,
14,0.59483,0.00047305,0.00023652,15.8586,
15,0.63826,0.0003771,0.00018855,15.8593,
16,0.66383,0.0003042,0.0001521,15.8599,
17,0.71346,0.00024972,0.00012486,15.8604,
18,0.82086,7.1963e-05,3.5982e-05,15.8625,
19,0.90502,5.6546e-05,2.8273e-05,15.8627,
20,1.0057,4.4669e-05,2.2335e-05,15.863,
21,1.1547,3.5547e-05,1.7773e-05,15.8632,
22,1.2192,2.8583e-05,1.4291e-05,15.8633,
23,1.2568,2.3334e-05,1.1667e-05,15.8635,
24,1.4143,6.8851e-06,3.4425e-06,15.8641,
25,1.4775,5.4064e-06,2.7032e-06,15.8642,
26,1.6071,4.2656e-06,2.1328e-06,15.8643,
27,1.7018,3.3878e-06,1.6939e-06,15.8643,
28,1.8264,2.7158e-06,1.3579e-06,15.8644,
29,1.9678,2.2066e-06,1.1033e-06,15.8644,
30,2.177,6.6144e-07,3.3072e-07,15.8646,
31,2.3311,5.1891e-07,2.5946e-07,15.8647,
32,2.3325,5.1891e-07,2.5946e-07,15.8647,
