"iter","time","maxviolation","meanviolation","cost",
0,0,57.5916,38.8202,42.6283,
1,0.11007,0.35159,0.3203,35.4071,
2,0.14553,0.27748,0.26146,35.4601,
3,0.2549,0.026782,0.013391,36.2641,
4,0.29914,0.8266,0.41924,36.2508,
5,0.3353,0.6614,0.33738,36.3063,
6,0.35503,0.10275,0.058051,36.3063,
7,0.39536,0.30953,0.15569,36.9164,
8,0.41605,0.0018506,0.0009253,36.9164,
9,0.44847,0.00027006,0.00013503,36.906,
10,0.46967,0.47274,0.2365,36.906,
11,0.49305,0.2917,0.14599,36.906,
12,0.51494,0.042219,0.021245,36.906,
13,0.58702,0.13176,0.065908,36.6898,
14,0.61473,0.26804,0.13405,36.6898,
15,0.65771,0.08409,0.042047,36.8547,
16,0.7008,0.33521,0.16761,36.8555,
17,0.72836,0.28162,0.14081,36.8554,
18,0.75511,0.020765,0.010383,36.7115,
19,0.77654,0.09169,0.056228,36.7115,
20,0.79761,0.020765,0.010383,36.7115,
21,0.81807,0.020765,0.010383,36.7115,
22,0.8397,0.020765,0.010383,36.7115,
23,0.86274,0.035438,0.028102,36.7115,
24,0.88389,0.020765,0.010383,36.7115,
25,0.90644,0.069956,0.045361,36.7115,
26,0.92784,0.020765,0.010383,36.7115,
27,0.94827,0.020765,0.010383,36.7115,
28,0.96943,0.020765,0.010383,36.7115,
29,0.99057,0.070795,0.04578,36.7115,
30,1.0115,0.020765,0.010383,36.7115,
