"iter","time","maxviolation","meanviolation","cost",
0,0,54.0198,54.0198,73.6417,
1,0.075642,5.0542,5.0542,33.5929,
2,0.10653,0.27443,0.27443,40.3837,
3,0.15115,0.044143,0.044143,41.4197,
4,0.18225,0.036491,0.036491,41.481,
5,0.24267,0.010108,0.010108,41.7693,
6,0.29216,0.0079746,0.0079746,41.8048,
7,0.33239,0.0063319,0.0063319,41.8355,
8,0.38406,0.0050706,0.0050706,41.8618,
9,0.44523,0.0041071,0.0041071,41.8843,
10,0.5201,0.003378,0.003378,41.903,
11,0.62037,0.00096381,0.00096381,41.9879,
12,0.69554,0.00075978,0.00075978,41.9988,
13,0.77688,0.00060243,0.00060243,42.0083,
14,0.83739,0.00048137,0.00048137,42.0164,
15,0.90513,0.00038865,0.00038865,42.0234,
16,0.96943,0.00031821,0.00031821,42.0292,
17,1.0942,9.2443e-05,9.2443e-05,42.0549,
18,1.1599,7.2793e-05,7.2793e-05,42.0583,
19,1.225,5.7625e-05,5.7625e-05,42.0612,
20,1.306,4.5943e-05,4.5943e-05,42.0638,
21,1.3772,3.698e-05,3.698e-05,42.0659,
22,1.4533,3.015e-05,3.015e-05,42.0678,
23,1.5305,2.5008e-05,2.5008e-05,42.0693,
24,1.6509,6.9875e-06,6.9875e-06,42.0767,
25,1.757,5.5229e-06,5.5229e-06,42.0776,
26,1.852,4.3939e-06,4.3939e-06,42.0784,
27,1.9266,3.5266e-06,3.5266e-06,42.0791,
28,2.0722,2.864e-06,2.864e-06,42.0796,
29,2.1891,2.3632e-06,2.3632e-06,42.0801,
30,2.3146,6.713e-07,6.713e-07,42.0824,
31,2.3303,5.2982e-07,5.2982e-07,42.0826,
32,2.3851,5.2981e-07,5.2981e-07,42.0826,
33,2.3941,5.2981e-07,5.2981e-07,42.0826,
