"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,40.1278,12.8674,0.0001246,NaN,NaN,NaN,NaN,1,30.9825,28.1841,28.1841,
1,34.2286,6.8018,0.018176,2.3842e-07,0,3.1974,1,1,10.4942,7.9914,7.9914,
2,35.39,9.4601,0.03434,4.7684e-07,0,3.0574,1,1,9.7508,2.3632,2.3632,
3,34.8663,4.7794,0.049402,7.4506e-09,0,0.18098,1,1,5.4302,2.5777,2.5777,
4,34.7268,6.4404,0.061733,4.7684e-07,0,2.4126,1,1,6.4444,0.22594,0.22594,
5,31.5712,4.9665,0.075407,5.9605e-08,0,1.2717,1,1,5.1675,1.4271,1.4271,
6,35.1907,41.7908,0.083959,0.0039063,0,2.6825,1,12.3709,41.7947,0.57157,0.57157,
7,34.8693,5.7919,0.097778,1.8626e-09,0,0.077814,1,12.3709,5.8211,0.58228,0.58228,
8,34.7839,5.8027,0.11245,1.8626e-09,0,0.039596,1,12.3709,5.8321,0.5846,0.5846,
9,34.6346,5.8087,0.12627,3.7253e-09,0,0.073662,1,12.3709,5.8387,0.59143,0.59143,
10,34.5289,5.7955,0.14,3.7253e-09,0,0.062133,1,12.3709,5.8259,0.59467,0.59467,
11,33.6219,5.5768,0.15316,5.9605e-08,0,0.67424,1,12.3709,5.6123,0.63002,0.63002,
12,33.1038,5.5666,0.16296,6.1035e-05,0,4.8035,1,12.3709,5.5748,0.30224,0.30224,
13,33.0967,5.035,0.17717,9.3132e-10,0,0.0080713,1,12.3709,5.0441,0.30254,0.30254,
14,30.3523,2.8949,0.18484,0.5,0,1.3521,1,12.3709,2.9111,0.30642,0.30642,
15,30.3519,1.9939,0.19942,1.8626e-09,0,0.00266,1,12.3709,2.0173,0.30644,0.30644,
16,29.9955,0.27585,0.20643,1,0,0.44781,1,12.3709,0.28059,0.05134,0.05134,
17,29.9955,0.041532,0.21418,1,0,0.14026,1,12.3709,0.043397,0.012585,0.012585,
18,29.9943,0.088173,0.22302,1,0,0.13435,1,12.3709,0.088254,0.0037779,0.0037779,
19,29.9872,0.15735,0.23298,1,0,0.169,1,12.3709,0.15735,0.0010208,0.0010208,
20,29.8922,1.4741,0.24204,1,0,0.86625,1,12.3709,1.4741,0.00040876,0.00040876,
21,29.8261,47.2349,0.25291,0.0019531,0,0.32347,1,556.5023,47.2349,0.00034851,0.00034851,
22,29.826,0.55618,0.27016,5.8208e-11,0,0.00027302,1,556.5023,0.55618,0.00034874,0.00034874,
23,29.8258,0.57361,0.28517,5.8208e-11,0,0.00025215,1,556.5023,0.57361,0.00034899,0.00034899,
24,29.8257,0.59268,0.30008,5.8208e-11,0,0.00026504,1,556.5023,0.59268,0.00034928,0.00034928,
25,29.8256,0.61356,0.31553,5.8208e-11,0,0.00027889,1,556.5023,0.61356,0.0003496,0.0003496,
26,29.8255,0.62493,0.3306,2.9104e-11,0,0.00014689,1,556.5023,0.62493,0.00034969,0.00034969,
27,29.8254,0.63686,0.34625,2.9104e-11,0,0.0001509,1,556.5023,0.63686,0.00034979,0.00034979,
28,29.8254,0.64938,0.36089,2.9104e-11,0,0.00015506,1,556.5023,0.64938,0.00034989,0.00034989,
29,29.8253,0.66251,0.37696,2.9104e-11,0,0.0001594,1,556.5023,0.66251,0.00035001,0.00035001,
30,29.8252,0.6763,0.39201,2.9104e-11,0,0.00016391,1,556.5023,0.6763,0.00035013,0.00035013,
31,29.8251,0.69077,0.42247,2.9104e-11,0,0.00016861,1,556.5023,0.69077,0.00035026,0.00035026,
32,29.825,0.70596,0.45088,2.9104e-11,0,0.0001735,1,556.5023,0.70596,0.0003504,0.0003504,
33,29.8249,0.7219,0.47214,2.9104e-11,0,0.0001786,1,556.5023,0.7219,0.00035055,0.00035055,
34,29.8247,0.73864,0.49789,2.9104e-11,0,0.00018392,1,556.5023,0.73864,0.00035071,0.00035071,
35,29.8246,0.75619,0.51498,2.9104e-11,0,0.00018946,1,556.5023,0.75619,0.00035089,0.00035089,
36,29.8245,0.77459,0.53256,2.9104e-11,0,0.00019523,1,556.5023,0.77459,0.00035108,0.00035108,
37,29.8244,0.79385,0.5511,2.9104e-11,0,0.00020124,1,556.5023,0.79385,0.00035128,0.00035128,
38,29.8242,0.81398,0.57257,2.9104e-11,0,0.00020749,1,556.5023,0.81398,0.00035151,0.00035151,
39,29.824,0.83498,0.59103,2.9104e-11,0,0.00021398,1,556.5023,0.83498,0.00035175,0.00035175,
40,29.8239,0.85682,0.60834,2.9104e-11,0,0.00022071,1,556.5023,0.85682,0.00035202,0.00035202,
41,29.8237,0.87945,0.63027,2.9104e-11,0,0.00022768,1,556.5023,0.87945,0.00035231,0.00035231,
42,29.8235,0.90278,0.65067,2.9104e-11,0,0.00023485,1,556.5023,0.90278,0.00035262,0.00035262,
43,29.8233,0.92667,0.66763,2.9104e-11,0,0.00024221,1,556.5023,0.92667,0.00035297,0.00035297,
44,29.8231,0.95094,0.68269,2.9104e-11,0,0.0002497,1,556.5023,0.95094,0.00035334,0.00035334,
45,29.8229,0.97533,0.69751,2.9104e-11,0,0.00025728,1,556.5023,0.97533,0.00035375,0.00035375,
46,29.8228,0.98712,0.71351,1.4552e-11,0,0.00013243,1,556.5023,0.98712,0.00035386,0.00035386,
47,29.8226,0.9992,0.72922,1.4552e-11,0,0.00013433,1,556.5023,0.9992,0.00035397,0.00035397,
48,29.8225,1.0111,0.74501,1.4552e-11,0,0.00013621,1,556.5023,1.0111,0.00035409,0.00035409,
49,29.8224,1.0228,0.76108,1.4552e-11,0,0.00013805,1,556.5023,1.0228,0.00035421,0.00035421,
50,29.8222,1.0342,0.77643,1.4552e-11,0,0.00013986,1,556.5023,1.0342,0.00035434,0.00035434,
51,29.8221,1.0451,0.79257,1.4552e-11,0,0.00014162,1,556.5023,1.0451,0.00035448,0.00035448,
52,29.822,1.0557,0.8082,1.4552e-11,0,0.00014331,1,556.5023,1.0557,0.00035461,0.00035461,
53,29.8218,1.0657,0.82383,1.4552e-11,0,0.00014494,1,556.5023,1.0657,0.00035476,0.00035476,
54,29.8217,1.075,0.83939,1.4552e-11,0,0.00014648,1,556.5023,1.075,0.0003549,0.0003549,
55,29.8215,1.0837,0.85469,1.4552e-11,0,0.00014792,1,556.5023,1.0837,0.00035505,0.00035505,
56,29.8214,1.0915,0.8703,1.4552e-11,0,0.00014925,1,556.5023,1.0915,0.00035521,0.00035521,
57,29.8212,1.0985,0.88703,1.4552e-11,0,0.00015047,1,556.5023,1.0985,0.00035536,0.00035536,
58,29.821,1.1046,0.90848,1.4552e-11,0,0.00015155,1,556.5023,1.1046,0.00035552,0.00035552,
59,29.8209,1.1097,0.92751,1.4552e-11,0,0.0001525,1,556.5023,1.1097,0.00035568,0.00035568,
60,29.8207,1.1137,0.94556,1.4552e-11,0,0.00015329,1,556.5023,1.1137,0.00035585,0.00035585,
61,29.8206,1.1167,0.96123,1.4552e-11,0,0.00015392,1,556.5023,1.1167,0.00035601,0.00035601,
62,29.8204,1.1185,0.97683,1.4552e-11,0,0.00015436,1,556.5023,1.1185,0.00035618,0.00035618,
63,29.8202,1.1193,0.99224,1.4552e-11,0,0.00015452,1,556.5023,1.1193,0.00035634,0.00035634,
64,29.8201,1.1189,1.0088,1.4552e-11,0,0.00015463,1,556.5023,1.1189,0.0003565,0.0003565,
65,29.8194,5.1368,1.0189,3.0518e-05,0,0.0014509,1,556.5023,5.1368,0.00035739,0.00035739,
66,29.8192,1.1119,1.0346,1.4552e-11,0,0.0001566,1,556.5023,1.1119,0.00035755,0.00035755,
67,29.8103,1.2442,1.0432,0.015625,0,0.032214,1,556.5023,1.2442,0.00036684,0.00036684,
68,29.8101,1.0377,1.0591,1.4552e-11,0,0.00014357,1,556.5023,1.0377,0.00036696,0.00036696,
69,29.7324,1.1598,1.0674,0.25,0,0.42121,1,556.5023,1.1598,2.7044e-05,2.7044e-05,
70,29.7301,0.36925,1.0758,0.03125,0,0.009165,1,556.5023,0.36925,2.8056e-05,2.8056e-05,
71,29.7066,2.4111,1.0834,0.5,0,0.17713,1,556.5023,2.4111,2.0412e-05,2.0412e-05,
