"iter","time","maxviolation","meanviolation","cost",
0,0,5.084,5.084,38.5553,
1,0.033039,0.64358,0.64358,21.8233,
2,0.055325,0.0739,0.0739,22.6311,
3,0.085026,0.021405,0.021405,22.8095,
4,0.11128,0.016757,0.016757,22.8331,
5,0.1347,0.01318,0.01318,22.8535,
6,0.16392,0.010434,0.010434,22.8711,
7,0.19004,0.0083333,0.0083333,22.8861,
8,0.21334,0.0067396,0.0067396,22.8989,
9,0.2409,0.0055531,0.0055531,22.9093,
10,0.30021,0.0015868,0.0015868,22.9569,
11,0.34545,0.001248,0.001248,22.9631,
12,0.38662,0.00098702,0.00098702,22.9684,
13,0.42555,0.0007867,0.0007867,22.973,
14,0.45945,0.00063398,0.00063398,22.977,
15,0.50663,0.00051925,0.00051925,22.9802,
16,0.59155,0.00015192,0.00015192,22.9944,
17,0.664,0.00011938,0.00011938,22.9963,
18,0.74125,9.4287e-05,9.4287e-05,22.998,
19,0.8096,7.4989e-05,7.4989e-05,22.9994,
20,0.86842,6.0233e-05,6.0233e-05,23.0006,
21,0.9286,4.9083e-05,4.9083e-05,23.0017,
22,1.0548,1.4596e-05,1.4596e-05,23.006,
23,1.1406,1.1459e-05,1.1459e-05,23.0066,
24,1.2233,9.0369e-06,9.0369e-06,23.0071,
25,1.2881,7.1724e-06,7.1724e-06,23.0075,
26,1.3772,5.7436e-06,5.7436e-06,23.0079,
27,1.4507,4.6593e-06,4.6593e-06,23.0082,
28,1.5528,1.4041e-06,1.4041e-06,23.0096,
29,1.6479,1.1012e-06,1.1012e-06,23.0098,
30,1.741,8.6729e-07,8.6729e-07,23.0099,
31,1.757,6.8703e-07,6.8703e-07,23.01,
32,1.8587,6.8702e-07,6.8702e-07,23.01,
33,1.8599,6.8702e-07,6.8702e-07,23.01,
