"iter","time","maxviolation","meanviolation","cost",
0,0,1.5912,0.33969,38.6503,
1,0.069321,1.055,0.40093,0.04903,
2,0.10582,1.0885,0.38023,0.89324,
3,0.27398,0.038431,0.0091483,75.9397,
4,0.35421,0.032267,0.0065438,76.1262,
5,0.43955,0.0086132,0.0015876,76.5658,
6,0.50794,0.0058875,0.0010736,76.6196,
7,0.57417,0.0040168,0.00072777,76.6565,
8,0.63465,0.0027387,0.00049412,76.6817,
9,0.69525,0.0018665,0.00033585,76.6989,
10,0.75695,0.0012719,0.00022845,76.7106,
11,0.81633,0.00086664,0.00015547,76.7186,
12,0.87561,0.00059047,0.00010584,76.724,
13,0.93657,0.0004023,7.2072e-05,76.7277,
14,1.0029,0.00027409,4.9085e-05,76.7303,
15,1.0727,0.00018674,3.3434e-05,76.732,
16,1.1356,0.00012723,2.2776e-05,76.7332,
17,1.1857,8.6688e-05,1.5515e-05,76.734,
18,1.2544,5.9053e-05,1.0569e-05,76.7345,
19,1.31,4.0236e-05,7.2006e-06,76.7349,
20,1.3578,2.7414e-05,4.9058e-06,76.7351,
21,1.4133,1.8678e-05,3.3423e-06,76.7353,
22,1.4637,1.2724e-05,2.2768e-06,76.7354,
23,1.5193,8.6687e-06,1.5512e-06,76.7355,
24,1.5686,5.9062e-06,1.0568e-06,76.7356,
25,1.6354,4.0236e-06,7.1995e-07,76.7356,
26,1.6646,4.0236e-06,7.1995e-07,76.7356,
27,1.6894,4.0236e-06,7.1995e-07,76.7356,
28,1.7178,4.0236e-06,7.1995e-07,76.7356,
29,1.7428,4.0236e-06,7.1995e-07,76.7356,
30,1.7673,4.0236e-06,7.1995e-07,76.7356,
