"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.4708,0.12125,-0.15531,4.481,
1,0.011332,0,0,-0.09322,4.4432,
2,0.032808,0,0,-0.16486,3.3558,
3,0.088565,0.0065446,0.00085764,-0.47979,0.5042,
4,0.11193,0.00079178,6.7069e-05,-0.48188,0.034677,
5,0.12172,0.00012106,1.2742e-05,-0.48222,0.0041067,
6,0.12629,1.9255e-05,1.573e-06,-0.48224,0.0006046,
7,0.13083,2.0008e-06,2.2204e-07,-0.48224,0.00017511,
8,0.13223,2.0008e-06,2.2204e-07,-0.48224,0.0001486,
9,0.13867,2.7947e-07,2.3541e-08,-0.48225,0.00013616,
10,0.14367,2.1657e-06,3.5122e-07,-0.48225,0.0001244,
11,0.14985,3.0392e-07,3.2233e-08,-0.48224,6.9914e-05,
12,0.15157,3.0392e-07,3.2233e-08,-0.48224,3.5128e-05,
13,0.1584,7.9904e-08,1.2156e-08,-0.48225,7.243e-05,
14,0.16517,3.1047e-08,3.2646e-09,-0.48224,3.4792e-05,
15,0.17234,7.6445e-09,1.0972e-09,-0.48224,3.7482e-05,
16,0.17785,1.9194e-08,1.6904e-09,-0.48224,2.009e-05,
17,0.18516,1.0691e-08,1.6668e-09,-0.48224,2.9798e-05,
18,0.1912,5.4957e-09,5.7136e-10,-0.48224,1.6685e-05,
19,0.21023,4.531e-09,4.8112e-10,-0.48224,1.8288e-05,
20,0.21737,8.167e-10,1.6221e-10,-0.48224,1.2464e-05,
21,0.22481,4.5105e-10,5.3615e-11,-0.48224,1.2149e-05,
22,0.23296,6.7086e-12,7.2751e-13,-0.48224,1.1059e-05,
23,0.23831,2.2639e-10,3.4263e-11,-0.48224,6.1274e-06,
24,0.24687,7.4996e-12,8.1078e-13,-0.48224,4.5322e-06,
25,0.26217,2.0733e-10,2.622e-11,-0.48224,4.1947e-06,
26,0.27141,5.4233e-11,9.7526e-12,-0.48224,6.4015e-06,
27,0.28037,2.7594e-15,3.5627e-16,-0.48224,3.4405e-06,
28,0.28909,5.6411e-12,1.0777e-12,-0.48224,4.2804e-06,
29,0.29886,4.2478e-16,4.3505e-17,-0.48224,3.8738e-06,
30,0.31023,6.6175e-12,5.4012e-13,-0.48224,1.6947e-06,
31,0.32069,2.7017e-12,5.2488e-13,-0.48224,3.1582e-06,
