"iter","time","maxviolation","meanviolation","cost",
0,0,0.41568,0.089411,0.061871,
1,0.032882,0.024331,0.0053624,-0.79017,
2,0.05073,0.016587,0.0037131,-0.78573,
3,0.069497,0.011337,0.002558,-0.78263,
4,0.096657,0.0077343,0.0017578,-0.78048,
5,0.12002,0.0052772,0.0012041,-0.77899,
6,0.14671,0.0035968,0.0008238,-0.77796,
7,0.16494,0.0024511,0.00056286,-0.77725,
8,0.18317,0.00167,0.00038422,-0.77677,
9,0.20073,0.0011381,0.00026211,-0.77644,
10,0.2191,0.00077568,0.00017873,-0.77621,
11,0.23497,0.0005285,0.00012185,-0.77606,
12,0.25322,0.00036011,8.3047e-05,-0.77596,
13,0.27011,0.00024536,5.6596e-05,-0.77588,
14,0.28598,0.00016717,3.8566e-05,-0.77583,
15,0.29893,0.0001139,2.6279e-05,-0.7758,
16,0.31688,7.7598e-05,1.7905e-05,-0.77578,
17,0.33092,5.2868e-05,1.2199e-05,-0.77576,
18,0.34075,3.6019e-05,8.3117e-06,-0.77575,
19,0.36083,2.4539e-05,5.6628e-06,-0.77575,
20,0.36895,1.6719e-05,3.8581e-06,-0.77574,
21,0.38463,1.139e-05,2.6285e-06,-0.77574,
22,0.39541,7.7602e-06,1.7908e-06,-0.77573,
23,0.418,5.2869e-06,1.2201e-06,-0.77573,
24,0.4269,3.6019e-06,8.3123e-07,-0.77573,
25,0.43581,2.454e-06,5.6631e-07,-0.77573,
26,0.45179,1.6719e-06,3.8582e-07,-0.77573,
27,0.46109,1.139e-06,2.6286e-07,-0.77573,
28,0.47073,7.7602e-07,1.7908e-07,-0.77573,
29,0.48975,5.2869e-07,1.2201e-07,-0.77573,
30,0.50187,3.602e-07,8.3124e-08,-0.77573,
31,0.51411,2.454e-07,5.6631e-08,-0.77573,
32,0.51983,2.454e-07,5.6631e-08,-0.77573,
33,0.5265,2.454e-07,5.6631e-08,-0.77573,
