"iter","time","maxviolation","meanviolation","cost",
0,0,0.33934,0.057588,-0.02143,
1,0.013346,0,0,-0.19311,
2,0.024901,0,0,-0.24771,
3,0.047789,0,0,-0.32992,
4,0.080814,0,0,-0.4017,
5,0.11147,0,0,-0.44981,
6,0.14494,0,0,-0.48019,
7,0.19963,0,0,-0.49991,
8,0.27046,0,0,-0.51321,
9,0.34722,0,0,-0.52211,
10,0.44628,0,0,-0.52806,
11,0.55225,0,0,-0.53205,
12,0.67323,0,0,-0.53474,
13,0.80214,0,0,-0.53655,
14,0.951,0,0,-0.53778,
15,1.1341,0,0,-0.53861,
16,1.3491,0,0,-0.53917,
17,1.606,0,0,-0.53956,
18,1.8693,0,0,-0.53982,
19,2.129,0,0,-0.53999,
20,2.3555,0,0,-0.54011,
21,2.5716,0,0,-0.5402,
22,2.7963,0,0,-0.54025,
23,3.0629,0,0,-0.54029,
24,3.299,0,0,-0.54032,
25,3.397,0,0,-0.54033,
26,3.4607,0,0,-0.54035,
27,3.5293,0,0,-0.54035,
28,3.594,0,0,-0.54036,
29,3.6619,0,0,-0.54036,
30,3.7274,0,0,-0.54037,
31,3.7881,0,0,-0.54037,
32,3.8553,0,0,-0.54037,
33,3.8669,0,0,-0.54037,
