"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,-0.065451,4.8671,7.3251e-05,NaN,NaN,NaN,NaN,1,4.9358,0.36892,0.10462,
1,-0.02799,0.82875,0.02912,1,0,1.5708,-2,1,0.82875,0,0,
2,-0.32785,525.6804,0.057795,0.03125,0,1.5707,-2,329.464,525.6804,0,0,
3,-0.50991,0.33009,0.083563,1,0,1.1265,1,329.464,0.33009,3.9949e-12,4.3142e-13,
4,-0.55489,0.082067,0.10957,1,0,0.37706,1,329.464,0.082067,0,0,
5,-0.5756,0.071863,0.13486,1,0,0.34356,1,329.464,0.071863,0,0,
6,-0.58821,0.044657,0.16001,1,0,0.27857,1,329.464,0.044657,0,0,
7,-0.59393,0.030239,0.18365,1,0,0.21023,1,329.464,0.030239,0,0,
8,-0.59868,0.026917,0.20894,1,0,0.19705,1,329.464,0.026917,0,0,
9,-0.601,0.016499,0.23459,1,0,0.12544,1,329.464,0.016499,0,0,
10,-0.60208,0.011593,0.26024,1,0,0.087341,1,329.464,0.011593,0,0,
11,-0.60226,0.002606,0.28414,1,0,0.019615,1,329.464,0.002606,0,0,
12,-0.60226,0.00011162,0.30878,1,0,0.0014632,1,329.464,0.00011162,4.9777e-13,3.4106e-14,
13,-0.60226,4.7487e-06,0.33295,1,0,6.2534e-05,1,329.464,4.7487e-06,4.2613e-13,1.7045e-14,
14,-0.60226,2.0205e-07,0.35724,1,0,2.6608e-06,1,329.464,2.0205e-07,1.0445e-12,5.7418e-14,
15,-0.60226,8.5997e-09,0.38189,1,0,1.1322e-07,1,329.464,8.5997e-09,4.5174e-12,2.7118e-13,
