"iter","cost",
0,-2.7223,
1,-5.3586,
2,-2.6116,
3,-1.2245,
4,-1.042,
5,-0.52781,
6,-0.3985,
7,-0.37905,
8,-0.36374,
9,-0.36227,
10,-0.42809,
11,-0.48104,
12,-0.56264,
13,-0.62882,
14,-0.62755,
15,-0.62417,
16,-0.62651,
17,-0.62743,
18,-0.62488,
19,-0.62477,
20,-0.62502,
21,-0.62507,
22,-0.62502,
23,-0.62502,
24,-0.62501,
25,-0.62501,
26,-0.62501,
27,-0.62501,
28,-0.62715,
29,-0.62682,
30,-0.62679,
31,-0.62679,
32,-0.62679,
33,-0.62679,
34,-0.62679,
35,-0.62716,
36,-0.62713,
37,-0.62713,
38,-0.62713,
39,-0.62713,
40,-0.62719,
41,-0.62719,
42,-0.62719,
43,-0.62719,
44,-0.6272,
45,-0.6272,
46,-0.6272,
47,-0.6272,
47,-0.6272,
