"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,8.1249,4.7488,245.3864,1,22.619,21.0646,
1,0.27959,17.123,3.3333,1.1997,1.1607,28.5776,0.19968,13.4149,13.314,
2,0.60728,7.7845,3.3333,0.046412,0.028419,19.7768,0.15649,1.3631,1.3623,
3,0.65714,0.022941,3.3333,0.0001592,0.00014006,19.7763,0.15702,0.0029184,0.0029116,
4,0.66743,6.9096e-05,3.3333,1.1996e-05,1.0438e-05,19.7763,0.15698,0.00045143,0.00045118,
5,0.68055,0.00053914,11.1111,1.2128e-05,6.3716e-06,19.7763,0.15702,0.0002703,0.00027003,
6,0.68855,2.6788e-06,11.1111,4.1884e-06,2.5733e-06,19.7763,0.15707,0.00018577,0.00018572,
7,0.69651,4.5563e-06,37.037,6.1077e-06,4.4596e-06,19.7763,0.157,0.00021044,0.00021034,
8,0.70519,2.4881e-06,37.037,9.5335e-07,7.6744e-07,19.7763,0.15704,0.00023303,0.00023303,
9,0.74931,0.00029169,37.037,8.0652e-08,5.8657e-08,19.7763,0.15704,0.00010725,0.00010725,
10,0.75179,0,123.4568,8.0652e-08,5.8657e-08,19.7763,0.15704,0.00011012,0.00011012,
11,0.77746,1.6798e-05,411.5226,1.0721e-07,7.3307e-08,19.7763,0.15703,7.9316e-05,7.9316e-05,
12,0.78738,5.2522e-08,411.5226,3.41e-08,2.629e-08,19.7763,0.15705,8.9255e-05,8.9255e-05,
13,0.79767,5.061e-08,1371.7421,4.2058e-08,3.2256e-08,19.7763,0.15703,7.0138e-05,7.0138e-05,
14,0.80687,9.1053e-09,1371.7421,1.782e-08,1.1906e-08,19.7763,0.157,9.6995e-05,9.6995e-05,
15,0.81695,1.3324e-08,4572.4737,1.8647e-08,1.4826e-08,19.7763,0.15703,0.00015794,0.00015794,
16,0.82709,2.6818e-09,4572.4737,1.1932e-08,8.2401e-09,19.7763,0.15708,7.1435e-05,7.1435e-05,
17,0.83703,5.7793e-09,4572.4737,7.5201e-09,7.3608e-09,19.7763,0.15705,0.00017761,0.00017761,
18,0.84751,2.1044e-09,15241.579,1.1456e-08,6.9203e-09,19.7763,0.15704,0.00046606,0.00046606,
19,0.85866,1.1771e-09,15241.579,3.8214e-09,2.4123e-09,19.7763,0.15698,6.4639e-05,6.4639e-05,
20,0.86857,2.6202e-09,50805.2634,4.053e-09,2.1508e-09,19.7763,0.15704,0.00019783,0.00019783,
