"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,8.4672,4.8776,563.1308,1,33.5401,
1,0.43489,17.4983,0.094713,0.067136,234.5954,0.73848,3.2258,
2,0.87745,5.0239,0.029748,0.015954,227.8378,0.41085,0.10417,
3,1.0399,0.0083678,0.020142,0.010797,227.8416,0.40861,0.08286,
4,1.1101,0.001709,0.013713,0.0073499,227.8442,0.40835,0.081091,
5,1.2476,0.0011386,0.0093383,0.0050054,227.8459,0.4082,0.080259,
6,1.3085,0.0006908,0.0063613,0.0034092,227.8471,0.40815,0.080253,
7,1.3608,0.00045556,0.0043327,0.0023221,227.8479,0.40805,0.079788,
8,1.4681,0.00041613,0.0029517,0.0015819,227.8485,0.40803,0.079901,
9,1.56,0.00019582,0.0020108,0.0010777,227.8489,0.408,0.079805,
10,1.6549,0.0002015,0.0013698,0.00073412,227.8491,0.40796,0.079626,
11,1.6679,5.7667e-05,0.00093323,0.00050015,227.8493,0.40797,0.079687,
12,1.681,3.9291e-05,0.0006358,0.00034075,227.8494,0.40796,0.079683,
13,1.6944,2.6768e-05,0.00043317,0.00023215,227.8495,0.40796,0.079682,
14,1.7082,1.8237e-05,0.00029511,0.00015816,227.8495,0.40796,0.079681,
15,1.7221,1.2425e-05,0.00020106,0.00010775,227.8496,0.40796,0.079681,
16,1.7359,8.4649e-06,0.00013698,7.3412e-05,227.8496,0.40796,0.07968,
17,1.75,5.767e-06,9.3323e-05,5.0015e-05,227.8496,0.40796,0.079681,
18,1.7636,3.929e-06,6.358e-05,3.4075e-05,227.8496,0.40796,0.07968,
19,1.7768,2.6768e-06,4.3316e-05,2.3215e-05,227.8496,0.40796,0.07968,
20,1.7901,1.8237e-06,2.9511e-05,1.5816e-05,227.8496,0.40796,0.07968,
21,1.8036,1.2425e-06,2.0106e-05,1.0775e-05,227.8497,0.40796,0.07968,
22,1.8176,8.4648e-07,1.3698e-05,7.3412e-06,227.8497,0.40796,0.07968,
23,1.8317,5.767e-07,9.3323e-06,5.0015e-06,227.8497,0.40796,0.07968,
24,1.846,3.929e-07,6.358e-06,3.4075e-06,227.8497,0.40796,0.07968,
25,1.8603,2.6768e-07,4.3316e-06,2.3215e-06,227.8497,0.40796,0.07968,
26,1.8738,1.8237e-07,2.9511e-06,1.5816e-06,227.8497,0.40796,0.079666,
27,1.887,1.2424e-07,2.0106e-06,1.0775e-06,227.8497,0.40796,0.079678,
28,1.9009,8.465e-08,1.3698e-06,7.3411e-07,227.8497,0.40796,0.079653,
29,1.9138,5.7662e-08,9.3327e-07,5.0018e-07,227.8497,0.40798,0.079824,
30,1.9277,3.9298e-08,6.3579e-07,3.4074e-07,227.8497,0.40796,0.079633,
31,1.9477,0,6.3579e-07,3.4074e-07,227.8497,0.56202,1.2536,
