"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,10.6396,5.4504,416.5697,1,32.9502,
1,0.30667,16.5556,14.66,7.3327,124.1694,1,14.6943,
2,0.60154,4.1443,20.7695,10.3891,113.4526,1,20.8193,
3,0.95944,6.1908,49.546,24.81,80.2626,0.92055,NaN,
4,1.4034,6.3467,74.6878,37.3541,47.3654,0.56706,NaN,
5,1.7038,5.1373,86.848,43.4276,24.328,0.32257,NaN,
6,2.0152,5.7591,99.6993,49.8503,0.43388,0.090028,NaN,
7,2.2559,0.7765,100,50,2.8278e-08,3.5349e-06,NaN,
8,2.2728,5.0674e-05,100,50,1.7886e-08,3.5846e-06,NaN,
9,2.3007,2.6291e-05,100,50,1.3474e-08,1.9525e-06,NaN,
10,2.3302,0.00010622,100,50,1.5258e-09,7.3141e-06,NaN,
11,2.3385,3.8121e-09,100,50,1.5256e-09,4.4711e-06,NaN,
12,2.3473,4.9273e-09,100,50,1.5252e-09,4.8334e-09,NaN,
13,2.355,4.0117e-06,100,50,1.3328e-09,1.4205e-06,NaN,
14,2.3638,3.4428e-09,100,50,1.3325e-09,1.6245e-08,NaN,
15,2.3716,2.087e-06,100,50,1.2396e-09,2.4876e-07,NaN,
16,2.3804,2.9405e-08,100,50,1.2378e-09,1.5903e-06,NaN,
17,2.3899,6.7813e-10,100,50,1.2377e-09,1.9178e-09,NaN,
18,2.401,1.7181e-06,100,50,1.1651e-09,9.7059e-06,NaN,
19,2.4114,1.8416e-10,100,50,1.1651e-09,3.0975e-11,NaN,
20,2.4214,2.5082e-06,100,50,1.1094e-09,3.5001e-09,NaN,
21,2.448,3.4623e-05,100,50,2.7581e-11,7.3866e-08,NaN,
22,2.4568,5.4372e-10,100,50,2.7574e-11,2.9771e-09,NaN,
23,2.4637,1.4802e-07,100,50,2.5891e-11,1.8544e-07,NaN,
24,2.4738,3.1289e-11,100,50,2.5892e-11,4.8693e-11,NaN,
25,2.4832,1.3633e-06,100,50,1.7166e-11,5.5452e-07,NaN,
26,2.4935,2.303e-11,100,50,1.7166e-11,2.0158e-11,NaN,
27,2.502,7.4277e-07,100,50,1.4725e-11,1.0571e-08,NaN,
28,2.5099,2.1399e-09,100,50,1.4703e-11,3.1687e-07,NaN,
29,2.5204,1.6797e-11,100,50,1.4703e-11,8.0469e-11,NaN,
30,2.5304,3.3269e-07,100,50,1.2845e-11,1.9647e-06,NaN,
31,2.5416,8.8823e-13,100,50,1.2845e-11,1.1013e-13,NaN,
32,2.5521,4.2274e-07,100,50,1.1486e-11,4.1962e-12,NaN,
33,2.5621,2.2197e-07,100,50,1.0502e-11,9.708e-09,NaN,
34,2.5712,3.1663e-10,100,50,1.0501e-11,9.6682e-09,NaN,
35,2.5798,3.1619e-10,100,50,1.0497e-11,9.6221e-09,NaN,
36,2.5883,3.1575e-10,100,50,1.0496e-11,9.5828e-09,NaN,
37,2.5966,3.1532e-10,100,50,1.0495e-11,9.5371e-09,NaN,
38,2.605,3.1489e-10,100,50,1.0492e-11,9.4982e-09,NaN,
39,2.6132,3.1446e-10,100,50,1.049e-11,9.4531e-09,NaN,
40,2.6218,1.5703e-10,100,50,1.0489e-11,4.7069e-09,NaN,
41,2.6386,3.1385e-10,100,50,1.0484e-11,5.7452e-05,NaN,
42,2.6581,0,100,50,1.0484e-11,5.7452e-05,NaN,
