"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,3850.2658,82.0056,7.023e-05,NaN,NaN,NaN,NaN,1,82.7674,8.1569,7.9188,
1,3232.7687,71.8308,0.42246,7.9602e-09,0,15.7186,0,2.4893,72.0781,4.4454,4.2121,
2,2914.4405,66.8384,0.91344,8.8447e-09,0,13.3864,0,2.4893,67.792,10.6,7.3014,
3,2755.6589,60.0849,1.3396,9.8274e-09,0,11.5863,0,2.4893,61.941,12.9995,10.2913,
4,2708.2334,57.7,1.75,1.3481e-08,0,8.5623,0,3.3695,59.9014,15.1885,10.2493,
5,2666.0773,53.9527,2.1937,1.2133e-08,0,8.6611,0,3.3695,56.1906,15.6927,8.0865,
6,2632.8006,51.3551,2.6212,8.8447e-09,0,5.3492,0,3.3695,54.134,16.7511,10.1466,
7,2603.688,49.4501,3.0455,2.8185e-08,0,9.064,0,3.3695,52.6938,18.029,10.2681,
8,2560.2207,48.5715,3.4807,9.8274e-09,0,5.6628,0,3.3695,53.8947,22.7841,13.9579,
9,2535.2072,45.1497,3.9023,1.3481e-08,0,6.4237,0,3.3695,51.4001,24.0255,14.5744,
10,2514.9746,45.2498,4.3175,2.0547e-08,0,6.4813,0,3.3695,52.3592,25.8494,15.4619,
11,2501.5382,45.2081,4.7387,7.9602e-09,0,3.0326,0,4.2154,52.7673,26.4017,16.5013,
12,2484.3662,49.0812,5.1578,4.7731e-08,0,9.7261,0,4.2154,55.5798,25.1416,16.0366,
13,2443.2994,50.7682,5.6016,1.4979e-08,0,8.6014,0,5.6538,58.2733,28.4702,15.6327,
14,2436.7445,49.3971,6.0299,1.2133e-08,0,3.767,0,5.6538,56.4891,27.0921,15.6052,
15,2430.4788,48.5361,6.4506,7.1642e-09,0,2.4838,0,5.6538,55.5721,26.5552,15.8912,
16,2429.1001,48.0696,6.8659,1.0919e-08,0,1.8873,1,5.6538,55.0671,26.2847,15.9182,
17,2439.557,46.1448,7.2907,2.0547e-08,0,4.1299,0,5.6538,51.8435,22.8305,14.464,
18,2431.7963,43.5223,7.7247,2.8185e-08,0,5.2491,1,5.6538,49.5946,22.885,14.6719,
