"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,2408.5518,0.0035175,97.4755,8.5547,98.1461,
1,2419.9093,0.11781,97.0975,2.5664,97.1583,
2,2416.2698,0.21778,96.4937,0.00094521,96.4937,
3,2415.2438,0.29914,96.4518,2.2315e-07,96.4518,
4,2415.2436,0.3792,96.4518,1.2657e-14,96.4518,
5,2415.2436,0.46581,96.4518,2.6645e-15,96.4518,
6,2415.2436,0.55981,96.4518,2.6645e-15,96.4518,
7,2415.2436,0.65103,96.4518,2.6645e-15,96.4518,
8,2415.2436,0.74061,96.4518,2.6645e-15,96.4518,
9,2415.2436,0.82787,96.4518,2.6645e-15,96.4518,
10,2415.2436,0.90856,96.4518,2.6645e-15,96.4518,
11,2415.2436,0.99178,96.4518,2.6645e-15,96.4518,
12,2415.2436,1.0826,96.4518,2.6645e-15,96.4518,
13,2415.2436,1.1684,96.4518,1.7764e-15,96.4518,
14,2415.2436,1.2468,96.4518,1.7764e-15,96.4518,
15,2415.2436,1.3315,96.4518,1.7764e-15,96.4518,
16,2415.2436,1.4098,96.4518,1.7764e-15,96.4518,
17,2415.2436,1.4987,96.4518,1.7764e-15,96.4518,
18,2415.2436,1.5806,96.4518,1.7764e-15,96.4518,
19,2415.2436,1.6719,96.4518,1.7764e-15,96.4518,
20,2415.2436,1.7834,96.4518,1.7764e-15,96.4518,
21,2415.2436,1.8994,96.4518,1.7764e-15,96.4518,
22,2415.2436,2.0046,96.4518,1.7764e-15,96.4518,
23,2415.2436,2.0953,96.4518,1.7764e-15,96.4518,
24,2415.2436,2.18,96.4518,1.7764e-15,96.4518,
25,2415.2436,2.2693,96.4518,1.7764e-15,96.4518,
26,2415.2436,2.3522,96.4518,1.7764e-15,96.4518,
27,2415.2436,2.4447,96.4518,1.7764e-15,96.4518,
28,2415.2436,2.5361,96.4518,1.7764e-15,96.4518,
29,2415.2436,2.6151,96.4518,1.7764e-15,96.4518,
30,2415.2436,2.6994,96.4518,1.7764e-15,96.4518,
31,2415.2436,2.7845,96.4518,1.7764e-15,96.4518,
32,2415.2436,2.877,96.4518,1.7764e-15,96.4518,
33,2415.2436,2.9725,96.4518,1.7764e-15,96.4518,
34,2415.2436,3.0567,96.4518,8.8818e-16,96.4518,
35,2415.2436,3.14,96.4518,8.8818e-16,96.4518,
36,2415.2436,3.2224,96.4518,8.8818e-16,96.4518,
37,2415.2436,3.301,96.4518,8.8818e-16,96.4518,
38,2415.2436,3.3943,96.4518,8.8818e-16,96.4518,
39,2415.2436,3.4738,96.4518,8.8818e-16,96.4518,
40,2415.2436,3.5567,96.4518,8.8818e-16,96.4518,
41,2415.2436,3.6435,96.4518,8.8818e-16,96.4518,
42,2415.2436,3.7289,96.4518,8.8818e-16,96.4518,
43,2415.2436,3.8216,96.4518,8.8818e-16,96.4518,
44,2415.2436,3.9099,96.4518,8.8818e-16,96.4518,
