"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,4865.8498,0.0057626,18.6005,1.5223,18.7239,
1,4849.3573,0.023038,16.8284,0.51554,16.8589,
2,4798.0783,0.085471,21.3992,0.77005,21.473,
3,4696.7554,0.15333,11.3854,1.7589,12.106,
4,4646.4663,0.21724,13.6873,1.7273,14.3998,
5,4330.7144,0.28608,9.3795,1.818,10.145,
6,4306.0187,0.35487,9.0659,1.9014,10.0568,
7,4100.9005,0.42352,11.0184,1.7419,11.6752,
8,4078.7251,0.49006,8.6759,1.7072,9.5191,
9,3700.4828,0.56021,10.7997,0.47692,10.8533,
10,3694.201,0.63066,6.6061,1.2333,6.7793,
11,3691.2341,0.69927,7.3875,1.2556,7.5658,
12,3604.3425,0.76747,7.3763,0.6822,7.4736,
13,3603.6511,0.83284,7.0175,0.80028,7.1574,
14,3536.7124,0.90377,6.4696,0.75913,6.5814,
15,3535.125,0.96992,5.0148,0.76059,5.2008,
16,3452.9055,1.0408,6.8727,0.37048,6.9505,
17,3364.3475,1.1129,6.6561,0.17186,6.6625,
18,3362.7152,1.186,4.3315,0.16949,4.3428,
19,3344.5119,1.2587,5.1398,0.11491,5.148,
20,3343.6361,1.3285,4.6343,0.16207,4.6477,
21,3322.5716,1.4019,3.984,0.19859,3.9986,
22,3321.7029,1.4676,3.1976,0.25322,3.2255,
23,3303.2729,1.5395,3.6788,0.20985,3.6996,
24,3303.0966,1.6065,3.4175,0.26317,3.4504,
25,3286.0141,1.6774,3.6098,0.27896,3.6301,
26,3267.1769,1.7513,3.0474,0.042991,3.0487,
27,3266.2807,1.8216,2.6891,0.042266,2.6907,
28,3260.7676,1.9051,3.9296,0.049439,3.9304,
29,3260.3237,1.988,3.5729,0.048695,3.5741,
30,3254.4063,2.0736,1.9383,0.036635,1.9399,
31,3254.1049,2.1388,1.6887,0.050434,1.6915,
32,3250.1042,2.2078,1.8204,0.043719,1.8222,
33,3249.9034,2.2741,2.0771,0.056115,2.0796,
34,3244.9709,2.3423,1.6932,0.044815,1.6953,
35,3244.8466,2.4104,1.6504,0.057642,1.6537,
36,3240.2931,2.4791,1.9077,0.045168,1.9097,
37,3238.0307,2.5483,2.8035,0.060299,2.8051,
38,3237.7176,2.6136,2.4379,0.06305,2.4399,
39,3231.1271,2.6829,1.8283,0.021254,1.8285,
40,3230.9103,2.7481,1.8439,0.021063,1.8442,
41,3229.2452,2.8166,2.1464,0.021851,2.1466,
42,3229.0581,2.8822,1.9026,0.025705,1.9029,
43,3227.6964,2.9513,1.5457,0.016952,1.5459,
44,3227.5522,3.0272,1.3393,0.019511,1.3396,
45,3226.3525,3.0972,1.6477,0.012344,1.6478,
46,3226.2349,3.1623,1.508,0.014129,1.5082,
47,3224.836,3.2326,1.1587,0.0091347,1.1589,
48,3224.7535,3.2984,1.2181,0.012791,1.2184,
49,3223.4255,3.3665,1.5112,0.015223,1.5113,
50,3223.3471,3.4311,1.5404,0.019656,1.5406,
51,3221.9739,3.5037,1.1572,0.017216,1.1575,
52,3221.901,3.5687,1.178,0.02186,1.1785,
53,3220.5669,3.6413,1.3465,0.020433,1.3469,
54,3220.493,3.7093,1.3986,0.02422,1.3991,
55,3219.2927,3.7779,1.052,0.020249,1.0524,
56,3219.2315,3.8436,1.0936,0.025701,1.0941,
57,3217.8895,3.9118,0.96967,0.022535,0.9701,
58,3217.8615,3.9797,0.92211,0.028147,0.9228,
59,3216.5095,4.0496,0.91207,0.024203,0.91253,
60,3216.4988,4.1155,0.81179,0.028326,0.81252,
61,3215.4093,4.1852,0.99703,0.017667,0.99733,
62,3215.3951,4.2513,1.1064,0.02069,1.1068,
63,3214.1339,4.321,1.1488,0.013544,1.149,
64,3214.0986,4.3868,1.2922,0.016865,1.2925,
65,3212.654,4.4557,1.4282,0.021239,1.4285,
66,3212.5748,4.5252,1.5546,0.025749,1.5549,
