"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0.19806,0.018647,6.3755,1,3.251,3.2409,
1,0.059468,4.329,3.3333,0,0,8.0551,0.66314,4.144,4.144,
2,0.12974,4.329,3.3333,0.14512,0.017655,3.5776,1.0893,1.1964,1.1712,
3,0.17421,3.3155,3.3333,0,0,4.0573,1.0531,0.15457,0.15457,
4,0.22556,0.57976,3.3333,0.0054251,0.00071049,3.983,1.0695,0.035825,0.034574,
5,0.27111,0.092017,3.3333,0,0,4.0025,1.0665,0.007961,0.007961,
6,0.30454,0.030318,3.3333,0.00034323,5.2053e-05,3.9975,1.0675,0.0019707,0.0018741,
7,0.32254,0.0058743,3.3333,0,0,3.9988,1.0673,0.00044748,0.00044748,
8,0.33945,0.00098539,3.3333,1.4292e-05,1.4796e-06,3.9986,1.0673,0.00011769,0.00011572,
9,0.34968,0.00016936,11.1111,1.4292e-05,1.4796e-06,3.9986,1.0673,0.00010098,9.8691e-05,
10,0.36501,0,11.1111,1.5377e-06,1.2729e-07,3.9986,1.0673,0.0001096,0.00010958,
11,0.37835,3.5188e-05,37.037,4.4303e-06,4.4849e-07,3.9986,1.0673,8.1381e-05,8.1121e-05,
12,0.39346,2.7118e-05,37.037,4.0264e-07,3.2285e-08,3.9986,1.0673,9.3606e-05,9.3605e-05,
13,0.43804,9.8038e-06,123.4568,4.5001e-07,2.6614e-08,3.9986,1.0673,0.00012025,0.00012025,
14,0.45347,0.00051414,123.4568,2.9937e-07,3.184e-08,3.9986,1.0673,5.3845e-05,5.3843e-05,
15,0.46888,3.4918e-06,123.4568,0,0,3.9986,1.0673,2.2974e-05,2.2974e-05,
16,0.48618,6.6617e-07,123.4568,4.0562e-08,4.6006e-09,3.9986,1.0673,2.4517e-05,2.4517e-05,
17,0.49305,1.4768e-06,411.5226,4.0562e-08,4.6006e-09,3.9986,1.0673,2.237e-05,2.237e-05,
18,0.53286,0,411.5226,4.9909e-09,5.6729e-10,3.9986,1.0673,1.2838e-05,1.2838e-05,
19,0.54687,3.5997e-05,1371.7421,3.1376e-08,3.0753e-09,3.9986,1.0673,1.4001e-05,1.4001e-05,
20,0.56458,7.5605e-08,1371.7421,5.7448e-10,6.5297e-11,3.9986,1.0673,1.4911e-05,1.4911e-05,
21,0.60858,5.2675e-08,1371.7421,8.9576e-10,1.2741e-10,3.9986,1.0673,1.0219e-05,1.0219e-05,
22,0.62825,1.9088e-05,1371.7421,6.9802e-10,6.705e-11,3.9986,1.0673,7.0627e-06,7.0627e-06,
23,0.68625,2.7233e-08,4572.4737,1.7203e-09,2.1414e-10,3.9986,1.0673,3.6607e-06,3.6606e-06,
24,0.70259,2.2081e-05,4572.4737,0,0,3.9986,1.0673,1.7753e-06,1.7753e-06,
25,0.70948,3.0952e-09,15241.579,0,0,3.9986,1.0673,1.9031e-06,1.9031e-06,
26,0.729,0,15241.579,1.2248e-10,2.4914e-11,3.9986,1.0673,3.8615e-06,3.8615e-06,
27,0.74704,7.7963e-10,15241.579,6.5512e-11,1.3326e-11,3.9986,1.0673,1.2088e-06,1.2088e-06,
28,0.76698,1.1784e-10,50805.2634,0,0,3.9986,1.0673,2.304e-06,2.304e-06,
29,0.78804,3.431e-10,50805.2634,8.5609e-16,1.3006e-16,3.9986,1.0673,1.2088e-06,1.2088e-06,
30,0.79502,1.4228e-10,169350.8781,8.5609e-16,1.3006e-16,3.9986,1.0673,1.2088e-06,1.2088e-06,
