"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.13342,0.021771,16.8587,0.79153,3.9313,
1,0.15202,3.5006,2.1199,0.23278,4.595,1,4.0424,
2,0.20167,3.5006,2.1151,0.2289,4.6739,1,4.0542,
3,0.26194,0.07158,2.1116,0.22651,4.7215,1,4.0613,
4,0.31267,0.051293,2.1088,0.22508,4.7489,1,4.0648,
5,0.36514,0.036592,2.1068,0.2241,4.7677,1,4.0674,
6,0.41813,0.025926,2.1055,0.22343,4.7806,1,4.0904,
7,0.47424,0.01741,2.1045,0.22296,4.7897,1,4.0921,
8,0.53479,0.012596,2.1038,0.22263,4.7961,1,4.0933,
9,0.60001,0.0089434,2.1034,0.2224,4.8004,1,4.0941,
10,0.68893,0.006272,2.103,0.22225,4.8035,1,4.0957,
11,0.79268,0.0043592,2.1028,0.22214,4.8055,1,4.111,
12,0.87688,0.0030051,2.1026,0.22206,4.807,1,4.1635,
13,0.97855,0.0020734,2.1025,0.22201,4.8079,1,4.014,
14,1.0611,0.0014128,2.1025,0.22198,4.8086,1,3.9974,
15,1.1698,0.00097118,2.1024,0.22195,4.8091,1,3.9974,
16,1.2727,0.00066192,2.1024,0.22194,4.8094,1,3.9974,
17,1.3648,0.00045254,2.1024,0.22193,4.8096,1,3.9974,
18,1.4509,0.00030866,2.1023,0.22192,4.8097,1,3.9974,
19,1.536,0.00021042,2.1023,0.22191,4.8098,1,3.9974,
20,1.5911,0.00014347,2.1023,0.22191,4.8099,1,3.9974,
21,1.6425,8.4839e-05,2.1023,0.22191,4.81,1,3.9974,
22,1.7594,5.7827e-05,2.1023,0.22191,4.81,1,3.9974,
23,1.8108,0.00011134,2.1023,0.22191,4.81,1,3.9974,
24,1.8566,2.6848e-05,2.1023,0.22191,4.81,1,3.9974,
25,1.9053,1.8294e-05,2.1023,0.2219,4.81,1,3.9973,
26,1.9517,1.2464e-05,2.1023,0.2219,4.81,1,3.9973,
27,1.9944,8.4927e-06,2.1023,0.2219,4.81,1,3.9973,
28,2.0434,5.7844e-06,2.1023,0.2219,4.81,1,3.9973,
29,2.0902,3.9445e-06,2.1023,0.2219,4.81,1,3.9972,
30,2.1397,2.686e-06,2.1023,0.2219,4.81,1,3.9971,
31,2.1891,1.8299e-06,2.1023,0.2219,4.81,1,3.997,
32,2.2087,1.2468e-06,2.1023,0.2219,4.81,1,3.997,
33,2.2274,7.6202e-10,2.1023,0.2219,4.81,1,3.9971,
34,2.2471,1.5236e-09,2.1023,0.2219,4.81,1,3.997,
35,2.2655,2.0817e-10,2.1023,0.2219,4.81,1,3.997,
36,2.2887,1.1571e-08,2.1023,0.2219,4.81,1,3.997,
37,2.3089,5.4284e-10,2.1023,0.2219,4.81,1,3.997,
38,2.3255,1.5541e-10,2.1023,0.2219,4.81,1,3.9971,
39,2.3459,9.6708e-08,2.1023,0.2219,4.81,1,3.9971,
40,2.365,1.4044e-09,2.1023,0.2219,4.81,1,3.997,
41,2.386,4.2723e-09,2.1023,0.2219,4.81,1,3.997,
42,2.4048,3.8779e-10,2.1023,0.2219,4.81,1,3.997,
43,2.4246,1.3834e-09,2.1023,0.2219,4.81,1,3.9971,
44,2.4412,2.2708e-10,2.1023,0.2219,4.81,1,3.997,
45,2.4614,6.1746e-09,2.1023,0.2219,4.81,1,3.9971,
46,2.5056,2.5153e-10,2.1023,0.2219,4.81,1,3.9972,
47,2.5097,4.6562e-05,2.1023,0.2219,4.81,1,3.9972,
48,2.5138,0,2.1023,0.2219,4.81,1,3.9972,
