"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.30692,0.077636,1.0944,0.9556,1.0296,
1,0.081571,2.459,0,0,0.035645,0.23965,0.20378,
2,0.10758,2.459,0,0,0.026141,0.21905,0.15221,
3,0.12342,0.1274,0,0,0.020205,0.19786,0.10969,
4,0.15476,0.11431,0,0,0.016427,0.18124,0.074918,
5,0.18571,0.14084,0,0,0.01404,0.16756,0.049417,
6,0.2028,0.16647,0,0,0.012424,0.15734,0.033062,
7,0.22509,0.17105,0,0,0.011298,0.15036,0.022909,
8,0.24496,0.14026,0,0,0.010528,0.14471,0.016315,
9,0.26017,0.10156,0,0,0.0099988,0.14035,0.012183,
10,0.27175,0.072511,0,0,0.009633,0.13771,0.009752,
11,0.28302,0.051527,0,0,0.0093817,0.13625,0.0083176,
12,0.29419,0.035901,0,0,0.0092097,0.13573,0.0075452,
13,0.30331,0.024867,0,0,0.0090939,0.13449,0.0071534,
14,0.31186,0.016865,0,0,0.0090149,0.13344,0.0069523,
15,0.32118,0.011578,0,0,0.0089606,0.13327,3.1581e-05,
16,0.32998,0.0080013,0,0,0.0089234,0.13351,4.2557e-06,
17,0.33711,0.0054781,0,0,0.0088983,0.13342,1.6745e-05,
18,0.34963,0.0037136,0,0,0.0088812,0.13341,1.3037e-05,
19,0.36073,0.0025346,0,0,0.0088695,0.13323,2.4113e-06,
20,0.37457,0.001724,0,0,0.0088616,0.13308,2.3833e-06,
21,0.38827,0.0011755,0,0,0.0088562,0.13317,4.4324e-06,
22,0.40096,0.00080331,0,0,0.0088525,0.13306,7.0066e-06,
23,0.41545,0.00054596,0,0,0.00885,0.13307,1.316e-06,
24,0.42768,0.00037274,0,0,0.0088482,0.13302,1.9682e-06,
25,0.43866,0.0002537,0,0,0.0088471,0.13307,3.5135e-06,
26,0.44816,0.00017306,0,0,0.0088463,0.13301,2.5871e-06,
27,0.47248,0.00011775,0,0,0.0088457,0.13299,1.1404e-06,
28,0.48416,8.0318e-05,0,0,0.0088454,0.13301,2.6472e-08,
29,0.49831,5.4716e-05,0,0,0.0088451,0.133,1.1585e-07,
30,0.51007,3.7266e-05,0,0,0.008845,0.13301,2.1202e-07,
