"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,3.978,4.5643,5.0973e-05,NaN,NaN,NaN,NaN,1,4.5647,0.046318,0.006541,
1,4.0037,26.8161,0.01729,1,0,0.069058,1,27.1795,26.8161,1.353e-12,2.5963e-13,
2,3.9981,68.4,0.034272,1,0,0.00519,1,477.4532,68.4,0,0,
3,2.8191,3.6561,0.056582,0.16677,0,3.4163,1,477.4532,3.6561,0,0,
4,0.62417,0.35128,0.073475,1,0,2.4013,1,477.4532,0.35128,0,0,
5,0.45115,0.59914,0.090049,1,0,2.2489,1,477.4532,0.59914,0,0,
6,0.24657,0.11107,0.10669,1,0,0.67067,1,477.4532,0.11107,0,0,
7,0.23701,0.023889,0.12308,1,0,0.2558,1,477.4532,0.023889,0,0,
8,0.23678,0.00016851,0.13978,1,0,0.035071,1,477.4532,0.00016851,0,0,
9,0.23678,9.3851e-05,0.15676,1,0,0.00080403,1,477.4532,9.3851e-05,0,0,
