"iter","time","maxviolation","meanviolation","cost",
0,0,0.29622,0.29622,81.5468,
1,0.33488,0.78445,0.78445,30.1132,
2,0.3743,0.10479,0.10479,31.1154,
3,0.41744,0.026856,0.026856,31.4057,
4,0.42933,0.021438,0.021438,31.4376,
5,0.44167,0.017277,0.017277,31.465,
6,0.45188,0.014104,0.014104,31.4881,
7,0.46236,0.011716,0.011716,31.5074,
8,0.47633,0.0032738,0.0032738,31.6009,
9,0.48595,0.0025813,0.0025813,31.6126,
10,0.49363,0.0020566,0.0020566,31.6227,
11,0.5015,0.001653,0.001653,31.6313,
12,0.51042,0.0013447,0.0013447,31.6386,
13,0.51817,0.0011236,0.0011236,31.6444,
14,0.52936,0.00032304,0.00032304,31.673,
15,0.53879,0.00025025,0.00025025,31.6769,
16,0.54747,0.00019877,0.00019877,31.6801,
17,0.55566,0.00016056,0.00016056,31.6827,
18,0.56275,0.00012972,0.00012972,31.6851,
19,0.57093,0.00010675,0.00010675,31.687,
20,0.58246,3.0753e-05,3.0753e-05,31.6959,
21,0.58979,2.4109e-05,2.4109e-05,31.697,
22,0.59583,1.9177e-05,1.9177e-05,31.698,
23,0.60321,1.5335e-05,1.5335e-05,31.6988,
24,0.60939,1.2393e-05,1.2393e-05,31.6996,
25,0.61705,1.0155e-05,1.0155e-05,31.7002,
26,0.6247,3.3535e-06,3.3535e-06,31.7027,
27,0.63299,2.3515e-06,2.3515e-06,31.7032,
28,0.63946,1.8614e-06,1.8614e-06,31.7035,
29,0.64629,1.4782e-06,1.4782e-06,31.7038,
30,0.6524,1.1885e-06,1.1885e-06,31.7041,
