"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,15.5306,11.3731,254.9556,1,28.3682,22.6161,
1,0.2555,16.874,3.3333,1.4327,1.1386,32.3435,0.43274,11.6228,11.5032,
2,0.74668,5.0216,3.3333,0.035574,0.030052,29.4697,0.35097,0.92537,0.92437,
3,0.80274,0.048292,3.3333,0.00051358,0.00032009,29.4706,0.34926,0.012124,0.012112,
4,0.81646,0.00035359,3.3333,7.444e-06,6.0748e-06,29.4705,0.34923,0.00041689,0.0004168,
5,0.82884,0.0001447,11.1111,1.1721e-05,6.5827e-06,29.4705,0.34927,0.00029803,0.0002978,
6,0.83665,2.3169e-06,11.1111,2.7108e-06,1.3812e-06,29.4705,0.34924,0.00030232,0.00030231,
7,0.86916,0.00045461,11.1111,7.5889e-07,4.305e-07,29.4705,0.34924,9.472e-05,9.4717e-05,
8,0.87169,0,37.037,7.5889e-07,4.305e-07,29.4705,0.34924,0.00011048,0.00011048,
9,0.87976,2.1905e-07,37.037,5.441e-07,3.0629e-07,29.4705,0.34925,0.00014809,0.00014809,
10,0.8874,1.6396e-07,37.037,2.6313e-07,1.5701e-07,29.4705,0.34925,9.1442e-05,9.1442e-05,
11,0.94776,0.0001081,123.4568,2.8963e-07,2.5274e-07,29.4705,0.34925,5.188e-05,5.1879e-05,
12,0.95675,5.7249e-08,123.4568,6.5518e-08,5.2651e-08,29.4705,0.34925,7.6456e-05,7.6456e-05,
13,0.96546,1.6883e-08,123.4568,2.0727e-08,1.3146e-08,29.4705,0.34925,3.4484e-05,3.4484e-05,
14,0.96796,0,411.5226,2.0727e-08,1.3146e-08,29.4705,0.34925,3.6878e-05,3.6878e-05,
15,0.97885,5.5155e-09,411.5226,9.838e-09,6.9524e-09,29.4705,0.34925,4.8154e-05,4.8154e-05,
16,0.98797,5.6879e-09,411.5226,1.2504e-09,7.2226e-10,29.4705,0.34925,3.3708e-05,3.3708e-05,
17,1.0677,4.5532e-05,1371.7421,2.2268e-09,1.968e-09,29.4705,0.34925,1.8116e-05,1.8116e-05,
18,1.077,1.0666e-09,1371.7421,9.1981e-10,9.0502e-10,29.4705,0.34925,2.0857e-05,2.0857e-05,
19,1.0859,2.4647e-09,1371.7421,2.6468e-10,2.562e-10,29.4705,0.34925,1.7532e-05,1.7532e-05,
20,1.0954,2.354e-09,4572.4737,2.5619e-10,2.0761e-10,29.4705,0.34925,1.7772e-05,1.7772e-05,
21,1.1046,6.0217e-10,4572.4737,1.6214e-10,1.3737e-10,29.4705,0.34925,1.7506e-05,1.7506e-05,
22,1.115,6.27e-10,15241.579,3.6536e-10,1.8285e-10,29.4705,0.34925,1.8241e-05,1.8241e-05,
23,1.135,0,50805.2634,3.6536e-10,1.8285e-10,29.4705,0.34925,2.0434e-05,2.0434e-05,
24,1.1547,0,169350.8781,3.6536e-10,1.8285e-10,29.4705,0.34925,5.1439e-05,5.1439e-05,
25,1.1665,7.2684e-11,169350.8781,1.3088e-10,6.8968e-11,29.4705,0.34925,0.00017802,0.00017802,
26,1.1788,2.4692e-11,169350.8781,3.6819e-11,2.8923e-11,29.4705,0.34925,2.7954e-05,2.7954e-05,
27,1.1987,0,564502.9269,3.6819e-11,2.8923e-11,29.4705,0.34925,7.5019e-05,7.5019e-05,
28,1.2187,0,1881676.4232,3.6819e-11,2.8923e-11,29.4705,0.34926,0.00012798,0.00012798,
29,1.2386,0,6272254.7439,3.6819e-11,2.8923e-11,29.4705,0.3493,0.00030801,0.00030801,
30,1.2585,0,20907515.8129,3.6819e-11,2.8923e-11,29.4705,0.34944,0.00091125,0.00091125,
