"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.61982,0.48956,134.5161,0.99999,19.3524,
1,0.30174,11.4128,0.074601,0.061885,26.957,0.63276,0.5504,
2,0.58383,5.1344,0.033532,0.023635,22.917,0.45595,0.091717,
3,0.60754,0.0028881,0.02283,0.016092,22.9226,0.45569,0.088017,
4,0.6658,0.0020185,0.015545,0.010957,22.9264,0.45546,0.085908,
5,0.69489,0.0013607,0.010586,0.0074611,22.929,0.45528,0.08471,
6,0.75207,0.00094635,0.0072106,0.0050825,22.9308,0.45521,0.084495,
7,0.79567,0.0006121,0.0049115,0.003462,22.932,0.45513,0.084178,
8,0.8776,0.00044936,0.0033456,0.0023583,22.9328,0.45507,0.084036,
9,0.95706,0.00029318,0.0022793,0.0016066,22.9334,0.45505,0.084055,
10,0.97754,0.00013017,0.0015528,0.0010946,22.9337,0.45505,0.084057,
11,1.0713,0.00026715,0.0010579,0.00074567,22.934,0.45503,0.084055,
12,1.085,5.9567e-05,0.00072071,0.00050801,22.9342,0.45502,0.084049,
13,1.0998,4.0582e-05,0.00049101,0.0003461,22.9343,0.45502,0.084044,
14,1.212,0.00017176,0.00033451,0.00023579,22.9344,0.455,0.084024,
15,1.2263,1.8835e-05,0.0002279,0.00016064,22.9344,0.455,0.084035,
16,1.2405,1.2832e-05,0.00015526,0.00010944,22.9345,0.455,0.084034,
17,1.2563,8.7424e-06,0.00010578,7.4563e-05,22.9345,0.455,0.084034,
18,1.2709,5.9561e-06,7.2067e-05,5.0799e-05,22.9345,0.455,0.084034,
19,1.2841,4.0578e-06,4.9098e-05,3.4609e-05,22.9345,0.455,0.084034,
20,1.2991,2.7646e-06,3.345e-05,2.3579e-05,22.9345,0.455,0.084034,
21,1.3129,1.8835e-06,2.279e-05,1.6064e-05,22.9345,0.455,0.084035,
22,1.3284,1.2832e-06,1.5526e-05,1.0944e-05,22.9345,0.455,0.084036,
23,1.3428,8.7423e-07,1.0578e-05,7.4562e-06,22.9345,0.455,0.084034,
24,1.3583,5.9561e-07,7.2067e-06,5.0799e-06,22.9345,0.455,0.084038,
25,1.378,4.0579e-07,4.9098e-06,3.4609e-06,22.9345,0.455,0.084022,
26,1.4016,2.7647e-07,3.345e-06,2.3578e-06,22.9345,0.45499,0.083982,
27,1.4145,1.871e-07,2.2921e-06,1.6028e-06,22.9345,0.45724,0.089753,
28,1.4289,1.2986e-07,1.5526e-06,1.0944e-06,22.9345,0.455,0.084034,
29,1.4425,8.6672e-08,1.0655e-06,7.4402e-07,22.9346,0.45782,0.092185,
30,1.455,5.9469e-08,7.2875e-07,5.0692e-07,22.9346,0.45936,0.098779,
31,1.4685,4.1039e-08,4.9548e-07,3.4512e-07,22.9346,0.45856,0.094837,
32,1.4794,2.2553e-09,4.8987e-07,3.4523e-07,22.9346,0.45411,0.077827,
33,1.4908,2.064e-10,4.9098e-07,3.4609e-07,22.9346,0.45499,0.084026,
34,1.5016,4.1617e-11,4.9099e-07,3.4609e-07,22.9346,0.455,0.084078,
35,1.5201,2.0112e-11,4.9094e-07,3.4605e-07,22.9346,0.45496,0.083775,
36,1.5389,0,4.9094e-07,3.4605e-07,22.9346,0.45496,0.083775,
