"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,16.2772,13.7987,238.2793,1,26.6463,
1,0.3089,17.0852,0.034636,0.028416,37.6899,0.33315,1.2777,
2,0.58016,1.2718,0.024744,0.020351,36.8347,0.34802,0.54214,
3,1.0561,5.4991,0.013377,0.011011,35.9808,0.28047,0.35147,
4,1.5399,1.3816,0.0082644,0.0078856,35.96,0.25555,0.04619,
5,2.0269,1.6987,0.0079541,0.0053475,35.9398,0.35329,1.3308,
6,2.5756,3.4132,0.005887,0.0049725,35.6617,0.38087,1.5172,
7,2.9308,0.805,0.003039,0.0020868,35.4255,0.29488,0.4626,
8,3.2055,0.31758,0.00169,0.0011385,35.3772,0.24309,0.75365,
9,3.699,2.7228,0.0018975,0.001054,34.9651,0.38746,0.6954,
10,4.1915,1.0994,0.001496,0.00095261,34.9003,0.44067,1.0604,
11,4.6814,0.89063,0.00079081,0.00063054,34.8547,0.35142,0.84601,
12,5.175,0.89796,0.00042598,0.00025588,34.82,0.28233,0.70306,
13,5.6735,0.2016,0.00042773,0.00024989,34.8166,0.40343,0.30545,
14,6.1755,0.075209,0.00027074,0.00015479,34.8163,0.37772,0.059398,
15,6.6797,0.021391,0.00018149,0.00010406,34.8162,0.37222,0.021212,
16,7.1723,0.0099355,0.00012362,7.0294e-05,34.8163,0.37215,0.0026254,
17,7.1846,4.7499e-06,8.4164e-05,4.7856e-05,34.8163,0.37193,0.0013349,
18,7.1976,3.2303e-06,5.7334e-05,3.2597e-05,34.8163,0.37188,0.0012909,
19,7.2113,2.1998e-06,3.906e-05,2.221e-05,34.8163,0.37188,0.0012732,
20,7.2247,1.4987e-06,2.6612e-05,1.513e-05,34.8163,0.37189,0.0013016,
21,7.2403,1.0211e-06,1.813e-05,1.0309e-05,34.8163,0.37188,0.0012731,
22,7.2548,6.9565e-07,1.2352e-05,7.0226e-06,34.8163,0.37189,0.0013183,
23,7.2677,4.7393e-07,8.4154e-06,4.7846e-06,34.8163,0.37188,0.0012901,
24,7.282,3.2289e-07,5.7334e-06,3.2595e-06,34.8163,0.37189,0.0013417,
25,7.2958,2.1998e-07,3.9061e-06,2.2207e-06,34.8163,0.37189,0.0013177,
26,7.3089,1.4987e-07,2.6611e-06,1.5133e-06,34.8163,0.37187,0.0012913,
27,7.3228,1.0211e-07,1.8131e-06,1.0307e-06,34.8163,0.37189,0.0013362,
28,7.336,6.9561e-08,1.2352e-06,7.0236e-07,34.8163,0.37188,0.0012727,
29,7.3502,4.7396e-08,8.4156e-07,4.784e-07,34.8163,0.37189,0.001391,
30,7.3698,0,8.4156e-07,4.784e-07,34.8163,0.51781,1.2405,
31,7.3894,0,8.4156e-07,4.784e-07,34.8163,0.68663,2.6845,
