"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,245.3864,21.0646,6.8342e-05,NaN,NaN,NaN,NaN,1,22.619,8.1249,4.7488,
1,153.3173,19.7819,0.12163,2.0547e-08,0,9.2501,0,1,24.6226,13.8738,9.3069,
2,98.2314,17.9423,0.24461,2.5366e-08,0,8.9475,0,1,25.43,15.2256,12.4331,
3,77.2604,16.9378,0.36328,5.3035e-08,0,8.6157,1,1,18.546,7.4697,4.2977,
4,72.4176,16.7986,0.48095,1.3481e-08,0,2.2771,0,1,19.6514,10.1968,5.1479,
5,70.9827,16.6109,0.59639,2.0547e-08,0,1.593,1,1,19.7375,10.6452,5.6082,
6,69.7118,16.7215,0.72595,1.2133e-08,0,1.1966,1,1,20.0944,11.0999,6.0416,
7,66.4129,16.6053,0.84164,2.283e-08,0,2.3721,1,1,21.3581,13.4274,6.9003,
8,61.8695,16.006,0.96727,8.0833e-08,0,6.2843,1,1,16.2965,3.0517,1.6597,
9,58.9626,17.5287,1.0763,5.8927e-08,0,5.7219,1,1.8453,17.6376,1.7031,1.3338,
10,54.8221,15.4989,1.191,5.803e-09,0,1.7435,0,1.8453,15.8067,3.0015,1.8968,
11,53.4887,15.4742,1.3055,5.803e-09,0,0.84251,0,1.8453,15.8059,2.972,2.1074,
12,34.7826,12.9321,1.3733,0.729,0,8.4689,1,1.8453,13.7567,4.6491,2.6386,
13,23.4772,5.9295,1.4676,1,0,5.7915,1,1.8453,7.2187,3.0019,2.9097,
14,23.4083,5.7784,1.5941,5.803e-09,0,0.21062,1,1.8453,7.1052,3.0061,2.9224,
15,21.1883,3.7911,1.6582,0.38742,0,3.8619,1,1.8453,6.0128,4.5201,2.841,
16,19.6029,0.36633,1.7203,1,0,2.4293,1,1.8453,1.6452,1.5792,0.92956,
17,19.7971,0.079756,1.7852,1,0,0.83666,1,1.8453,0.19808,0.14409,0.12707,
18,19.7756,0.0044733,1.8475,1,0,0.16082,1,1.8453,0.0092613,0.0062117,0.0057124,
19,19.7763,1.4298e-05,1.9102,1,0,0.011763,1,1.8453,1.6115e-05,7.1628e-06,4.5773e-06,
20,19.7763,6.3654e-11,1.9772,1,0,1.6538e-05,1,1.8453,6.8913e-11,2.154e-11,1.8407e-11,
