"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,56.4232,0.0015715,16.2742,1.007,16.3077,
1,59.9424,0.0020446,17.6053,0.035753,17.6054,
2,58.8734,0.0026963,17.5021,0.00030972,17.5021,
3,58.8662,0.0030867,17.5017,2.4081e-08,17.5017,
4,58.8662,0.0034571,17.5017,2.2204e-16,17.5017,
5,58.8662,0.0038279,17.5017,2.2204e-16,17.5017,
6,58.8662,0.0041957,17.5017,1.1102e-16,17.5017,
7,58.8662,0.0045668,17.5017,1.1102e-16,17.5017,
8,58.8662,0.0049346,17.5017,1.1102e-16,17.5017,
9,58.8662,0.0052948,17.5017,1.1102e-16,17.5017,
10,58.8662,0.0056747,17.5017,1.1102e-16,17.5017,
11,58.8662,0.0060568,17.5017,1.1102e-16,17.5017,
12,58.8662,0.00644,17.5017,1.1102e-16,17.5017,
13,58.8662,0.0068203,17.5017,1.1102e-16,17.5017,
14,58.8662,0.0072012,17.5017,1.1102e-16,17.5017,
15,58.8662,0.0075822,17.5017,1.1102e-16,17.5017,
16,58.8662,0.0079624,17.5017,1.1102e-16,17.5017,
17,58.8662,0.0083415,17.5017,1.1102e-16,17.5017,
18,58.8662,0.008721,17.5017,1.1102e-16,17.5017,
19,58.8662,0.0090997,17.5017,1.1102e-16,17.5017,
20,58.8662,0.0094777,17.5017,1.1102e-16,17.5017,
21,58.8662,0.0098568,17.5017,1.1102e-16,17.5017,
22,58.8662,0.010235,17.5017,1.1102e-16,17.5017,
23,58.8662,0.010614,17.5017,1.1102e-16,17.5017,
24,58.8662,0.010994,17.5017,1.1102e-16,17.5017,
25,58.8662,0.011371,17.5017,1.1102e-16,17.5017,
26,58.8662,0.011751,17.5017,1.1102e-16,17.5017,
27,58.8662,0.012129,17.5017,1.1102e-16,17.5017,
28,58.8662,0.012507,17.5017,1.1102e-16,17.5017,
29,58.8662,0.012883,17.5017,1.1102e-16,17.5017,
30,58.8662,0.013262,17.5017,1.1102e-16,17.5017,
31,58.8662,0.01364,17.5017,1.1102e-16,17.5017,
32,58.8662,0.014019,17.5017,1.1102e-16,17.5017,
33,58.8662,0.014398,17.5017,1.1102e-16,17.5017,
34,58.8662,0.014777,17.5017,1.1102e-16,17.5017,
35,58.8662,0.015156,17.5017,1.1102e-16,17.5017,
36,58.8662,0.015534,17.5017,1.1102e-16,17.5017,
37,58.8662,0.015907,17.5017,1.1102e-16,17.5017,
38,58.8662,0.016265,17.5017,1.1102e-16,17.5017,
39,58.8662,0.016623,17.5017,1.1102e-16,17.5017,
40,58.8662,0.016981,17.5017,1.1102e-16,17.5017,
41,58.8662,0.017339,17.5017,1.1102e-16,17.5017,
42,58.8662,0.017695,17.5017,1.1102e-16,17.5017,
43,58.8662,0.018353,17.5017,1.1102e-16,17.5017,
44,58.8662,0.018737,17.5017,1.1102e-16,17.5017,
45,58.8662,0.019152,17.5017,1.1102e-16,17.5017,
46,58.8662,0.01951,17.5017,1.1102e-16,17.5017,
47,58.8662,0.019868,17.5017,1.1102e-16,17.5017,
48,58.8662,0.020226,17.5017,1.1102e-16,17.5017,
49,58.8662,0.020585,17.5017,1.1102e-16,17.5017,
50,58.8662,0.020944,17.5017,1.1102e-16,17.5017,
51,58.8662,0.021301,17.5017,1.1102e-16,17.5017,
52,58.8662,0.021657,17.5017,1.1102e-16,17.5017,
53,58.8662,0.022015,17.5017,1.1102e-16,17.5017,
54,58.8662,0.022374,17.5017,1.1102e-16,17.5017,
55,58.8662,0.022731,17.5017,1.1102e-16,17.5017,
56,58.8662,0.023088,17.5017,1.1102e-16,17.5017,
57,58.8662,0.023445,17.5017,1.1102e-16,17.5017,
58,58.8662,0.023802,17.5017,1.1102e-16,17.5017,
59,58.8662,0.024158,17.5017,1.1102e-16,17.5017,
