"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,792.9757,0.0036716,7.6583,5.5092,10.806,
1,780.0863,0.011788,7.6485,0.20369,7.6661,
2,777.2326,0.020186,10.2721,1.1026,10.5536,
3,723.5043,0.033027,13.4535,1.5115,13.6582,
4,708.9752,0.043265,11.4359,2.0344,11.8006,
5,623.4278,0.057392,10.8897,1.9633,11.3017,
6,612.1298,0.070717,7.5721,1.9093,8.2247,
7,540.8198,0.087295,7.1746,1.7319,7.6317,
8,537.123,0.10149,4.1627,1.7801,5.0311,
9,535.5983,0.11696,6.8957,1.1389,7.284,
10,532.5519,0.12847,3.8862,1.0685,4.582,
11,522.0841,0.14104,3.6636,0.9458,4.3515,
12,493.5973,0.15423,9.0908,0.60781,9.1957,
13,490.7595,0.16441,7.8705,0.76373,8.019,
14,448.7879,0.17749,4.545,0.35537,4.5725,
15,446.6928,0.18713,3.3859,0.33734,3.4239,
16,446.1455,0.19687,4.0489,0.33504,4.086,
17,435.02,0.21018,5.0776,0.11515,5.0814,
18,434.1941,0.21989,5.1398,0.14734,5.1452,
19,429.0075,0.2316,6.0115,0.21236,6.0172,
20,428.3295,0.24132,5.2009,0.26769,5.2103,
21,425.6819,0.25285,4.4219,0.18582,4.43,
22,424.7507,0.26208,4.657,0.22936,4.6689,
23,420.396,0.27414,4.0047,0.34349,4.022,
24,419.7515,0.28391,2.9734,0.43406,3.0087,
25,415.4151,0.29566,2.8982,0.51592,2.945,
26,414.9425,0.30547,2.7895,0.54165,2.844,
27,412.898,0.31714,3.292,0.23889,3.3059,
28,412.624,0.32643,2.4786,0.24932,2.4993,
29,412.0174,0.33638,2.0297,0.22538,2.0505,
30,411.9197,0.34547,1.643,0.17036,1.6609,
31,411.6078,0.35569,2.2474,0.13668,2.2575,
32,410.4975,0.3646,1.6582,0.090831,1.6656,
33,409.5088,0.37333,1.1963,0.046257,1.2018,
34,408.9932,0.38261,1.0153,0.038495,1.0207,
35,408.537,0.39163,0.89432,0.030671,0.89958,
36,408.274,0.40118,0.75579,0.030676,0.76147,
37,407.9738,0.41034,1.0255,0.053076,1.0298,
38,407.7818,0.41975,1.2324,0.10413,1.2388,
39,407.5926,0.42948,1.4183,0.1199,1.4248,
40,407.437,0.43891,1.4953,0.13544,1.5026,
41,407.2729,0.44851,1.5485,0.14695,1.5565,
42,407.13,0.45835,1.5293,0.14764,1.5373,
43,407.1056,0.46791,1.4178,0.16339,1.4282,
44,406.8282,0.47726,1.2676,0.1391,1.2762,
45,406.8181,0.48534,0.9249,0.05829,0.92944,
46,405.9688,0.49421,0.90247,0.021177,0.90333,
47,405.8171,0.50363,0.57435,0.020146,0.57556,
48,405.7075,0.51284,0.57864,0.016484,0.57966,
49,405.6931,0.52157,0.41659,0.0097612,0.41767,
50,405.5969,0.53014,0.42791,0.018917,0.42892,
51,405.5244,0.53895,0.44402,0.011121,0.44467,
52,405.3757,0.54753,0.273,0.0061255,0.27357,
53,405.2739,0.55649,0.34939,0.0047746,0.3497,
54,405.2103,0.56506,0.26193,0.0052596,0.26226,
55,405.1242,0.57392,0.23294,0.0033926,0.23317,
56,405.0662,0.58297,0.18525,0.003859,0.18548,
57,405.0139,0.59197,0.19048,0.0029148,0.19062,
58,405.0047,0.6003,0.58206,0.003649,0.58211,
59,404.9499,0.60898,0.14958,0.0040545,0.14971,
60,404.9327,0.61845,0.096335,0.0030755,0.096497,
61,404.9185,0.62695,0.10285,0.0025112,0.10296,
62,404.8967,0.63514,0.25475,0.0010473,0.25476,
63,404.8705,0.64377,0.12003,0.00090759,0.12004,
64,404.8666,0.65399,0.064476,0.00070294,0.064502,
65,404.8582,0.66377,0.059317,0.00046684,0.059334,
66,404.8468,0.67189,0.13322,0.00047496,0.13322,
67,404.8402,0.6818,0.047565,0.00031921,0.047571,
68,404.8372,0.69089,0.037255,0.00026483,0.03726,
69,404.8355,0.69963,0.0398,0.00018229,0.039803,
70,404.8313,0.70787,0.051631,0.00014169,0.051632,
71,404.8293,0.7167,0.030693,8.7676e-05,0.030693,
72,404.8284,0.72668,0.019085,6.9369e-05,0.019085,
73,404.8277,0.73524,0.021376,4.5445e-05,0.021376,
74,404.8261,0.74369,0.024168,2.5841e-05,0.024168,
75,404.8258,0.7522,0.013585,1.8311e-05,0.013585,
76,404.8257,0.76093,0.014402,1.9452e-05,0.014403,
77,404.8257,0.76902,0.026176,2.6197e-05,0.026176,
78,404.8254,0.77777,0.017469,1.4568e-05,0.017469,
79,404.8254,0.78642,0.010751,2.6734e-05,0.010751,
80,404.8251,0.79509,0.010913,1.3381e-05,0.010913,
81,404.8249,0.80511,0.0070063,1.0964e-05,0.0070063,
82,404.8248,0.81347,0.014018,9.1141e-06,0.014018,
83,404.8248,0.82183,0.013081,9.6306e-06,0.013081,
84,404.8247,0.83044,0.0071625,7.4573e-06,0.0071625,
85,404.8247,0.8394,0.0063083,6.6178e-06,0.0063083,
86,404.8247,0.84748,0.0059895,5.5632e-06,0.0059895,
87,404.8247,0.85594,0.0093313,5.2283e-06,0.0093313,
88,404.8246,0.86465,0.0060784,3.1885e-06,0.0060784,
89,404.8246,0.87324,0.0043424,4.0154e-06,0.0043424,
90,404.8245,0.88194,0.0053619,2.0121e-06,0.0053619,
91,404.8245,0.88998,0.0062689,2.6177e-06,0.0062689,
92,404.8245,0.89828,0.0057491,2.4672e-06,0.0057491,
93,404.8245,0.9068,0.0037386,1.6662e-06,0.0037386,
94,404.8244,0.9156,0.0021207,9.4758e-07,0.0021207,
95,404.8244,0.92374,0.0038677,1.1333e-06,0.0038677,
96,404.8244,0.9322,0.0036471,8.6981e-07,0.0036471,
97,404.8244,0.94133,0.002419,6.5644e-07,0.002419,
98,404.8244,0.95003,0.0012965,4.9084e-07,0.0012965,
99,404.8244,0.95825,0.0024507,3.101e-07,0.0024507,
100,404.8244,0.96632,0.0022445,2.7705e-07,0.0022445,
101,404.8244,0.97599,0.0014327,2.3752e-07,0.0014327,
102,404.8244,0.98402,0.001476,2.0132e-07,0.001476,
103,404.8244,0.99211,0.0015361,1.8103e-07,0.0015361,
104,404.8244,1.0011,0.00095004,1.385e-07,0.00095004,
105,404.8244,1.0097,0.00058065,8.6067e-08,0.00058065,
106,404.8244,1.0183,0.00054282,4.367e-08,0.00054282,
107,404.8244,1.0268,0.00055306,2.5098e-08,0.00055306,
108,404.8244,1.0354,0.00054994,2.0181e-08,0.00054994,
109,404.8244,1.0446,0.00026969,2.1226e-08,0.00026969,
110,404.8244,1.0533,0.0002395,1.9281e-08,0.0002395,
111,404.8244,1.0613,0.00021048,1.253e-08,0.00021048,
112,404.8244,1.0705,0.00019918,9.1086e-09,0.00019918,
113,404.8244,1.0787,0.00022346,9.5018e-09,0.00022346,
114,404.8244,1.0869,0.0001358,9.6974e-09,0.0001358,
115,404.8244,1.0949,0.0001594,4.1291e-09,0.0001594,
116,404.8244,1.1033,0.00021921,3.9027e-09,0.00021921,
117,404.8244,1.1119,0.00014186,2.0931e-09,0.00014186,
118,404.8244,1.12,0.00017925,1.9608e-09,0.00017925,
119,404.8244,1.128,7.4149e-05,1.5518e-09,7.4149e-05,
120,404.8244,1.1369,6.1835e-05,9.0612e-10,6.1835e-05,
121,404.8244,1.1449,3.3555e-05,1.2361e-10,3.3555e-05,
122,404.8244,1.1532,2.4535e-05,1.1795e-10,2.4535e-05,
123,404.8244,1.1612,1.4712e-05,5.9361e-11,1.4712e-05,
124,404.8244,1.1692,1.8936e-05,8.4956e-11,1.8936e-05,
125,404.8244,1.1773,7.4733e-06,4.5279e-11,7.4733e-06,
126,404.8244,1.1854,5.8729e-06,1.1135e-11,5.8729e-06,
127,404.8244,1.1944,3.2455e-06,7.1128e-12,3.2455e-06,
128,404.8244,1.2025,2.9294e-06,1.6911e-12,2.9294e-06,
129,404.8244,1.2109,2.275e-06,1.0081e-12,2.275e-06,
130,404.8244,1.219,2.0516e-06,3.3196e-13,2.0516e-06,
131,404.8244,1.2274,7.0193e-07,2.2204e-13,7.0193e-07,
132,404.8244,1.2355,1.1158e-06,1.5743e-13,1.1158e-06,
133,404.8244,1.2436,4.0341e-07,7.6605e-14,4.0341e-07,
134,404.8244,1.2518,8.15e-07,7.8604e-14,8.15e-07,
135,404.8244,1.2608,1.458e-07,4.6629e-14,1.458e-07,
136,404.8244,1.2688,3.0992e-07,1.2212e-14,3.0992e-07,
137,404.8244,1.2771,4.2885e-08,7.3275e-15,4.2885e-08,
138,404.8244,1.2851,6.9641e-08,1.1102e-15,6.9641e-08,
139,404.8244,1.2935,1.592e-08,1.9984e-15,1.592e-08,
140,404.8244,1.3026,1.1886e-08,4.4409e-16,1.1886e-08,
141,404.8244,1.3116,8.1011e-09,8.8818e-16,8.1011e-09,
142,404.8244,1.3203,8.5027e-09,4.4409e-16,8.5027e-09,
143,404.8244,1.3486,2.8242e-09,4.4409e-16,2.8242e-09,
144,404.8244,1.3601,6.4003e-09,4.4409e-16,6.4003e-09,
145,404.8244,1.3849,6.1352e-09,4.4409e-16,6.1352e-09,
146,404.8244,1.4127,4.8201e-09,2.2204e-16,4.8201e-09,
147,404.8244,1.4468,4.7466e-09,4.4409e-16,4.7466e-09,
148,404.8244,2.4509,4.7466e-09,4.4409e-16,4.7466e-09,
149,404.8244,2.4611,4.7466e-09,4.4409e-16,4.7466e-09,
150,404.8244,2.4773,4.7466e-09,4.4409e-16,4.7466e-09,
151,404.8244,2.4858,4.7466e-09,4.4409e-16,4.7466e-09,
152,404.8244,2.5029,4.7466e-09,4.4409e-16,4.7466e-09,
153,404.8244,2.5147,4.7466e-09,4.4409e-16,4.7466e-09,
154,404.8244,2.5321,4.7466e-09,4.4409e-16,4.7466e-09,
155,404.8244,2.5415,4.7466e-09,4.4409e-16,4.7466e-09,
156,404.8244,2.5548,4.7466e-09,4.4409e-16,4.7466e-09,
157,404.8244,2.5632,4.7466e-09,4.4409e-16,4.7466e-09,
158,404.8244,2.5764,4.7466e-09,4.4409e-16,4.7466e-09,
159,404.8244,2.5857,4.7466e-09,4.4409e-16,4.7466e-09,
160,404.8244,2.5973,4.7466e-09,4.4409e-16,4.7466e-09,
161,404.8244,2.6067,4.7466e-09,4.4409e-16,4.7466e-09,
162,404.8244,2.6201,4.7466e-09,4.4409e-16,4.7466e-09,
163,404.8244,2.634,4.7466e-09,4.4409e-16,4.7466e-09,
164,404.8244,2.6469,4.7466e-09,4.4409e-16,4.7466e-09,
165,404.8244,2.6562,4.7466e-09,4.4409e-16,4.7466e-09,
166,404.8244,2.6681,4.7466e-09,4.4409e-16,4.7466e-09,
167,404.8244,2.6784,4.7466e-09,4.4409e-16,4.7466e-09,
168,404.8244,2.6901,4.7466e-09,4.4409e-16,4.7466e-09,
169,404.8244,2.6997,4.7466e-09,4.4409e-16,4.7466e-09,
