"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,125.8331,16.4444,7.3251e-05,NaN,NaN,NaN,NaN,1,17.2294,4.7351,3.3692,
1,78.1528,14.7383,0.073874,1.6643e-08,0,6.4276,0,1,15.0422,2.7584,1.979,
2,57.3468,12.6708,0.1499,3.1316e-08,0,5.677,0,1,12.7199,1.0228,0.73448,
3,49.6541,10.3704,0.22525,2.8185e-08,0,4.0201,0,1,11.1867,4.0567,2.5623,
4,49.1179,10.3735,0.30885,5.803e-09,0,0.57291,1,1.5151,11.2512,4.2083,2.6676,
5,48.9493,10.3103,0.3848,1.4979e-08,0,0.46016,1,1.5151,11.198,4.1954,2.7083,
6,48.1258,10.3928,0.45994,1.2133e-08,0,0.90336,1,1.5151,11.3221,4.1971,2.8993,
7,45.9435,10.4518,0.54296,9.8274e-09,0,1.3999,1,1.5151,11.5947,4.4414,3.3902,
8,43.2034,10.3132,0.63581,9.8274e-09,0,1.6671,1,1.5151,11.8354,4.9372,3.9965,
9,39.8466,10.3816,0.72001,7.9602e-09,0,1.5689,1,1.5151,12.4038,5.6486,4.7066,
10,36.8849,9.3197,0.79357,1.3481e-08,0,1.842,1,1.5151,12.2585,7.0505,5.3763,
11,44.9053,10.2044,0.86759,8.3352e-06,0,7.3217,1,1.5151,11.2405,4.6791,2.6244,
12,43.7969,9.9009,0.95537,3.1316e-08,0,1.8469,1,1.5151,10.9012,4.4321,2.7557,
13,43.4611,9.5306,1.0269,2.0547e-08,0,1.0025,1,1.5151,10.5068,4.1699,2.8222,
14,46.0691,9.3045,1.0901,8.2083e-07,0,4.737,1,1.5151,9.5739,1.9527,1.5403,
15,45.8036,9.6169,1.1564,3.5334e-07,0,5.3454,1,1.5151,9.8774,2.121,1.4414,
16,41.2041,13.2428,1.2242,1.8778e-07,0,4.4134,1,1.5151,13.7085,3.2631,2.3214,
17,36.1104,12.9676,1.2985,8.0833e-08,0,3.1109,1,2.8538,13.8792,4.9457,2.5299,
18,35.5426,9.3423,1.373,6.4478e-09,0,0.79298,1,2.8538,10.5128,4.8082,2.5782,
19,38.9428,9.0748,1.4381,5.9839e-07,0,4.7963,1,2.8538,9.2252,1.6438,0.93421,
20,34.6136,8.4671,1.4737,0.07179,0,2.7505,1,2.8538,8.5985,1.2212,1.0439,
21,30.8682,6.4356,1.5082,0.15009,0,1.6395,1,2.8538,6.877,2.3669,1.4446,
22,31.6619,6.2236,1.5775,7.275e-08,0,2.7917,1,2.8538,6.5405,1.971,1.1852,
23,29.528,4.8323,1.6108,0.20589,0,1.2611,1,2.8538,5.3065,2.0641,1.4017,
24,26.5167,1.9383,1.641,1,0,3.0995,1,2.8538,2.7425,1.9394,0.99639,
25,25.578,0.9815,1.6715,0.81,0,1.7633,1,2.8538,1.8622,1.2578,1.1091,
26,24.7972,0.21642,1.7017,1,0,0.97523,1,2.8538,0.50647,0.33085,0.32371,
27,24.6372,0.0094891,1.7312,1,0,0.22793,1,2.8538,0.015812,0.011658,0.0082825,
28,24.6362,0.00032329,1.7604,1,0,0.029808,1,2.8538,0.00050581,0.00033611,0.00026597,
29,24.636,1.5308e-05,1.7903,1,0,0.00073388,1,2.8538,1.5309e-05,1.7488e-07,1.3896e-07,
30,24.636,3.9885e-07,1.8232,1,0,1.3897e-05,1,2.8538,3.9885e-07,4.9969e-12,3.6837e-12,
31,24.636,1.027e-08,1.8536,1,0,3.5472e-07,1,2.8538,1.027e-08,3.1721e-12,1.7024e-12,
32,24.636,2.6452e-10,1.8846,1,0,9.1313e-09,1,2.8538,2.6452e-10,1.4113e-12,7.1942e-13,
