"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,112.0533,0.010104,8.5297,6.1367,10.5543,
1,98.0498,0.014769,12.1622,5.3696,13.4862,
2,92.3273,0.020881,12.1925,4.6984,13.6498,
3,85.5135,0.028138,11.1806,4.1111,12.5722,
4,62.5922,0.038168,5.8648,1.5376,6.0949,
5,58.5864,0.044212,7.3325,1.4246,7.5836,
6,56.568,0.050162,5.6461,1.1592,6.0222,
7,54.5703,0.05725,7.725,1.0844,8.0906,
8,50.2737,0.061333,8.9879,2.3868,9.9613,
9,44.1317,0.064398,7.607,1.9287,8.3322,
10,38.27,0.067682,6.4729,1.7195,7.1966,
11,36.2354,0.071729,5.4758,1.3094,6.1236,
12,32.5887,0.076384,3.8173,0.86919,4.2161,
13,30.7,0.079956,2.9139,0.65373,3.1714,
14,30.0736,0.084187,3.2617,0.36159,3.3617,
15,27.8967,0.08931,2.1073,0.33879,2.1973,
16,27.2106,0.094923,1.6586,0.28929,1.7394,
17,26.6244,0.097717,1.9575,0.09488,1.9705,
18,26.1964,0.10068,2.0251,0.073522,2.0319,
19,25.6961,0.10566,2.0412,0.055222,2.0474,
20,25.2825,0.11079,1.5738,0.10082,1.5863,
21,25.0503,0.11418,1.9188,0.05639,1.9235,
22,24.761,0.1172,1.5776,0.042307,1.5813,
23,24.6251,0.12209,1.2169,0.099335,1.229,
24,24.5432,0.12621,0.88403,0.11463,0.89904,
25,24.2614,0.12903,0.74877,0.067259,0.75815,
26,24.0664,0.13169,0.70911,0.090433,0.72438,
27,23.9656,0.13451,0.58561,0.018283,0.58692,
28,23.8964,0.13901,0.63544,0.020677,0.6365,
29,23.8325,0.14327,0.46227,0.026313,0.46389,
30,23.7829,0.14635,0.53655,0.029473,0.53844,
31,23.7348,0.14887,0.33101,0.014931,0.33189,
32,23.6703,0.15136,0.19323,0.011188,0.19428,
33,23.63,0.15421,0.18058,0.0066491,0.18104,
34,23.6089,0.15911,0.205,0.014367,0.20697,
35,23.4901,0.16664,0.1721,0.0022634,0.17215,
36,23.4402,0.1852,0.16595,0.0001187,0.16595,
37,23.3644,0.20144,0.2055,0.0012262,0.20552,
38,23.2933,0.2214,0.25624,0.00031116,0.25624,
39,23.2626,0.23653,0.33211,0.01663,0.33323,
40,23.2265,0.24291,0.39349,0.03237,0.39713,
41,23.028,0.25447,0.38192,0.0031033,0.38196,
42,22.8814,0.27331,0.42639,0.00071311,0.42639,
43,22.792,0.28822,0.39793,0.054505,0.40405,
44,22.7003,0.29343,0.49516,0.097523,0.51232,
45,22.561,0.30287,0.75999,0.13651,0.80029,
46,22.4498,0.30882,0.82792,0.17069,0.87923,
47,22.306,0.31379,0.87955,0.2268,0.95591,
48,22.1729,0.31854,1.0311,0.25649,1.1291,
49,21.8722,0.32379,0.83156,0.18856,0.90923,
50,21.4451,0.32812,0.90012,0.067215,0.90631,
51,21.214,0.3319,0.72415,0.033592,0.72684,
52,21.0559,0.33702,0.72267,0.033535,0.72785,
53,21.0003,0.34324,0.77288,0.034568,0.77815,
54,20.6352,0.34816,0.70349,0.024133,0.70407,
55,20.6069,0.3526,0.38232,0.015619,0.38281,
56,20.5819,0.35717,0.2322,0.029278,0.23544,
57,20.5586,0.361,0.14986,0.014814,0.15204,
58,20.5191,0.36427,0.080095,0.0025246,0.080222,
59,20.516,0.36696,0.038102,0.00055034,0.038109,
60,20.5144,0.37014,0.022799,0.0001501,0.0228,
61,20.5143,0.37523,0.016296,0.0001273,0.016296,
62,20.5142,0.38025,0.0072305,2.6313e-05,0.0072306,
63,20.5142,0.38454,0.0043768,3.5961e-06,0.0043768,
64,20.5142,0.38939,0.0020849,1.5603e-06,0.0020849,
65,20.5142,0.39388,0.00094144,2.768e-07,0.00094144,
66,20.5142,0.39758,0.00078892,8.7456e-08,0.00078892,
67,20.5142,0.40159,0.00012789,6.9306e-08,0.00012789,
68,20.5142,0.40623,7.6811e-05,5.4001e-09,7.6811e-05,
69,20.5142,0.41047,2.6123e-05,9.2203e-10,2.6123e-05,
70,20.5142,0.41378,1.2468e-05,9.5067e-11,1.2468e-05,
71,20.5142,0.4164,4.9032e-06,2.5814e-11,4.9032e-06,
72,20.5142,0.41934,1.3042e-06,3.7026e-12,1.3042e-06,
73,20.5142,0.42324,6.1578e-07,5.7354e-13,6.1578e-07,
74,20.5142,0.42727,1.3585e-07,4.6185e-14,1.3585e-07,
75,20.5142,0.4301,8.3255e-08,8.2157e-15,8.3255e-08,
76,20.5142,0.43264,1.6321e-08,1.7764e-15,1.6321e-08,
77,20.5142,0.43514,1.3782e-08,8.8818e-16,1.3782e-08,
78,20.5142,0.43914,7.6971e-09,8.8818e-16,7.6971e-09,
79,20.5142,0.44329,5.9919e-09,2.2204e-16,5.9919e-09,
80,20.5142,0.45134,2.6202e-09,1.2212e-15,2.6202e-09,
81,20.5142,0.45533,1.4187e-09,8.8818e-16,1.4187e-09,
82,20.5142,0.46006,8.9875e-10,4.4409e-16,8.9875e-10,
83,20.5142,0.49463,7.0241e-10,3.3307e-16,7.0241e-10,
84,20.5142,0.50823,7.0241e-10,1.1102e-16,7.0241e-10,
85,20.5142,1.5837,7.0241e-10,1.1102e-16,7.0241e-10,
86,20.5142,1.5892,7.0241e-10,1.1102e-16,7.0241e-10,
87,20.5142,1.598,7.0241e-10,1.1102e-16,7.0241e-10,
88,20.5142,1.601,7.0241e-10,1.1102e-16,7.0241e-10,
89,20.5142,1.6121,7.0241e-10,1.1102e-16,7.0241e-10,
90,20.5142,1.6152,7.0241e-10,1.1102e-16,7.0241e-10,
91,20.5142,1.6261,7.0241e-10,1.1102e-16,7.0241e-10,
