"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0.21159,0.020828,116.2759,1,12.3105,12.3056,
1,0.40035,11.9099,3.3333,3.8986,0.27961,38.7974,4.8986,9.2116,7.4667,
2,1.368,11.9099,3.3333,0.89961,0.065665,79.6818,7.8973,4.3285,4.1433,
3,1.5506,7.9786,3.3333,0.21112,0.015607,91.7012,8.601,1.0022,0.95854,
4,1.7003,1.0393,3.3333,0.049624,0.003729,94.6363,8.7664,0.23425,0.22395,
5,1.8084,0.33987,3.3333,0.011501,0.00090145,95.3349,8.8048,0.054854,0.052425,
6,1.846,0.084928,3.3333,0.0027321,0.00022119,95.499,8.8139,0.012979,0.012388,
7,1.929,0.013815,3.3333,0.00052752,6.0854e-05,95.5378,8.8156,0.0032504,0.003105,
8,1.9505,0.023556,3.3333,0.00012882,1.4835e-05,95.5468,8.8161,0.00077329,0.00073577,
9,1.9709,0.00083379,3.3333,4.8378e-05,3.4974e-06,95.5491,8.8161,0.00021119,0.00020154,
10,1.991,0.00023324,3.3333,1.2295e-05,1.1648e-06,95.5495,8.8162,0.0001155,0.00011398,
11,2.0084,0.00026078,3.3333,6.4948e-06,3.0246e-07,95.5498,8.8162,8.1317e-05,8.0859e-05,
12,2.0283,0.0001173,11.1111,4.8517e-06,3.9176e-07,95.5497,8.8162,8.0091e-05,7.9712e-05,
13,2.0992,0.00013979,37.037,3.172e-05,1.357e-06,95.5496,8.8162,0.00037962,0.00037796,
14,2.1227,0.0035211,37.037,2.0527e-06,9.149e-08,95.5496,8.8163,6.7008e-05,6.6968e-05,
15,2.1393,6.4648e-05,37.037,3.6332e-07,2.0577e-08,95.5496,8.8163,2.292e-05,2.2915e-05,
16,2.1589,5.1728e-06,123.4568,4.2196e-07,3.9708e-08,95.5496,8.8163,3.2969e-05,3.2961e-05,
17,2.1806,2.1324e-06,123.4568,5.0663e-08,2.9892e-09,95.5496,8.8163,2.2981e-05,2.2981e-05,
18,2.2672,1.099e-06,411.5226,8.9373e-08,6.0256e-09,95.5496,8.8163,2.0577e-05,2.0576e-05,
19,2.2899,0.00013453,411.5226,9.7522e-09,7.5877e-10,95.5496,8.8163,1.349e-05,1.349e-05,
20,2.5913,2.6926e-07,1371.7421,8.0815e-08,5.2384e-09,95.5496,8.8162,5.0873e-05,5.0872e-05,
21,2.6209,0.00040865,1371.7421,1.0247e-09,1.2671e-10,95.5496,8.8162,5.1348e-06,5.1348e-06,
22,2.6313,2.6846e-07,4572.4737,1.0247e-09,1.2671e-10,95.5496,8.8162,4.3671e-06,4.3671e-06,
23,2.6563,0,4572.4737,3.8016e-10,2.0141e-11,95.5496,8.8162,5.7962e-06,5.7962e-06,
24,2.6668,5.353e-09,15241.579,3.8016e-10,2.0141e-11,95.5496,8.8162,4.3632e-06,4.3632e-06,
25,2.6928,0,15241.579,2.289e-10,1.3563e-11,95.5496,8.8162,4.7116e-06,4.7116e-06,
26,2.7216,2.1243e-09,50805.2634,3.0737e-10,3.0762e-11,95.5496,8.8162,6.4203e-06,6.4203e-06,
27,2.7554,1.2638e-09,50805.2634,2.4457e-11,1.7706e-12,95.5496,8.8162,7.0828e-06,7.0828e-06,
28,2.8085,6.493e-10,169350.8781,2.4457e-11,1.7706e-12,95.5496,8.8162,8.3156e-06,8.3156e-06,
29,2.8569,0,564502.9269,2.5686e-10,1.3737e-11,95.5496,8.8163,1.0292e-05,1.0292e-05,
30,2.8872,5.7679e-10,564502.9269,1.7808e-11,1.6205e-12,95.5496,8.8162,5.5039e-05,5.5039e-05,
