"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.43733,0.062038,29.2029,0.98755,5.847,
1,0.74839,7.0426,0.94284,0.044399,4.9334,0.99992,2.8134,
2,0.95929,7.0426,0.95123,0.040246,5.1068,1,2.8492,
3,1.2125,0.24513,0.95822,0.036998,5.2514,1,2.8799,
4,1.4675,0.17028,0.96379,0.034878,5.3441,1,2.8992,
5,3.0009,0.1007,0.96574,0.033121,5.4254,1,2.8867,
6,4.4431,0.61163,0.96837,0.03188,5.4804,1,2.8413,
7,5.2567,0.92748,0.96853,0.031244,5.5069,1,2.8233,
8,6.0633,0.26988,0.96865,0.030827,5.5239,1,2.8131,
9,7.161,0.15266,0.96875,0.030466,5.5407,1,2.8033,
10,8.44,0.12228,0.96885,0.030219,5.5522,1,2.8131,
11,9.8891,0.077085,0.9689,0.030057,5.5596,1,2.8092,
12,11.4099,0.048063,0.9689,0.029947,5.5646,1,2.8097,
13,12.9243,0.030666,0.96893,0.029873,5.568,1,2.789,
14,14.4736,0.020133,0.96896,0.029824,5.5701,1,2.7881,
15,16.014,0.012273,0.96897,0.029788,5.5718,1,2.9608,
16,17.5006,0.009913,0.96896,0.029767,5.5727,1,2.7867,
17,19.0649,0.0064056,0.969,0.029752,5.5734,1,2.7868,
18,20.606,0.003951,0.96898,0.029741,5.5739,1,2.7865,
19,20.6624,0.0034556,0.96897,0.029735,5.5741,1,2.7866,
20,20.723,0.00010617,0.96897,0.029732,5.5743,1,2.7866,
21,20.7792,7.2333e-05,0.96897,0.029729,5.5744,1,2.7866,
22,20.8379,4.9283e-05,0.96897,0.029727,5.5744,1,2.7866,
23,20.8955,3.3578e-05,0.96897,0.029726,5.5745,1,2.7866,
24,20.9488,2.2877e-05,0.96897,0.029725,5.5745,1,2.813,
25,21.0037,1.5587e-05,0.96897,0.029725,5.5745,1,2.8147,
26,21.0591,1.0619e-05,0.96897,0.029724,5.5745,1,2.7858,
27,21.1151,7.2347e-06,0.96897,0.029724,5.5745,1,2.7831,
28,21.1665,4.929e-06,0.96897,0.029724,5.5745,1,2.7831,
29,21.2244,3.3578e-06,0.96897,0.029724,5.5745,1,2.7773,
30,21.2779,2.2881e-06,0.96897,0.029724,5.5745,1,2.8147,
31,21.3304,1.5585e-06,0.96897,0.029724,5.5746,1,2.8962,
32,21.36,1.062e-06,0.96897,0.029724,5.5746,1,2.8962,
33,21.3991,5.4968e-09,0.96897,0.029724,5.5746,1,2.8962,
34,21.4264,7.324e-08,0.96897,0.029724,5.5746,1,2.8962,
35,21.4567,9.3636e-09,0.96897,0.029724,5.5746,1,2.8962,
36,21.4849,7.9659e-10,0.96897,0.029724,5.5746,1,2.8962,
37,21.515,4.7747e-09,0.96897,0.029724,5.5746,1,2.8962,
38,21.5456,8.9915e-10,0.96897,0.029724,5.5746,1,2.8962,
39,21.5754,7.4674e-10,0.96897,0.029724,5.5746,1,2.8962,
40,21.607,2.3085e-08,0.96897,0.029724,5.5746,1,2.8962,
41,21.6365,1.2225e-09,0.96897,0.029724,5.5746,1,2.8962,
42,21.6658,1.3172e-09,0.96897,0.029724,5.5746,1,2.8962,
43,21.6962,2.5082e-09,0.96897,0.029724,5.5746,1,2.8962,
44,21.7256,7.866e-10,0.96897,0.029724,5.5746,1,2.8962,
45,21.7559,2.4765e-09,0.96897,0.029724,5.5746,1,2.8962,
46,21.7851,7.8453e-10,0.96897,0.029724,5.5746,1,2.8962,
47,21.8152,2.4621e-09,0.96897,0.029724,5.5746,1,2.8962,
48,21.8461,1.3775e-09,0.96897,0.029724,5.5746,1,2.8962,
49,21.8739,7.612e-10,0.96897,0.029724,5.5746,1,2.8962,
50,21.9051,4.7809e-09,0.96897,0.029724,5.5746,1,2.8962,
51,21.9325,5.4541e-10,0.96897,0.029724,5.5746,1,2.8962,
52,21.962,9.3218e-09,0.96897,0.029724,5.5746,1,2.8962,
53,21.9937,1.4728e-09,0.96897,0.029724,5.5746,1,2.8962,
54,22.021,4.8723e-10,0.96897,0.029724,5.5746,1,2.8962,
55,22.052,1.5164e-07,0.96897,0.029724,5.5746,1,2.8962,
56,22.0832,3.5277e-09,0.96897,0.029724,5.5746,1,2.8962,
57,22.313,5.647e-10,0.96899,0.029723,5.5746,1,2.9281,
58,22.3434,0.00028567,0.96899,0.029723,5.5746,1,2.9281,
59,22.3741,8.8818e-10,0.96899,0.029723,5.5746,1,2.9281,
60,22.4025,4.4651e-10,0.96899,0.029723,5.5746,1,2.9281,
61,22.433,1.3742e-09,0.96899,0.029723,5.5746,1,2.9281,
62,22.466,1.4038e-09,0.96899,0.029723,5.5746,1,2.9281,
63,22.4946,4.2764e-10,0.96899,0.029723,5.5746,1,2.9281,
64,22.5264,2.6801e-09,0.96899,0.029723,5.5746,1,2.9281,
65,22.5563,2.974e-10,0.96899,0.029723,5.5746,1,2.9281,
66,22.5873,1.1502e-08,0.96899,0.029723,5.5746,1,2.9281,
67,22.6158,5.6645e-10,0.96899,0.029723,5.5746,1,2.9281,
