"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.26654,0.039953,49.2561,0.93495,7.4635,
1,0.17938,8.1703,2.5216,0.26974,7.316,1,4.9638,
2,0.26465,8.1703,2.5259,0.26388,7.4599,1,4.9831,
3,0.34948,0.20784,2.5241,0.25963,7.5691,1,4.9976,
4,0.45935,0.14937,2.5193,0.25649,7.6536,1,5.007,
5,0.57821,0.10285,2.5144,0.25417,7.7182,1,5.0138,
6,0.73145,0.064428,2.51,0.25245,7.7678,1,5.0593,
7,0.88138,0.039893,2.5066,0.25123,7.8032,1,5.0213,
8,1.0328,0.024374,2.5043,0.25046,7.8251,1,5.0635,
9,1.2215,0.015435,2.5029,0.25,7.8372,1,5.04,
10,1.5147,0.013925,2.5017,0.24969,7.8452,1,5.04,
11,1.7882,0.010174,2.501,0.24948,7.8507,1,5.0401,
12,2.0171,0.006869,2.5005,0.24933,7.8546,1,5.0818,
13,2.2336,0.0046564,2.5002,0.24923,7.8571,1,5.0819,
14,2.4784,0.0031747,2.4999,0.24917,7.8589,1,5.0389,
15,2.7554,0.002154,2.4998,0.24912,7.8601,1,5.0284,
16,3.0358,0.0014668,2.4997,0.24909,7.8609,1,5.035,
17,3.3166,0.0009969,2.4996,0.24907,7.8614,1,4.9869,
18,3.6276,0.00068081,2.4996,0.24905,7.8618,1,4.987,
19,3.9405,0.00046266,2.4995,0.24904,7.8621,1,4.9982,
20,4.2635,0.00031522,2.4995,0.24904,7.8623,1,4.949,
21,4.5994,0.00021469,2.4995,0.24903,7.8624,1,4.9566,
22,4.6748,0.00014632,2.4995,0.24903,7.8625,1,4.8471,
23,4.7461,7.1983e-05,2.4995,0.24902,7.8625,1,4.8471,
24,4.8221,4.9052e-05,2.4995,0.24902,7.8626,1,4.8471,
25,4.8954,3.3424e-05,2.4995,0.24902,7.8626,1,4.8471,
26,4.9634,2.2773e-05,2.4995,0.24902,7.8626,1,4.8471,
27,5.0354,1.5517e-05,2.4995,0.24902,7.8627,1,4.8471,
28,5.0982,1.0572e-05,2.4995,0.24902,7.8627,1,4.8471,
29,5.167,7.2028e-06,2.4995,0.24902,7.8627,1,4.8471,
30,5.2422,4.9072e-06,2.4995,0.24902,7.8627,1,4.8471,
31,5.3093,3.3438e-06,2.4995,0.24902,7.8627,1,4.8471,
32,5.3362,2.2776e-06,2.4995,0.24902,7.8627,1,4.8471,
33,5.3614,1.3795e-09,2.4995,0.24902,7.8627,1,4.8471,
34,5.3886,8.608e-09,2.4995,0.24902,7.8627,1,4.8471,
35,5.4141,2.3898e-09,2.4995,0.24902,7.8627,1,4.8471,
36,5.4414,4.4929e-09,2.4995,0.24902,7.8627,1,4.8471,
37,5.4669,1.4038e-09,2.4995,0.24902,7.8627,1,4.8471,
38,5.4947,8.5863e-09,2.4995,0.24902,7.8627,1,4.8471,
39,5.5217,1.5746e-09,2.4995,0.24902,7.8627,1,4.8471,
40,5.9767,1.3486e-09,2.4995,0.24902,7.8626,1,4.8471,
41,6.0188,0.00020777,2.4995,0.24902,7.8626,1,4.8471,
42,6.065,2.2166e-10,2.4995,0.24902,7.8626,1,4.8471,
43,6.1106,0,2.4995,0.24902,7.8626,1,4.8471,
