"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,31.6715,9.4118,4.682e-05,NaN,NaN,NaN,NaN,1,9.4238,0.27466,0.028203,
1,30.8938,5.1136,0.22742,0.9,0,6.8938,1,3.9619,5.1162,0.10947,0.0065118,
2,22.3422,2.8552,0.45043,1,0,10.8053,1,3.9619,2.9327,0.51534,0.020832,
3,21.789,0.9243,0.67636,1,0,5.8146,1,3.9619,0.93025,0.062705,0.0042453,
4,20.4764,0.4453,0.90613,1,0,3.4255,1,3.9619,0.44809,0.039206,0.0017383,
5,20.3534,1.3667,1.1797,0.53144,0,10.3347,1,3.9619,1.3675,0.029812,0.0019494,
6,20.3018,0.077967,1.4092,1,0,4.4095,1,3.9619,0.085082,0.024306,0.0013884,
7,20.3773,0.056775,1.6408,1,0,4.6693,1,3.9619,0.057449,0.0060623,0.00032832,
8,20.3726,0.081753,1.8674,0.6561,0,2.8949,1,3.9619,0.082215,0.0050896,0.0003029,
9,20.3645,0.05683,2.0931,1,0,5.6107,1,3.9619,0.057437,0.0069597,0.00024194,
10,20.347,0.024761,2.3211,1,0,6.3758,1,3.9619,0.025031,0.0031754,9.4064e-05,
11,20.3409,0.12806,2.547,0.9,0,3.6476,1,3.9619,0.12806,0.00064148,4.3371e-05,
12,20.3406,0.024464,2.7859,0.12158,0,2.0454,1,3.9619,0.02449,0.00075478,4.3553e-05,
13,20.3389,0.038055,3.0444,1,0,2.0768,1,3.9619,0.038056,0.00025982,1.0947e-05,
14,20.3388,0.018591,3.2943,0.12158,0,1.9198,1,3.9619,0.018594,0.00026536,1.0601e-05,
15,20.3387,0.013312,3.5199,1,0,0.8102,1,3.9619,0.013313,5.5675e-05,3.4529e-06,
16,20.339,0.011369,3.7632,0.07179,0,1.0257,1,3.9619,0.01137,3.7536e-05,1.7519e-06,
17,20.3386,0.0073708,3.9873,1,0,0.60699,1,3.9619,0.0073709,3.8531e-05,1.1343e-06,
18,20.3386,0.0031941,4.2549,0.0070697,0,0.016839,1,3.9619,0.0031944,3.9094e-05,1.1462e-06,
19,20.3386,0.0078158,4.502,0.034337,0,0.45612,1,3.9619,0.0078158,2.3903e-05,1.0885e-06,
20,20.3385,0.007512,4.7449,0.052335,0,0.059149,1,3.9619,0.007512,1.5018e-05,1.3032e-06,
21,20.3385,0.0026655,4.9822,0.12158,0,0.23259,1,3.9619,0.0026656,1.4514e-05,1.203e-06,
22,20.3386,0.0067008,5.2274,0.047101,0,0.51874,1,3.9619,0.0067009,1.9024e-05,7.1135e-07,
23,20.3386,0.0065716,5.5285,1.4116e-05,0,0.0001595,1,3.9619,0.0065716,1.9024e-05,7.1138e-07,
24,20.3386,0.0064337,5.7766,0.030903,0,0.3658,1,3.9619,0.0064338,2.1311e-05,7.46e-07,
25,20.3386,0.0063717,6.0483,0.0027389,0,0.032196,1,3.9619,0.0063718,2.1238e-05,7.3856e-07,
26,20.3386,0.0060368,6.3639,3.2292e-06,0,3.2679e-05,1,3.9619,0.0060369,2.1238e-05,7.3856e-07,
27,20.3386,0.0063304,6.6708,6.0764e-06,0,6.7506e-05,1,3.9619,0.0063305,2.1238e-05,7.3852e-07,
28,20.3386,0.0057811,6.9158,0.047101,0,0.4545,1,3.9619,0.0057811,2.4621e-05,7.9339e-07,
29,20.3386,0.006043,7.2219,5.4688e-06,0,6.1985e-05,1,3.9619,0.006043,2.4621e-05,7.9339e-07,
30,20.3386,0.005599,7.4709,0.030903,0,0.3292,1,3.9619,0.0055991,2.6107e-05,7.8321e-07,
31,20.3386,0.0052002,7.7139,0.064611,0,0.58961,1,3.9619,0.0052003,3.1522e-05,9.5914e-07,
32,20.3385,0.0050643,7.961,0.034337,0,0.31286,1,3.9619,0.0050644,3.3448e-05,1.0346e-06,
33,20.3385,0.005336,8.2817,5.9839e-07,0,5.3762e-06,1,3.9619,0.0053361,3.3448e-05,1.0347e-06,
34,20.3385,0.0021377,8.5481,0.002465,0,0.0011218,1,3.9619,0.0021381,3.3357e-05,1.0332e-06,
35,20.3385,0.005255,8.8718,6.6487e-07,0,6.0683e-06,1,3.9619,0.0052552,3.3357e-05,1.0332e-06,
36,20.3385,0.0051281,9.1401,0.0022185,0,0.0082666,1,3.9619,0.0051282,3.3219e-05,9.7344e-07,
37,20.3385,0.0051415,9.4056,0.010775,0,0.10781,1,3.9619,0.0051416,3.3358e-05,9.9658e-07,
38,20.3386,0.0048497,9.6765,0.025032,0,0.2412,1,3.9619,0.0048499,3.3288e-05,8.3399e-07,
39,20.3386,0.0046586,9.9353,0.0063627,0,0.049951,1,3.9619,0.0046587,3.3197e-05,8.6089e-07,
40,20.3385,0.001666,10.179,0.064611,0,0.063765,1,3.9619,0.0016664,3.1195e-05,1.0283e-06,
41,20.3385,0.0048622,10.4946,1.0134e-06,0,9.189e-06,1,3.9619,0.0048624,3.1195e-05,1.0283e-06,
42,20.3385,0.0047106,10.8039,3.5881e-06,0,3.3523e-05,1,3.9619,0.0047107,3.1195e-05,1.0284e-06,
43,20.3385,0.0038364,11.0566,0.07179,0,0.53266,1,3.9619,0.0038366,3.4212e-05,1.043e-06,
44,20.3385,0.0021579,11.3606,6.7516e-06,0,3.5184e-06,1,3.9619,0.0021583,3.4212e-05,1.0431e-06,
45,20.3385,0.0043158,11.6718,2.6157e-06,0,2.0826e-05,1,3.9619,0.004316,3.4212e-05,1.0431e-06,
46,20.3385,0.0040867,11.9276,0.038152,0,0.33832,1,3.9619,0.0040869,3.515e-05,9.9929e-07,
47,20.3385,0.0038988,12.2337,1.2704e-05,0,8.4118e-05,1,3.9619,0.0038991,3.5149e-05,9.9933e-07,
48,20.3385,0.0039162,12.5378,6.7516e-06,0,5.3575e-05,1,3.9619,0.0039164,3.5149e-05,9.9934e-07,
49,20.3385,0.0040577,12.7917,0.018248,0,0.15519,1,3.9619,0.0040579,3.5095e-05,9.5927e-07,
50,20.3385,0.0037975,13.0433,0.038152,0,0.32069,1,3.9619,0.0037977,3.515e-05,1.001e-06,
51,20.3385,0.002904,13.2941,0.022528,0,0.13424,1,3.9619,0.0029042,3.4812e-05,8.8845e-07,
52,20.3385,0.0036856,13.6054,3.5881e-06,0,2.6542e-05,1,3.9619,0.0036858,3.4812e-05,8.8846e-07,
53,20.3385,0.0039719,13.862,0.0070697,0,0.048558,1,3.9619,0.0039721,3.4255e-05,7.958e-07,
54,20.3385,0.0031438,14.1071,0.047101,0,0.29638,1,3.9619,0.003144,3.4124e-05,8.1127e-07,
55,20.3385,0.0037493,14.3665,0.0063627,0,0.033786,1,3.9619,0.0037495,3.4161e-05,8.5283e-07,
56,20.3385,0.0043641,14.6529,0.00011611,0,0.00023162,1,3.9619,0.0043643,3.4156e-05,8.5705e-07,
57,20.3385,0.00078958,14.8882,0.20589,0,0.079093,1,3.9619,0.00079023,2.7166e-05,8.0375e-07,
