"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,3.2004,3.2004,6.2476,1,4.2827,2.8458,
1,0.83979,36.9023,3.3333,1.0007,1.0007,0.001931,0.00067548,1.3757,0.94406,
2,1.461,36.9023,3.3333,0.0049786,0.0049786,0.022158,0.017271,0.015074,0.014228,
3,1.8943,13.3213,3.3333,0.0023706,0.0023706,0.018868,0.0093688,0.0071111,0.0067043,
4,2.4825,3.5199,11.1111,0.0048841,0.0048841,0.014582,0.025649,0.017062,0.016348,
5,3.2105,4.6265,11.1111,0.00094434,0.00094434,0.0082136,0.015156,0.0090469,0.0089975,
6,3.9036,12.087,11.1111,0.00016159,0.00016159,0.006869,0.013361,0.0016071,0.001599,
7,4.3791,4.4352,11.1111,2.5139e-05,2.5139e-05,0.0059933,0.01364,0.003846,0.0038459,
8,5.0388,2.5342,37.037,8.0483e-05,8.0483e-05,0.0051082,0.012746,0.0039093,0.0039085,
9,5.783,3.0586,123.4568,7.4611e-05,7.4611e-05,0.004202,0.0099827,0.0019899,0.0019885,
10,6.6813,3.7495,123.4568,2.7461e-05,2.7461e-05,0.0037432,0.0065925,0.0024471,0.002447,
11,7.5857,2.2611,123.4568,2.1794e-05,2.1794e-05,0.0036518,0.0092831,0.0055944,0.0055944,
12,8.2317,0.56067,411.5226,2.2238e-05,2.2238e-05,0.0030448,0.0065376,0.00209,0.0020899,
13,9.13,3.3833,411.5226,1.5417e-05,1.5417e-05,0.0029434,0.0001931,0.0029404,0.0029404,
14,10.022,0.59816,411.5226,2.9979e-06,2.9979e-06,0.0029017,0.0014268,0.0064605,0.0064605,
15,10.918,0.25436,1371.7421,3.1031e-06,3.1031e-06,0.0026594,0.0027038,0.007141,0.007141,
16,11.8166,1.6561,1371.7421,2.9635e-07,2.9635e-07,0.0018137,0.0031103,0.0040232,0.0040232,
17,12.7113,7.3518,4572.4737,1.505e-06,1.505e-06,0.0016663,0.0051748,0.0019551,0.0019551,
18,13.2176,1.7688,15241.579,2.6359e-06,2.6359e-06,0.0016451,0.0068778,0.0023741,0.0023741,
19,14.1148,0.22084,15241.579,8.4473e-08,8.4473e-08,0.0016295,0.0055903,0.010435,0.010435,
20,15.0214,0.13718,50805.2634,2.3517e-06,2.3517e-06,0.0015738,0.041434,0.010657,0.010657,
21,15.9157,0.59453,50805.2634,7.8739e-07,7.8739e-07,0.0015673,0.0014307,0.044818,0.044818,
22,16.819,0.036832,169350.8781,1.2154e-06,1.2154e-06,0.0015092,0.060316,0.0052213,0.0052213,
23,16.8334,0.66385,169350.8781,3.326e-07,3.326e-07,0.0015092,0.0039902,0.053403,0.053403,
24,16.8477,1.6331e-06,169350.8781,2.3004e-13,2.3004e-13,0.0015092,0.0039902,0.00092941,0.00092941,
25,17.7552,3.5171e-07,564502.9269,2.8959e-07,2.8959e-07,0.0015046,0.045053,0.0012716,0.0012716,
26,17.7703,0.033998,564502.9269,8.9123e-08,8.9123e-08,0.0015046,0.0052576,0.047711,0.047711,
27,17.7851,3.9938e-07,564502.9269,8.0824e-14,8.0824e-14,0.0015046,0.0052577,0.00041448,0.00041448,
28,17.7977,9.404e-08,1881676.4232,3.5646e-11,3.5646e-11,0.0015045,0.0052778,0.00011822,0.00011822,
29,17.8095,0.00046297,1881676.4232,1.5632e-13,1.5632e-13,0.0015045,0.0052781,0.00011662,0.00011662,
30,18.6698,5.1518e-10,6272254.7439,1.5588e-08,1.5588e-08,0.0015032,0.03461,0.001086,0.001086,
