"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,8.4574,4.2907,1.6175,1,8.6141,
1,0.20196,25.3041,0.00015121,0.00012703,0.033443,0.0015121,0.00066733,
2,0.20737,25.3041,7.0848e-05,5.7678e-05,0.033443,0.0010399,0.00061075,
3,0.20931,0.00026984,7.0848e-05,5.7678e-05,0.033443,0.0015264,0.00047929,
4,0.7837,0,0.0011057,0.00057767,0.028055,0.034951,0.03955,
5,1.2689,9.9151,0.00034535,0.00020743,0.021058,0.016028,0.01504,
6,1.9977,1.3067,0.00029701,0.00021597,0.0041574,0.020233,0.02292,
7,2.634,3.1485,0.00016069,9.8938e-05,0.0027542,0.016067,0.011137,
8,3.3646,0.41122,7.9576e-05,7.4288e-05,0.0017547,0.01168,0.015188,
9,4.1371,0.38784,9.6644e-06,6.4196e-06,0.00073215,0.0020821,0.010996,
10,4.2179,0.45804,3.3367e-06,1.8025e-06,5.8534e-05,0.0010552,6.273e-05,
11,4.2262,0.80149,2.3291e-06,1.2825e-06,5.8535e-05,0.0010811,5.9792e-05,
12,4.2337,1.5686e-06,1.588e-06,8.7162e-07,5.8536e-05,0.0010819,5.8673e-05,
13,4.2415,1.1391e-06,1.0824e-06,5.9478e-07,5.8537e-05,0.0010824,5.8976e-05,
14,4.3658,7.776e-07,7.5207e-07,3.8373e-07,5.8507e-05,0.0011039,4.9377e-05,
15,4.3936,0.0015853,5.3488e-07,2.7374e-07,5.8506e-05,0.0011524,1.8859e-05,
16,4.4024,5.1146e-05,3.6055e-07,1.8676e-07,5.8507e-05,0.0011402,2.9221e-05,
17,4.4129,2.5825e-07,2.4715e-07,1.2458e-07,5.8507e-05,0.0011472,8.4954e-06,
18,4.4233,1.6734e-07,1.6896e-07,8.4592e-08,5.8507e-05,0.0011511,1.0397e-05,
19,4.435,1.1577e-07,1.1481e-07,5.7872e-08,5.8507e-05,0.0011481,8.5393e-06,
20,4.4461,8.0331e-08,7.8437e-08,3.922e-08,5.8507e-05,0.0011513,1.119e-05,
21,4.4568,5.3853e-08,5.3104e-08,2.6649e-08,5.8507e-05,0.0011441,9.6081e-06,
22,4.4692,3.7583e-08,3.6357e-08,1.8312e-08,5.8507e-05,0.0011497,8.6198e-06,
23,4.4805,2.4875e-08,2.464e-08,1.2346e-08,5.8507e-05,0.0011437,1.0395e-05,
24,4.4936,1.735e-08,1.6876e-08,8.5e-09,5.8507e-05,0.0011497,8.6288e-06,
25,4.5053,1.1537e-08,1.1437e-08,5.7204e-09,5.8507e-05,0.0011437,1.1397e-05,
26,4.5159,8.0523e-09,7.8645e-09,4.0798e-09,5.8507e-05,0.0011544,3.1849e-05,
27,4.5267,5.3364e-09,5.2894e-09,2.9181e-09,5.8507e-05,0.0011396,9.3718e-05,
28,4.5378,3.8558e-09,3.6359e-09,1.9243e-09,5.8507e-05,0.0011498,5.1288e-05,
29,4.5487,2.4435e-09,2.426e-09,1.3638e-09,5.8507e-05,0.001126,0.00011255,
30,4.5606,1.8062e-09,1.6739e-09,8.9092e-10,5.8507e-05,0.0011404,5.6209e-05,
