"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,2.5706,2.5706,25.5799,1,6.4311,
1,0.50767,18.5274,0.0033444,0.0033444,0.048417,0.033431,0.032985,
2,0.96248,18.5274,0.00064678,0.00064678,0.026622,0.0094932,0.0052514,
3,1.5713,13.4866,0.00086223,0.00086223,0.02469,0.018574,0.010604,
4,2.1749,2.5625,0.00014855,0.00014855,0.017898,0.0046974,0.0039646,
5,2.1983,16.7071,9.6487e-05,9.6487e-05,0.017878,0.0044785,0.00040377,
6,2.7319,0.022654,4.191e-05,4.191e-05,0.017645,0.0028553,0.002015,
7,3.3203,0.97447,5.0379e-05,5.0379e-05,0.016717,0.0050379,0.0063974,
8,4.0384,4.2984,3.9262e-05,3.9262e-05,0.016138,0.0057629,0.0028023,
9,4.7732,3.1908,1.1977e-05,1.1977e-05,0.0149,0.0025803,0.0025156,
10,5.6612,8.294,6.7158e-05,6.7158e-05,0.014763,0.021234,0.013142,
11,6.5696,1.1027,5.5264e-06,5.5264e-06,0.013312,0.0025651,0.0015676,
12,7.4573,14.9392,2.9759e-06,2.9759e-06,0.01329,0.0020274,0.0025456,
13,8.3486,0.31202,1.0942e-05,1.0942e-05,0.013175,0.010941,0.0086618,
14,9.1094,1.5628,7.7719e-07,7.7719e-07,0.012578,0.0011408,0.0022348,
15,10.0044,9.1327,1.9568e-07,1.9568e-07,0.012508,0.00042158,0.0021613,
16,10.8847,1.1839,2.264e-07,2.264e-07,0.012488,0.00071595,0.0021088,
17,11.7966,0.37539,6.8455e-07,6.8455e-07,0.012322,0.0031774,0.0076191,
18,12.616,3.6187,4.2037e-07,4.2037e-07,0.012228,0.0028639,0.0014712,
19,13.3879,1.3012,3.178e-07,3.178e-07,0.011997,0.003178,0.0030435,
20,14.2984,4.9464,5.4498e-07,5.4498e-07,0.01199,0.0079991,0.0042386,
21,15.1964,0.097547,1.5584e-07,1.5584e-07,0.011988,0.0033574,0.0013298,
22,16.0944,0.077711,3.045e-07,3.045e-07,0.011916,0.0096287,0.0060029,
23,16.9971,1.6699,4.0814e-08,4.0814e-08,0.011911,0.0018944,0.0025006,
24,17.9516,0.061793,5.0015e-06,5.0015e-06,0.011816,0.32814,0.21751,
25,18.8478,2.2761,1.2699e-07,1.2699e-07,0.011811,0.012698,0.0075604,
26,19.7439,0.13734,3.6854e-07,3.6854e-07,0.0118,0.054041,0.036589,
27,19.7575,0.21969,6.4511e-09,6.4511e-09,0.0118,0.0013898,0.00042021,
28,19.768,5.6842e-07,4.395e-09,4.395e-09,0.0118,0.0013898,0.0004202,
29,19.7787,9.9617e-09,2.9943e-09,2.9943e-09,0.0118,0.0013898,0.00042019,
30,19.7899,8.751e-09,2.04e-09,2.04e-09,0.0118,0.0013898,0.00042019,
31,19.8007,4.8424e-09,1.3898e-09,1.3898e-09,0.0118,0.0013898,0.00042019,
32,20.6272,4.2851e-09,2.8428e-08,2.8428e-08,0.0118,0.02842,0.01769,
33,20.6418,0.015349,1.6278e-09,1.6278e-09,0.0118,0.0016278,0.00049026,
34,21.5494,4.0854e-08,7.2139e-08,7.2139e-08,0.011796,0.072014,0.048451,
35,21.5639,0.089506,1.392e-09,1.392e-09,0.011796,0.001392,0.00043052,
36,22.4715,1.1148e-07,2.9806e-09,2.9806e-09,0.011795,0.0029806,0.0012352,
37,22.4829,0.056427,1.8213e-09,1.8213e-09,0.011795,0.0018213,0.00096959,
38,23.3884,9.7822e-09,2.376e-08,2.376e-08,0.011792,0.023756,0.01449,
39,23.4029,0.053228,1.8108e-09,1.8108e-09,0.011792,0.0018108,0.00042311,
40,24.3123,3.3482e-08,1.0491e-07,1.0491e-07,0.011782,0.10453,0.070417,
41,24.3268,0.25493,2.1629e-09,2.1629e-09,0.011782,0.0021629,0.0005926,
42,25.2282,1.6232e-07,3.3498e-08,3.3498e-08,0.011781,0.033485,0.023205,
43,25.2426,0.011619,1.6659e-09,1.6659e-09,0.011781,0.0016659,0.00046688,
44,25.2548,5.3451e-08,1.6627e-09,1.6627e-09,0.011781,0.0016627,4.99e-05,
45,26.1527,0.00048021,5.0688e-08,5.0688e-08,0.01178,0.050645,0.032544,
46,26.1673,0.019305,1.3386e-09,1.3386e-09,0.01178,0.0013386,0.00036073,
47,27.0802,7.4848e-08,5.1221e-08,5.1221e-08,0.011778,0.051176,0.034806,
48,27.0947,0.041278,1.557e-09,1.557e-09,0.011778,0.001557,0.0002726,
49,27.1059,8.0006e-08,1.612e-09,1.612e-09,0.011778,0.001612,6.5845e-05,
50,28.0068,0.00029615,4.5523e-08,4.5523e-08,0.011773,0.045491,0.031184,
51,28.0212,0.14208,1.7424e-09,1.7424e-09,0.011773,0.0017424,0.00076956,
