"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.72652,0.90308,4.531e-05,NaN,NaN,NaN,NaN,1,4.514,4.4228,4.4228,
1,0.56775,0.8975,0.035908,0.0001045,0,0.72425,1,1,4.6392,4.5515,4.5515,
2,0.35189,0.94928,0.070362,3.6435e-05,0,1.1747,1,1.8783,4.6795,4.5822,4.5822,
3,0.48388,0.94804,0.10128,0.0001045,0,3.3482,1,1.8783,4.3138,4.2084,4.2084,
4,0.48174,0.84914,0.12539,0.0016173,0,0.48125,1,1.8783,4.2935,4.2087,4.2087,
5,1.1926,1.1093,0.14254,0.018248,0,7.3993,1,1.8783,3.9802,3.8225,3.8225,
6,0.90493,0.97527,0.15868,0.027813,0,3.7978,1,1.8783,4.0771,3.9587,3.9587,
7,0.8254,0.96768,0.187,0.00024275,0,1.1438,1,1.8783,4.1081,3.9925,3.9925,
8,0.71279,0.95018,0.21543,0.00019663,0,1.2844,1,1.8783,4.1485,4.0383,4.0383,
9,0.59122,0.92137,0.24382,0.00024275,0,1.5181,1,1.8783,4.1904,4.0879,4.0879,
10,0.50796,0.89467,0.27226,0.0004111,0,1.687,1,1.8783,4.2187,4.1227,4.1227,
11,0.46832,0.87867,0.30375,0.0010611,0,1.8744,1,1.8783,4.2306,4.1384,4.1384,
12,0.45371,0.85342,0.32131,0.034337,0,14.0862,1,1.8783,4.2149,4.1276,4.1276,
13,0.17182,0.41889,0.33671,0.047101,0,20.1898,1,1.8783,4.0286,4.0068,4.0068,
14,3.6556,1.7446,0.35011,0.079766,0,104.3703,1,1.8783,2.5109,1.8059,1.8059,
15,0.67755,1.1352,0.36986,0.0070697,0,57.0917,1,1.8783,2.8737,2.64,2.64,
16,0.0074378,0.0021404,0.37705,1,0,22.0654,1,1.8783,0.23481,0.2348,0.2348,
17,0.00018332,0.017133,0.38481,1,0,27.3035,1,1.8783,0.13571,0.13463,0.13463,
18,1.5581e-07,0.00011413,0.39558,1,0,1.919,1,1.8783,0.00025095,0.0002235,0.0002235,
19,4.9901e-11,7.4198e-07,0.40636,1,0,0.16971,1,1.8783,2.6752e-06,2.5702e-06,2.5702e-06,
20,1.7577e-14,1.6577e-09,0.41477,1,0,0.0030578,1,1.8783,2.0012e-09,1.1212e-09,1.1212e-09,
