"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0.22926,0.051829,25.2225,1,6.4828,6.4725,
1,0.080589,6.603,3.3333,0.86194,0.12007,4.9733,1.8619,3.2242,3.0204,
2,0.2512,6.603,3.3333,0.20109,0.02807,7.1777,2.5322,0.95828,0.92496,
3,0.84839,1.9059,3.3333,0.043789,0.0066981,7.8332,2.6782,0.19352,0.18479,
4,1.4357,6.62,3.3333,0.018537,0.0024313,7.976,2.7075,0.049295,0.044354,
5,1.9985,2.9763,11.1111,0.013527,0.0013783,8.0097,2.7135,0.02131,0.015788,
6,2.6651,2.7068,11.1111,0.009473,0.00094209,8.0208,2.7233,0.014533,0.010559,
7,3.2769,5.6855,11.1111,0.0074532,0.00066058,8.0288,2.7195,0.011923,0.0090047,
8,3.9208,5.8478,37.037,0.0068165,0.00065317,8.0298,2.7167,0.010873,0.0081527,
9,4.6328,2.1271,37.037,0.00018591,2.0223e-05,8.0483,2.7236,0.0050311,0.005027,
10,5.35,2.1254,123.4568,3.735e-05,2.515e-06,8.0492,2.7129,0.0078898,0.0078897,
11,6.187,2.1995,123.4568,0.00012929,1.8488e-05,8.0474,2.7156,0.0059561,0.005954,
12,6.933,2.5138,411.5226,1.4621e-05,1.3477e-06,8.0482,2.7163,0.017084,0.017084,
13,7.7559,0.40886,411.5226,6.2834e-05,4.1889e-06,8.0472,2.7146,0.0083444,0.0083442,
14,8.598,3.8467,1371.7421,6.7515e-05,1.0747e-05,8.047,2.7424,0.032533,0.032533,
15,9.5071,0.81097,1371.7421,8.5981e-08,5.7321e-09,8.0471,2.7217,0.02666,0.02666,
16,10.4685,1.4657,1371.7421,1.6174e-05,3.2074e-06,8.0468,2.7212,0.037316,0.037316,
17,11.3447,0.57738,4572.4737,2.2835e-05,1.9164e-06,8.0469,2.7164,0.035414,0.035414,
18,12.4234,0.16407,4572.4737,0,0,8.0468,2.7085,0.0017275,0.0017275,
19,13.3508,0.95416,15241.579,9.1063e-06,1.5193e-06,8.0467,2.7298,0.043789,0.043789,
20,14.3293,0.50701,15241.579,9.269e-07,1.7234e-07,8.0467,2.741,0.037639,0.037639,
21,15.2772,0.086689,50805.2634,9.6196e-07,7.3458e-08,8.0467,2.7431,0.052159,0.052159,
22,16.2592,0.30086,50805.2634,1.9144e-06,2.1101e-07,8.0467,2.7268,0.097754,0.097754,
23,17.2351,0.055186,169350.8781,8.2357e-07,5.4904e-08,8.0467,2.6378,0.023459,0.023459,
24,17.2606,0.11211,169350.8781,4.7045e-07,5.0887e-08,8.0467,2.7174,0.088729,0.088729,
25,18.235,2.6814e-06,169350.8781,1.835e-08,1.2233e-09,8.0467,2.7205,0.0015534,0.0015534,
26,19.2203,0.026352,564502.9269,7.7335e-07,6.3946e-08,8.0467,2.6594,0.014589,0.014589,
27,19.2565,0.16921,564502.9269,1.7576e-07,2.3055e-08,8.0467,2.7174,0.16326,0.16326,
28,19.2798,1.5192e-06,564502.9269,3.2154e-11,2.3882e-12,8.0467,2.7174,0.00086438,0.00086438,
29,20.2526,3.4663e-07,1881676.4232,5.9997e-07,5.2477e-08,8.0466,2.9462,0.0012109,0.0012109,
30,20.2773,0.18961,1881676.4232,1.3114e-07,1.6144e-08,8.0466,2.7174,0.39572,0.39572,
31,20.2999,1.2462e-06,1881676.4232,9.0148e-11,8.1249e-12,8.0466,2.7175,0.0013657,0.0013657,
32,20.318,2.873e-07,6272254.7439,4.6931e-10,4.6617e-11,8.0466,2.7175,0.0013119,0.0013119,
33,20.3375,3.334e-09,6272254.7439,3.1647e-11,2.1098e-12,8.0466,2.7175,0.0013291,0.0013291,
34,20.3552,9.1109e-10,20907515.8129,4.7629e-10,4.2848e-11,8.0466,2.7173,0.0012377,0.0012377,
35,20.3755,4.0887e-08,20907515.8129,1.736e-11,1.1573e-12,8.0466,2.717,0.0027949,0.0027949,
36,20.3956,8.8964e-10,20907515.8129,3.9313e-11,6.2789e-12,8.0466,2.7172,0.0019922,0.0019922,
37,20.4155,3.4658e-10,69691719.3763,4.9347e-11,4.4199e-12,8.0466,2.7175,0.0014674,0.0014674,
38,20.4534,3.9131e-10,232305731.2542,4.9347e-11,4.4199e-12,8.0466,2.7185,0.0012755,0.0012755,
39,20.4855,0,774352437.514,4.9347e-11,4.4199e-12,8.0466,2.7216,0.0044183,0.0044183,
40,20.5172,0,2581174791.7132,4.9347e-11,4.4199e-12,8.0466,2.7321,0.017248,0.017248,
41,20.5489,0,8603915972.3773,4.9347e-11,4.4199e-12,8.0466,2.7671,0.060414,0.060414,
42,20.5805,0,28679719907.9244,4.9347e-11,4.4199e-12,8.0466,2.8837,0.2044,0.2044,
43,20.6121,0,95599066359.7481,4.9347e-11,4.4199e-12,8.0466,3.5397,0.68437,0.68437,
44,20.6438,0,318663554532.4938,4.9347e-11,4.4199e-12,8.0466,8.2573,2.2843,2.2843,
45,20.6758,0,1062211848441.646,4.9347e-11,4.4199e-12,8.0466,20,7.3307,7.3307,
46,20.7076,0,3540706161472.154,4.9347e-11,4.4199e-12,8.0466,20,19.6439,19.6439,
47,20.7394,0,11802353871573.85,4.9347e-11,4.4199e-12,8.0466,20,25.7397,25.7397,
48,20.7711,0,39341179571912.82,4.9347e-11,4.4199e-12,8.0466,20,29.0243,29.0243,
49,20.8029,0,131137265239709.4,4.9347e-11,4.4199e-12,8.0466,20,34.4525,34.4525,
