"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.022213,0.0026335,0.46001,0.55531,0.91648,
1,0.036472,0.49938,0.040626,0.0067392,0.17662,0.60019,0.51139,
2,0.05964,0.49938,0.02768,0.0046762,0.18471,0.6002,0.51675,
3,0.078741,0.01876,0.018822,0.0032227,0.19041,0.60001,0.52014,
4,0.11578,0.013186,0.012777,0.0022117,0.19438,0.59966,0.52213,
5,0.14153,0.0096283,0.0086814,0.0015131,0.19712,0.5994,0.52336,
6,0.17355,0.0066031,0.0058995,0.0010345,0.19899,0.59915,0.525,
7,0.20366,0.0046138,0.0040115,0.00070605,0.20027,0.59896,0.5252,
8,0.24465,0.0031347,0.0027299,0.00048164,0.20115,0.59885,0.52702,
9,0.27086,0.0021514,0.0018579,0.0003284,0.20175,0.59875,0.52655,
10,0.29172,0.001472,0.0012651,0.00022387,0.20216,0.5987,0.52625,
11,0.31503,0.00096978,0.00086143,0.00015258,0.20243,0.59865,0.526,
12,0.33432,0.00076,0.00058672,0.00010398,0.20262,0.59862,0.52586,
13,0.35447,0.00045095,0.00039963,7.0853e-05,0.20275,0.5986,0.52574,
14,0.37529,0.00033352,0.00027222,4.8277e-05,0.20284,0.59858,0.52567,
15,0.39972,0.00023025,0.00018545,3.2894e-05,0.2029,0.59858,0.51209,
16,0.42013,0.00014943,0.00012633,2.2412e-05,0.20294,0.59857,0.51207,
17,0.44242,0.00010204,8.6067e-05,1.5269e-05,0.20297,0.59856,0.51205,
18,0.45789,7.0141e-05,5.8637e-05,1.0403e-05,0.20299,0.59856,0.52413,
19,0.48279,3.836e-05,3.9947e-05,7.0877e-06,0.203,0.59856,0.53861,
20,0.49599,4.412e-05,2.7216e-05,4.8289e-06,0.20301,0.59856,0.99173,
21,0.52043,1.6748e-05,1.8541e-05,3.2899e-06,0.20302,0.59856,0.99173,
22,0.53357,2.8888e-05,1.2632e-05,2.2414e-06,0.20302,0.59856,0.87671,
23,0.55994,7.7739e-06,8.6059e-06,1.527e-06,0.20302,0.59856,0.92247,
24,0.57841,1.4118e-05,5.8632e-06,1.0404e-06,0.20303,0.59856,0.92247,
25,0.59652,3.6084e-06,3.9945e-06,7.088e-07,0.20303,0.59856,0.92247,
26,0.61465,2.4584e-06,2.7215e-06,4.829e-07,0.20303,0.59856,0.92247,
27,0.64712,1.6749e-06,1.8541e-06,3.29e-07,0.20303,0.59856,0.92247,
28,0.66611,1.1441e-06,1.2632e-06,2.2414e-07,0.20303,0.59856,0.92247,
29,0.69485,7.7742e-07,8.606e-07,1.5271e-07,0.20303,0.59856,0.92247,
30,0.71535,5.302e-07,5.8632e-07,1.0404e-07,0.20303,0.59856,0.92247,
31,0.73619,3.6085e-07,3.9946e-07,7.088e-08,0.20303,0.59856,0.92247,
32,0.75546,2.4592e-07,3.9945e-07,7.088e-08,0.20303,0.59856,0.92248,
33,0.76698,7.8274e-06,3.9945e-07,7.088e-08,0.20303,0.59856,0.92248,
34,0.79101,8.5399e-10,3.9945e-07,7.088e-08,0.20303,0.59856,0.92248,
35,0.79409,2.2559e-06,3.9945e-07,7.088e-08,0.20303,0.59856,0.92248,
36,0.79738,0,3.9945e-07,7.088e-08,0.20303,0.59856,0.92248,
