"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.34619,0.11439,0.75834,0.96958,1.0645,
1,0.027744,1.6331,0,0,0.0017419,0.046473,0.03941,
2,0.03868,1.6331,0,0,0.00024368,0.019678,0.013819,
3,0.051399,0.061149,0,0,1.1749e-05,0.0046486,0.003004,
4,0.061613,0.030755,0,0,9.2962e-08,0.00043622,0.00025723,
5,0.064365,0.0080404,0,0,9.2962e-08,1.1696e-05,0.00025723,
6,0.067351,0,0,0,9.2962e-08,5.7659e-08,0.00025723,
7,0.072964,0,0,0,4.0231e-08,2.3994e-11,0.00015678,
8,0.076059,0.00025723,0,0,4.0231e-08,2.583e-16,0.00015678,
9,0.078949,0,0,0,4.0231e-08,1.3187e-23,0.00015678,
10,0.083169,0,0,0,1.9883e-08,2.6812e-34,0.00010479,
11,0.087161,0.00015678,0,0,1.0538e-08,5.4266e-50,7.434e-05,
12,0.08964,0.00010479,0,0,1.0538e-08,4.8773e-73,7.434e-05,
13,0.093775,0,0,0,5.7645e-09,7.5337e-107,5.4351e-05,
14,0.097614,7.434e-05,0,0,3.1954e-09,1.7764e-156,4.0271e-05,
15,0.10134,5.4351e-05,0,0,1.7808e-09,2.5546e-229,3.0005e-05,
16,0.10383,4.0271e-05,0,0,1.7808e-09,0,3.0005e-05,
17,0.10766,0,0,0,9.9464e-10,0,2.2407e-05,
18,0.11128,3.0005e-05,0,0,5.5601e-10,0,1.6747e-05,
19,0.11488,2.2407e-05,0,0,3.1092e-10,0,1.2522e-05,
20,0.11702,1.6747e-05,0,0,3.1092e-10,0,1.2522e-05,
21,0.12149,0,0,0,1.7389e-10,0,9.3642e-06,
22,0.12572,1.2522e-05,0,0,9.726e-11,0,7.0031e-06,
23,0.1299,9.3642e-06,0,0,5.44e-11,0,5.2374e-06,
24,0.13428,7.0031e-06,0,0,3.0427e-11,0,3.9169e-06,
25,0.1368,5.2374e-06,0,0,3.0427e-11,0,3.9169e-06,
26,0.14054,0,0,0,1.7019e-11,0,2.9294e-06,
27,0.14416,3.9169e-06,0,0,9.5191e-12,0,2.1909e-06,
28,0.14841,2.9294e-06,0,0,5.3243e-12,0,1.6385e-06,
29,0.15221,2.1909e-06,0,0,2.978e-12,0,1.2254e-06,
30,0.15438,1.6385e-06,0,0,2.978e-12,0,1.2254e-06,
