"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.76608,1.0809,3.436e-05,NaN,NaN,NaN,NaN,1,1.2696,0.35749,0.048342,
1,0.64727,5.368,0.054148,1,0,0.94072,1,2.0394,5.368,5.9707e-12,1.3216e-12,
2,0.64727,4.2173,0.11011,1,0,4.8095e-10,1,5.2815,4.2173,2.6162e-10,2.3839e-11,
3,0.64727,0.77713,0.16387,1,0,5.3647e-10,1,5.2815,0.77713,6.2705e-11,1.4465e-11,
4,0.64727,0.84082,0.21709,1,0,3.5869e-10,1,5.2815,0.84082,1.5081e-10,3.1081e-11,
5,0.64727,2.266,0.27065,1,0,4.4346e-10,1,5.2815,2.266,6.784e-11,1.336e-11,
6,0.64727,6.191,0.33264,1,0,2.2356e-09,1,5.2815,6.191,2.1048e-10,2.0025e-11,
7,0.64727,3.9525,0.40483,1,0,7.4834e-06,1,25.465,3.9525,0,0,
8,0.61574,0.73937,0.51632,4.0484e-05,0,0.62181,1,25.465,0.73937,0,0,
9,0.5503,0.20387,0.57111,1,0,0.50427,1,25.465,0.20387,0,0,
10,0.52295,0.20245,0.62482,1,0,0.51206,1,25.465,0.20245,0,0,
11,0.51597,0.025082,0.67908,1,0,2.2508,1,25.465,0.025082,0,0,
12,0.51468,0.53471,0.73444,0.729,0,0.83963,1,25.465,0.53471,0,0,
13,0.51354,0.55341,0.78932,1,0,1.0682,1,25.465,0.55341,0,0,
14,0.51246,0.055109,0.84448,1,0,0.64421,1,25.465,0.055109,0,0,
15,0.51191,0.043861,0.90049,1,0,0.050976,1,25.465,0.043861,0,0,
16,0.51191,0.0024888,0.97566,0.052335,0,0.025852,1,25.465,0.0024888,0,0,
17,0.5119,0.0015052,1.0331,1,0,0.043675,1,25.465,0.0015052,3.0428e-10,1.2519e-11,
18,0.5119,0.0015028,1.0882,1,0,0.068314,1,25.465,0.0015028,0,0,
19,0.5119,0.0015618,1.1437,1,0,0.0050623,1,25.465,0.0015618,0,0,
20,0.51189,0.0012804,1.2004,1,0,0.020349,1,25.465,0.0012804,0,0,
21,0.51189,0.0012014,1.2545,1,0,0.027444,1,25.465,0.0012014,0,0,
22,0.51189,0.0013235,1.3084,1,0,0.016827,1,25.465,0.0013235,6.3829e-14,2.6583e-15,
23,0.51189,0.001297,1.3632,1,0,0.044486,1,25.465,0.001297,0,0,
24,0.51189,0.0022138,1.4342,0.20589,0,0.11066,1,25.465,0.0022138,0,0,
25,0.51189,0.0012129,1.4884,1,0,0.15337,1,25.465,0.0012129,0,0,
26,0.51188,0.0011513,1.5423,1,0,0.015982,1,25.465,0.0011513,0,0,
27,0.51188,0.0016787,1.6195,0.008728,0,0.0013637,1,25.465,0.0016787,0,0,
28,0.51188,0.0020222,1.6969,0.0070697,0,0.00025569,1,25.465,0.0020222,0,0,
29,0.51188,0.00139,1.7536,0.53144,0,0.0071971,1,25.465,0.00139,0,0,
30,0.51188,0.0011192,1.8114,0.43047,0,0.003077,1,25.465,0.0011192,0,0,
31,0.51188,0.0015978,1.8838,0.022528,0,0.0023151,1,25.465,0.0015978,0,0,
32,0.51188,0.0094651,1.9799,0.00015927,0,2.2618e-05,1,25.465,0.0094651,0,0,
33,0.51188,0.0029966,2.0575,0.016423,0,0.0030432,1,25.465,0.0029966,0,0,
34,0.51188,0.0014719,2.1181,0.22877,0,0.044977,1,25.465,0.0014719,0,0,
35,0.51188,0.00091881,2.172,1,0,0.015467,1,25.465,0.00091881,0,0,
