"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","qp_pow","rho","violation_sum","maxviolation","meanviolation",
0,65.5233,422.9561,5.6637e-05,NaN,NaN,NaN,NaN,NaN,1,401.0848,1.3922,0.21877,
1,123.1167,431746523793.9398,2.9065,1,0,1.7468,0,1,61235968465.3385,554.7509,1.6711,0.19393,
2,266.2546,113045756664.059,5.1282,1,0,0.23989,1,1,85483162772.1244,790.2896,1.9566,0.1695,
3,584.3917,75841991957.1064,7.0491,1,0,0.41478,1,1,85483162772.1244,861.1621,1.6546,0.12769,
4,831.7682,51878478735.6073,9.1164,1,0,0.42643,1,1,85483162772.1244,522.7593,0.58287,0.077833,
5,869.7281,3960381408.8392,11.1399,1,0,0.26627,1,1,85483162772.1244,398.2721,0.23965,0.050279,
6,868.5602,555252192831068.2,13.6563,0.03125,0,0.18601,0,1,358068849486598.1,399.5254,0.23528,0.04956,
7,868.7438,8279973844.2802,15.6323,1,0,0.0078072,1,1,358068849486598.1,398.7344,0.23369,0.048989,
8,867.6346,1969297940048.985,17.4418,0.03125,0,0.34153,1,1,358068849486598.1,403.7315,0.22015,0.048893,
9,869.2517,3148757118.3462,19.4287,1,0,0.036846,1,1,358068849486598.1,397.1843,0.22116,0.04491,
10,868.7581,152079127685382.6,21.0957,0.5,0,0.31667,-2,1,358068849486598.1,397.7911,0.205,0.044648,
11,866.7899,893601187.5909,22.9091,0.5,0,0.3404,1,1,358068849486598.1,411.4034,0.22819,0.04259,
12,852.1744,941921047.9901,24.7223,1,0,0.85141,1,1,358068849486598.1,468.0237,0.52052,0.036457,
13,864.1874,623422783.6004,26.7289,1,0,0.7737,1,1,358068849486598.1,432.2971,0.6031,0.01671,
14,872.1897,600290062.5684,28.7589,1,0,0.20409,1,1,358068849486598.1,402.2336,0.038757,0.0028282,
15,871.8541,283331888.6822,30.9857,1,0,0.119,1,1,358068849486598.1,402.8599,0.05951,0.0013464,
16,871.8541,33856096.161,33.0262,4.4409e-16,1,3.9462e-16,-2,1,358068849486598.1,402.8599,0.05951,0.0013464,
