"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,-0.060208,12.2321,6.1546e-05,NaN,NaN,NaN,NaN,1,12.2527,0.20746,0.034051,
1,-0.25911,0.97852,0.96204,0.010775,0,1.5706,-2,1,0.97852,3.6288e-05,3.4974e-06,
2,-0.48792,1.6589,1.8033,0.34868,0,1.3899,1,1,1.6589,4.253e-06,2.2258e-07,
3,-0.61474,0.13361,2.6509,1,0,0.77129,1,1,0.13361,0,0,
4,-0.61916,0.0090379,3.4271,1,0,0.15497,1,1,0.0090379,0,0,
5,-0.61935,0.0029212,4.2613,1,0,0.039352,1,1,0.0029212,0,0,
6,-0.61937,0.00091979,5.0721,1,0,0.012555,1,1,0.00091979,0,0,
7,-0.61937,0.00029536,5.9025,1,0,0.0040126,1,1,0.00029536,0,0,
8,-0.61937,7.9008e-05,6.7315,1,0,0.0010942,1,1,7.9008e-05,0,0,
9,-0.61937,2.1574e-05,7.5745,1,0,0.00029598,1,1,2.1574e-05,0,0,
10,-0.61937,5.8538e-06,8.3871,1,0,8.0204e-05,1,1,5.8538e-06,0,0,
11,-0.61937,1.5859e-06,9.2032,1,0,2.1701e-05,1,1,1.5859e-06,0,0,
12,-0.61937,4.2945e-07,10.0123,1,0,5.8714e-06,1,1,4.2945e-07,0,0,
13,-0.61937,1.1627e-07,10.839,1,0,1.5888e-06,1,1,1.1627e-07,0,0,
14,-0.61937,3.1477e-08,11.6532,1,0,4.2999e-07,1,1,3.1477e-08,0,0,
15,-0.61937,8.5211e-09,12.4695,1,0,1.1638e-07,1,1,8.5211e-09,0,0,
16,-0.61937,2.3067e-09,13.2741,1,0,3.1501e-08,1,1,2.3067e-09,0,0,
17,-0.61937,6.2438e-10,14.0823,1,0,8.5261e-09,1,1,6.2438e-10,0,0,
18,-0.61937,1.6909e-10,14.9034,1,0,2.3082e-09,1,1,1.6909e-10,0,0,
19,-0.61937,4.5771e-11,15.7111,1,0,6.2473e-10,1,1,4.5771e-11,0,0,
20,-0.61937,1.2416e-11,16.5494,1,0,1.6915e-10,1,1,1.2416e-11,0,0,
21,-0.61937,3.4056e-12,17.3735,1,0,4.5973e-11,1,1,3.4056e-12,0,0,
22,-0.61937,9.4593e-13,18.1979,1,0,1.232e-11,1,1,9.4593e-13,0,0,
23,-0.61937,2.429e-13,19.0214,1,0,3.0747e-12,1,1,2.429e-13,0,0,
24,-0.61937,1.4399e-13,19.8473,1,0,8.9395e-13,1,1,1.4399e-13,0,0,
25,-0.61937,1.4762e-13,20.6583,1,0,9.8303e-13,1,1,1.4762e-13,0,0,
26,-0.61937,1.2513e-13,21.4689,1,0,6.5544e-13,1,1,1.2513e-13,0,0,
27,-0.61937,1.0617e-13,22.2806,1,0,5.314e-13,1,1,1.0617e-13,0,0,
28,-0.61937,1.2231e-13,23.108,1,0,6.7873e-13,1,1,1.2231e-13,0,0,
29,-0.61937,1.07e-13,23.9171,1,0,9.6183e-13,1,1,1.07e-13,0,0,
30,-0.61937,1.2243e-13,24.7275,1,0,5.9282e-13,1,1,1.2243e-13,0,0,
31,-0.61937,1.034e-13,25.5379,1,0,5.6511e-13,1,1,1.034e-13,0,0,
32,-0.61937,1.063e-13,26.3555,1,0,5.1223e-13,1,1,1.063e-13,0,0,
33,-0.61937,1.2302e-13,27.1876,1,0,5.2486e-13,1,1,1.2302e-13,0,0,
34,-0.61937,1.0139e-13,28.0091,1,0,4.522e-13,1,1,1.0139e-13,0,0,
35,-0.61937,1.0523e-13,28.8366,1,0,6.0548e-13,1,1,1.0523e-13,0,0,
36,-0.61937,1.173e-13,29.6584,1,0,4.5717e-13,1,1,1.173e-13,0,0,
37,-0.61937,1.1931e-13,30.4725,1,0,5.2273e-13,1,1,1.1931e-13,0,0,
38,-0.61937,1.0837e-13,31.2975,1,0,5.7092e-13,1,1,1.0837e-13,0,0,
