"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,61.0613,1,11.1759,11.1759,
1,0.11756,10.3515,3.3333,2.3341,0.17294,15.5055,3.3341,8.7432,0.097442,
2,0.1574,10.3515,3.3333,0.70355,0.042036,26.5737,5.6793,4.1647,0.068442,
3,0.18452,2.4953,3.3333,0.24577,0.013598,30.5454,6.4985,1.639,0.05535,
4,0.21952,0.71764,3.3333,0.074963,0.0050006,31.9861,6.7484,0.51743,0.033367,
5,0.23703,0.52939,3.3333,0.039247,0.0026759,32.2637,6.8792,0.27779,0.038586,
6,0.27489,0.092018,3.3333,0.012141,0.0011127,32.4564,6.9197,0.090665,0.021537,
7,0.2888,0.31475,3.3333,0.0039063,0.00046132,32.5509,6.9327,0.030126,0.0046413,
8,0.3028,0.013721,3.3333,0.00075011,8.412e-05,32.5741,6.9352,0.0076853,0.0052063,
9,0.31041,0.0062781,11.1111,0.00075011,8.412e-05,32.5741,6.9377,0.0081725,0.0059,
10,0.32278,0,11.1111,0.00029159,1.2062e-05,32.5827,6.9341,0.009218,0.0088565,
11,0.33555,0.0021711,37.037,0.00063498,7.3614e-05,32.5771,6.9373,0.0092837,0.0087755,
12,0.35198,0.0019434,37.037,8.484e-05,2.9686e-06,32.5803,6.9361,0.0050111,0.0049949,
13,0.36788,0.001317,37.037,6.1767e-05,6.0314e-06,32.5798,6.9361,0.005953,0.0059491,
14,0.387,0.00048059,123.4568,5.2333e-05,3.5504e-06,32.5801,6.9354,0.0047186,0.0047156,
15,0.4763,0.00067451,411.5226,1.1984e-05,6.7969e-07,32.5804,6.9273,0.0015931,0.0015247,
16,0.49603,0.022926,411.5226,5.4713e-07,3.9319e-08,32.5799,6.927,0.0011126,0.0011126,
17,0.504,8.5959e-05,1371.7421,5.4713e-07,3.9319e-08,32.5799,6.9267,0.0013357,0.0013356,
18,0.5245,0,1371.7421,4.9171e-07,4.1886e-08,32.5799,6.927,0.0011945,0.0011945,
19,0.54533,3.4221e-06,4572.4737,3.3423e-07,3.8229e-08,32.5799,6.9265,0.001359,0.001359,
20,0.56598,3.1085e-06,4572.4737,2.4169e-07,1.4171e-08,32.5799,6.9266,0.0011989,0.0011989,
21,0.65207,1.3368e-06,4572.4737,3.2672e-08,5.1623e-09,32.5799,6.9268,0.00028726,0.00028726,
22,0.67708,0.00078445,4572.4737,5.8159e-08,4.1334e-09,32.5799,6.9268,0.00020374,0.00020374,
23,0.68493,2.4959e-07,15241.579,5.8159e-08,4.1334e-09,32.5799,6.9268,0.00046783,0.00046783,
24,0.70995,0,15241.579,7.6972e-09,6.3396e-10,32.5799,6.9268,0.00017254,0.00017254,
25,0.73843,1.0516e-07,15241.579,4.401e-09,2.904e-10,32.5799,6.9268,0.00018233,0.00018233,
26,0.74697,4.3667e-08,50805.2634,4.401e-09,2.904e-10,32.5799,6.9268,0.00022348,0.00022348,
27,0.77264,0,50805.2634,1.1023e-09,9.0052e-11,32.5799,6.9268,0.00018552,0.00018552,
28,0.80144,1.247e-08,50805.2634,1.1541e-09,7.6135e-11,32.5799,6.9268,0.00017141,0.00017141,
29,0.82761,1.3839e-08,50805.2634,1.0775e-11,9.1931e-13,32.5799,6.9268,0.00017137,0.00017137,
30,0.86993,4.9874e-08,169350.8781,1.3837e-09,1.2434e-10,32.5799,6.9268,8.1335e-05,8.1335e-05,
