"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,21.4243,0,4.8651,
1,0.069972,4.7951,2.3378,0.15913,4.1994,1,4.4018,
2,0.087833,4.7951,2.3371,0.1526,4.3137,1,4.3979,
3,0.11026,0.059398,2.3351,0.14821,4.3937,1,4.3951,
4,0.14819,0.040503,2.3238,0.14407,4.4817,1,4.3885,
5,0.16775,0.059971,2.3237,0.14211,4.5153,1,4.3881,
6,0.18983,0.018367,2.3234,0.14074,4.5391,1,4.3879,
7,0.20895,0.012995,2.3233,0.13984,4.5547,1,4.3877,
8,0.26371,0.0084619,2.3177,0.13921,4.5649,1,4.3859,
9,0.28483,0.025699,2.3177,0.13879,4.5723,1,4.3858,
10,0.31004,0.0040105,2.3177,0.13849,4.5773,1,4.3858,
11,0.33181,0.0027654,2.3177,0.13829,4.5809,1,4.3858,
12,0.35779,0.0019035,2.3177,0.13815,4.5832,1,4.3858,
13,0.38674,0.0012959,2.3177,0.13806,4.5849,1,4.3858,
14,0.41507,0.00089045,2.3177,0.138,4.586,1,4.3858,
15,0.4885,0.00060123,2.3166,0.13798,4.5859,1,4.3855,
16,0.5192,0.005157,2.3166,0.13795,4.5864,1,4.3855,
17,0.55519,0.00027873,2.3166,0.13793,4.5868,1,4.3855,
18,0.58173,0.00019028,2.3166,0.13791,4.587,1,4.3855,
19,0.60993,0.00012982,2.3166,0.1379,4.5872,1,4.3855,
20,0.63798,8.8393e-05,2.3166,0.1379,4.5873,1,4.3855,
21,0.66992,6.0118e-05,2.3166,0.13789,4.5874,1,4.3855,
22,0.70173,4.0967e-05,2.3166,0.13789,4.5874,1,4.3855,
23,0.73592,2.793e-05,2.3166,0.13789,4.5875,1,4.3855,
24,0.76868,1.9024e-05,2.3166,0.13789,4.5875,1,4.3855,
25,0.81077,1.2965e-05,2.3166,0.13789,4.5875,1,4.3855,
26,0.85489,8.8313e-06,2.3166,0.13789,4.5875,1,4.3855,
27,0.89645,6.0168e-06,2.3166,0.13789,4.5875,1,4.3855,
28,0.94719,4.0992e-06,2.3166,0.13788,4.5875,1,4.3855,
29,0.98988,2.7928e-06,2.3166,0.13788,4.5875,1,4.3855,
30,1.0324,1.9027e-06,2.3166,0.13788,4.5875,1,4.3855,
31,1.073,1.2963e-06,2.3166,0.13788,4.5875,1,4.3855,
32,1.1008,8.8314e-07,2.3165,0.13789,4.5875,1,4.3854,
33,1.107,0.00046289,2.3165,0.13789,4.5875,1,4.3854,
34,1.1133,0,2.3165,0.13789,4.5875,1,4.3854,
