"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,8.4767,0.5,3.7799,
1,0.068446,4.5259,0.72728,0.0228,2.63,0.99931,1.0943,
2,0.092021,4.5259,0.70081,0.021434,2.5989,0.99997,1.0437,
3,0.12165,0.16004,0.68189,0.020027,2.6131,1,1.0071,
4,0.22633,0.14602,0.6366,0.019166,2.5946,1,0.94935,
5,0.26098,1.0267,0.63892,0.019209,2.5728,1,0.95413,
6,0.5225,0.0572,0.61087,0.019197,2.5392,1,0.92938,
7,0.57727,2.2306,0.60541,0.019012,2.5414,1,0.92046,
8,0.67772,0.04548,0.6,0.019071,2.5321,1,0.91653,
9,0.74114,0.16352,0.59789,0.019043,2.5301,1,0.91504,
10,0.90366,0.019522,0.59297,0.018958,2.531,1,0.91044,
11,0.97898,0.095842,0.59288,0.018921,2.5313,1,0.91072,
12,2.6731,0.0083149,0.59163,0.018852,2.5288,1,0.91034,
13,4.4617,1.0404,0.60725,0.019122,2.5108,1,0.92996,
14,6.2292,0.95016,0.59821,0.018698,2.5283,1,0.9133,
15,8.0322,0.90511,0.62052,0.019112,2.5056,1,0.94183,
16,9.8009,0.50628,0.62505,0.019363,2.4909,1,0.95103,
17,11.5862,0.9313,0.62429,0.019138,2.5004,1,0.94668,
18,13.3642,0.69207,0.6205,0.019215,2.4955,1,0.94386,
19,15.1335,0.55157,0.61284,0.019093,2.501,1,0.93465,
20,16.8977,0.34506,0.61977,0.019039,2.5031,1,0.93991,
21,18.6787,0.37015,0.6058,0.018728,2.5181,1,0.92058,
22,20.4444,0.45163,0.6208,0.019109,2.4985,1,0.9572,
23,22.213,0.23068,0.60865,0.018984,2.5045,1,0.92931,
24,24.0003,0.26133,0.62021,0.019119,2.4974,1,0.94177,
25,25.7832,0.1833,0.61518,0.019048,2.5009,1,0.93803,
26,27.5751,0.112,0.62903,0.019194,2.4932,1,0.9523,
27,29.3595,0.34631,0.61716,0.018969,2.5043,1,0.93721,
28,31.1418,0.0932,0.61837,0.018988,2.5033,1,0.94662,
29,32.9413,0.11898,0.61893,0.019036,2.5007,1,0.94443,
30,34.7779,0.11699,0.61957,0.019071,2.4989,1,0.98395,
31,36.5764,0.053408,0.61966,0.019224,2.4907,1,1.2634,
32,38.3998,0.47241,0.61899,0.019065,2.4985,1,0.95683,
33,40.2086,0.054412,0.61608,0.019099,2.4967,1,0.98044,
34,42.0204,0.20185,0.61783,0.01907,2.4979,1,1.0471,
35,43.8301,0.11339,0.61788,0.019153,2.4937,1,0.94037,
36,45.668,0.097469,0.61851,0.019091,2.4967,1,0.95726,
37,47.5003,0.061206,0.61668,0.019115,2.4954,1,0.98775,
38,49.2808,0.088537,0.61838,0.01909,2.4966,1,0.9482,
39,51.1034,0.15293,0.6164,0.019085,2.4967,1,0.94113,
40,52.9471,0.096588,0.61696,0.019089,2.4962,1,1.0129,
41,54.7757,0.38099,0.6172,0.019047,2.4981,1,0.94113,
42,56.5811,0.074313,0.61823,0.019068,2.497,1,0.97265,
43,58.3702,0.049016,0.61634,0.01903,2.4989,1,0.99007,
44,60.136,0.047982,0.61465,0.018862,2.5067,1,1.1269,
