"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,8.4767,5.8141,4.3044e-05,NaN,NaN,NaN,NaN,1,5.9836,0,0,
1,7.7772,2.9718,0.18861,2.9513e-05,0,2.6535,1,2.0304,2.9718,0.00056143,3.5558e-05,
2,5.0985,1.4252,0.30299,1,0,2.8594,1,2.0304,1.4459,0.10504,0.0053828,
3,4.612,0.78477,0.4174,1,0,1.1268,1,2.7945,0.78496,0.0035205,0.00012481,
4,4.4228,0.41446,0.53043,1,0,2.001,1,7.7381,0.41502,0.0042478,0.00011798,
5,4.3502,0.36467,0.66826,1,0,3.0081,1,17.6478,0.36491,0.0038786,8.0608e-05,
6,4.2458,0.68885,0.80082,1,0,2.2333,1,29.8105,0.68912,0.0050038,0.00012626,
7,4.2042,0.13155,0.91769,1,0,3.0602,1,29.8105,0.13158,0.0013935,6.8449e-05,
8,4.1733,0.13259,1.0554,1,0,4.1185,1,29.8105,0.13264,0.0012442,5.6872e-05,
9,4.1613,0.10275,1.1772,1,0,3.5287,1,29.8105,0.10276,0.00051292,2.3833e-05,
10,4.1569,0.052025,1.2929,1,0,2.9937,1,29.8105,0.052076,8.1574e-05,4.9328e-06,
11,4.1463,0.050326,1.4101,0.6561,0,4.1025,1,29.8105,0.05033,0.0001188,5.5001e-06,
12,4.1419,0.045898,1.5308,0.43047,0,2.8024,1,29.8105,0.045901,0.00011031,6.8161e-06,
13,4.1336,0.029392,1.6468,1,0,7.7023,1,29.8105,0.02941,0.00023874,1.0013e-05,
14,4.1293,0.041477,1.779,0.4783,0,6.5269,1,29.8105,0.041486,0.00020672,1.1541e-05,
15,4.1234,0.024508,1.8953,0.9,0,15.7343,1,29.8105,0.024544,0.00030324,1.4021e-05,
16,4.1195,0.015815,2.008,1,0,16.9202,1,29.8105,0.015824,0.00024325,1.2176e-05,
17,4.1189,0.0075764,2.1211,1,0,7.866,1,29.8105,0.0075769,1.2857e-05,8.1408e-07,
18,4.1179,0.0071934,2.245,0.59049,0,7.1551,1,29.8105,0.0071937,1.3866e-05,1.0704e-06,
19,4.1172,0.010519,2.3672,0.59049,0,5.8786,1,29.8105,0.010519,2.9789e-05,1.3827e-06,
20,4.1166,0.011064,2.4806,1,0,6.6747,1,29.8105,0.011064,5.4998e-06,2.7962e-07,
21,4.1162,0.0041928,2.6002,0.59049,0,4.6176,1,29.8105,0.0041928,7.1095e-06,4.3475e-07,
22,4.1159,0.0045024,2.7199,0.43047,0,3.3671,1,29.8105,0.0045024,1.1196e-05,5.4726e-07,
23,4.1154,0.0066018,2.8321,1,0,6.6403,1,29.8105,0.0066018,3.5989e-06,2.7315e-07,
24,4.115,0.0063634,2.9461,0.9,0,5.7303,1,29.8105,0.0063635,9.9395e-06,4.251e-07,
25,4.1146,0.011036,3.0606,1,0,5.7654,1,29.8105,0.011036,2.9801e-06,2.0864e-07,
26,4.1143,0.0097369,3.1781,1,0,5.5656,1,29.8105,0.0097369,7.0254e-06,2.9915e-07,
27,4.114,0.0085044,3.2928,1,0,4.8793,1,29.8105,0.0085044,1.17e-06,6.8318e-08,
28,4.1138,0.0058676,3.4064,1,0,4.6162,1,29.8105,0.0058676,1.1089e-06,8.2291e-08,
29,4.1138,0.0035175,3.5957,9.2614e-06,0,4.0606e-05,1,29.8105,0.0035175,1.109e-06,8.2299e-08,
30,4.1136,0.0029963,3.7092,1,0,4.2115,1,29.8105,0.0029963,7.7419e-07,4.333e-08,
31,4.1134,0.0060333,3.8217,1,0,3.875,1,29.8105,0.0060333,1.3711e-06,8.854e-08,
32,4.1134,0.0059479,4.0177,3.2292e-06,0,1.2533e-05,1,29.8105,0.0059479,1.3713e-06,8.8547e-08,
33,4.1133,0.0063355,4.1311,1,0,3.4286,1,29.8105,0.0063359,0,0,
34,4.1133,0.0062494,4.2717,0.042391,0,0.14907,1,29.8105,0.0062498,0,0,
35,4.1131,0.0050897,4.3871,0.9,0,2.6114,1,29.8105,0.0050897,2.9297e-07,1.7672e-08,
36,4.1131,0.0068116,4.5474,0.0016173,0,0.0047269,1,29.8105,0.0068116,2.9042e-07,1.7657e-08,
37,4.1131,0.0070974,4.6749,0.13509,0,0.45714,1,29.8105,0.0070974,2.5923e-07,1.8446e-08,
38,4.1131,0.0048893,4.7995,0.1853,0,0.5355,1,29.8105,0.0048893,5.9476e-07,2.6326e-08,
39,4.1131,0.0064161,4.9884,1.1434e-05,0,2.8187e-05,1,29.8105,0.0064161,5.9489e-07,2.6333e-08,
40,4.113,0.0033799,5.1058,0.53144,0,1.6732,1,29.8105,0.0033799,4.2116e-07,2.8244e-08,
41,4.113,0.003861,5.2303,0.34868,0,0.8818,1,29.8105,0.0038612,0,0,
42,4.1129,0.0038844,5.3436,1,0,2.6618,1,29.8105,0.0038845,1.7587e-06,8.3781e-08,
43,4.1128,0.0042368,5.4719,0.15009,0,0.3622,1,29.8105,0.0042368,1.2916e-06,5.1939e-08,
44,4.1128,0.0049505,5.6479,0.00015927,0,0.00019551,1,29.8105,0.0049505,1.292e-06,5.1951e-08,
45,4.1128,0.0055443,5.8295,6.1704e-05,0,0.00019312,1,29.8105,0.0055444,1.2923e-06,5.1963e-08,
