"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,121.7549,15.708,0.00012649,NaN,NaN,NaN,NaN,1,16.0301,2.9963,2.0562,
1,75.1011,12.4848,0.33137,1.8492e-08,0,6.4029,0,1,13.2161,4.3352,2.19,
2,46.3832,10.7025,0.47431,2.8185e-08,0,5.1089,0,1,15.7144,10.9724,7.2187,
3,47.5943,9.8458,0.58149,1.1088e-07,0,6.0318,1,1,10.7289,4.2621,2.162,
4,43.863,9.5728,0.69083,3.8662e-08,0,3.9245,1,1,10.4227,3.9158,2.6022,
5,42.6062,8.9477,0.85596,2.0547e-08,0,1.9465,1,1,10.3134,5.1279,2.6132,
6,41.0234,10.6447,0.90909,0.020276,0,0.97528,1,1.7891,12.0356,5.6164,2.8304,
7,40.4674,8.6472,1.0155,3.8073e-09,0,0.51953,1,1.7891,10.3602,5.7043,2.9211,
8,36.8779,7.6775,1.0789,0.16677,0,4.7828,1,1.7891,9.9153,6.2544,3.378,
9,27.3809,2.3676,1.1218,1,0,3.8126,1,1.7891,2.7772,1.0935,1.0242,
10,27.0892,0.11294,1.1692,1,0,1.1094,1,1.7891,0.16397,0.11857,0.063481,
11,27.0961,0.0015109,1.2195,1,0,0.07385,1,1.7891,0.0015293,0.00022585,0.00014847,
12,27.096,2.3335e-07,1.2702,1,0,0.00065403,1,1.7891,2.4297e-07,6.1433e-08,4.4944e-08,
13,27.096,5.1589e-13,1.3061,1,0,9.1035e-08,1,1.7891,4.0617e-12,3.7013e-12,2.6462e-12,
14,27.096,2.5618e-13,1.3423,1,0,1.8222e-12,1,1.7891,1.6704e-12,1.6502e-12,8.4333e-13,
15,27.096,9.2316e-13,1.377,1,0,1.5149e-12,1,1.7891,7.3645e-12,6.6497e-12,4.8385e-12,
16,27.096,2.4858e-13,1.4121,1,0,2.7006e-12,1,1.7891,1.5911e-12,1.5565e-12,8.8685e-13,
17,27.096,1.5099e-13,1.4466,1,0,6.3388e-13,1,1.7891,1.2841e-12,1.1204e-12,8.6464e-13,
18,27.096,4.904e-13,1.4832,1,0,9.9864e-13,1,1.7891,3.372e-12,3.2867e-12,1.9296e-12,
19,27.096,8.3899e-13,1.5237,1,0,1.8743e-12,1,1.7891,5.9876e-12,5.7594e-12,3.5828e-12,
20,27.096,4.0335e-13,1.5858,1,0,2.1106e-12,1,1.7891,2.5966e-12,2.5516e-12,1.4072e-12,
21,27.096,6.1241e-13,1.6559,1,0,1.2376e-12,1,1.7891,4.3974e-12,4.2184e-12,2.6493e-12,
22,27.096,1.4577e-13,1.7242,1,0,1.5994e-12,1,1.7891,9.431e-13,9.257e-13,5.1592e-13,
23,27.096,3.7859e-13,1.7751,1,0,6.298e-13,1,1.7891,2.6038e-12,2.5455e-12,1.4708e-12,
24,27.096,1.3775e-13,1.8332,1,0,1.142e-12,1,1.7891,8.8753e-13,8.4155e-13,5.4379e-13,
25,27.096,6.6808e-13,1.8966,1,0,1.0238e-12,1,1.7891,4.7711e-12,4.5871e-12,2.8582e-12,
26,27.096,1.8218e-13,1.9407,1,0,1.595e-12,1,1.7891,1.3088e-12,9.8854e-13,9.1338e-13,
27,27.096,1.2293e-12,1.9924,1,0,1.7883e-12,1,1.7891,9.3694e-12,8.6949e-12,5.9809e-12,
28,27.096,1.1307e-12,2.0281,1,0,3.6228e-12,1,1.7891,7.7485e-12,7.5852e-12,4.3462e-12,
29,27.096,6.3918e-13,2.0782,1,0,3.0557e-12,1,1.7891,4.8314e-12,4.5097e-12,3.0606e-12,
30,27.096,3.292e-13,2.1168,1,0,1.8458e-12,1,1.7891,2.7037e-12,2.3938e-12,1.8034e-12,
31,27.096,2.6344e-13,2.1565,1,0,1.3562e-12,1,1.7891,1.7121e-12,1.6867e-12,9.0861e-13,
32,27.096,9.2635e-13,2.1958,1,0,1.4307e-12,1,1.7891,6.6902e-12,6.3862e-12,4.0759e-12,
33,27.096,9.547e-13,2.2368,1,0,3.173e-12,1,1.7891,6.6788e-12,6.4836e-12,3.8857e-12,
34,27.096,9.5715e-13,2.2715,1,0,3.1073e-12,1,1.7891,6.6962e-12,6.4906e-12,3.9152e-12,
35,27.096,2.2999e-13,2.326,1,0,2.5331e-12,1,1.7891,1.8354e-12,1.6593e-12,1.2046e-12,
36,27.096,3.0101e-13,2.3798,1,0,9.0568e-13,1,1.7891,2.4151e-12,2.1717e-12,1.5922e-12,
37,27.096,2.2605e-13,2.4132,1,0,1.0514e-12,1,1.7891,1.6156e-12,1.5489e-12,9.745e-13,
38,27.096,2.2335e-13,2.4475,1,0,6.6831e-13,1,1.7891,1.7765e-12,1.6093e-12,1.1639e-12,
39,27.096,8.6026e-13,2.4838,1,0,1.5839e-12,1,1.7891,6.0078e-12,5.8348e-12,3.4895e-12,
40,27.096,7.4317e-14,2.5195,1,0,2.2351e-12,1,1.7891,7.187e-13,5.8109e-13,4.9871e-13,
41,27.096,5.8779e-13,2.5525,1,0,9.5644e-13,1,1.7891,3.8101e-12,3.7514e-12,2.0323e-12,
42,27.096,1.1239e-13,2.5841,1,0,1.495e-12,1,1.7891,1.3831e-12,9.9321e-13,9.7461e-13,
43,27.096,1.4554e-12,2.6129,1,0,2.5023e-12,1,1.7891,9.9049e-12,9.7147e-12,5.4925e-12,
44,27.096,3.1425e-13,2.6455,1,0,3.5009e-12,1,1.7891,2.0069e-12,1.9096e-12,1.2206e-12,
45,27.096,6.1991e-13,2.6779,1,0,1.2026e-12,1,1.7891,4.0542e-12,4.0061e-12,2.0298e-12,
46,27.096,2.0288e-13,2.7057,1,0,1.598e-12,1,1.7891,1.3235e-12,1.3077e-12,6.6197e-13,
47,27.096,8.696e-15,2.734,1,0,4.8925e-13,1,1.7891,5.7747e-14,4.6185e-14,3.9857e-14,
48,27.096,2.3999e-13,2.7638,1,0,3.9745e-13,1,1.7891,1.594e-12,1.5743e-12,8.2179e-13,
49,27.096,3.6742e-13,2.7964,1,0,7.5265e-13,1,1.7891,2.3528e-12,2.3046e-12,1.302e-12,
50,27.096,2.9613e-13,2.8252,1,0,9.5232e-13,1,1.7891,2.1286e-12,2.0298e-12,1.2991e-12,
51,27.096,2.2786e-13,2.8645,1,0,7.2306e-13,1,1.7891,2.4571e-12,1.8469e-12,1.7257e-12,
52,27.096,3.2684e-14,2.8993,1,0,6.3327e-13,1,1.7891,1.3652e-12,1.2728e-12,8.8274e-13,
53,27.096,8.4065e-13,2.9342,1,0,1.1951e-12,1,1.7891,5.7436e-12,5.6239e-12,3.2161e-12,
54,27.096,8.087e-13,2.9718,1,0,3.0811e-12,1,1.7891,5.2016e-12,5.0916e-12,2.8915e-12,
55,27.096,5.2038e-13,3.0059,1,0,1.8921e-12,1,1.7891,3.4366e-12,3.3955e-12,1.7475e-12,
56,27.096,1.0923e-12,3.0399,1,0,2.4598e-12,1,1.7891,7.207e-12,7.1212e-12,3.6552e-12,
57,27.096,3.402e-13,3.076,1,0,2.5519e-12,1,1.7891,3.1523e-12,2.5858e-12,2.1782e-12,
58,27.096,5.7644e-13,3.1111,1,0,1.8636e-12,1,1.7891,3.8248e-12,3.7779e-12,1.9674e-12,
