"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,7.2707,5.1745,9.1752e-05,NaN,NaN,NaN,NaN,1,5.3643,0,0,
1,6.6616,3.4933,0.34904,2.1515e-05,0,2.3794,1,2.0261,3.5552,4.7379e-11,4.8144e-12,
2,6.3295,2.506,0.44272,0.098477,0,1.8633,1,2.0261,2.5871,0.017758,0.0014442,
3,3.6584,1.6496,0.5275,0.81,0,2.8354,1,2.9427,1.8706,0.29198,0.01697,
4,2.8147,0.25789,0.60604,1,0,2.7538,1,2.9427,0.25934,0.0020801,0.00012131,
5,2.7855,0.069219,0.71668,1,0,16.8788,1,2.9427,0.072504,0.0028015,9.0743e-05,
6,2.7283,0.058062,0.79958,0.4783,0,8.4192,1,2.9427,0.062518,0.011195,0.00059666,
7,2.7679,0.12578,0.90084,1,0,5.6731,1,2.9427,0.12586,0.0016146,5.5931e-05,
8,2.7358,0.063572,0.99769,0.53144,0,2.0357,1,2.9427,0.065655,0.0030397,0.00022464,
9,2.7461,0.060753,1.076,0.13509,0,1.1893,1,2.9427,0.060921,0.0021778,7.2709e-05,
10,2.7291,0.064731,1.1419,0.28243,0,0.41372,1,2.9427,0.066084,0.0066946,0.00022536,
11,2.7395,0.017257,1.2073,1,0,1.7327,1,2.9427,0.017391,0.0011945,3.8265e-05,
12,2.7364,0.082493,1.2672,1,0,0.42115,1,2.9427,0.082493,6.7966e-05,2.6702e-06,
13,2.7362,0.0092386,1.3277,1,0,0.37939,1,2.9427,0.0092389,1.5482e-06,5.4466e-08,
14,2.7361,0.0010954,1.3874,1,0,0.082771,1,2.9427,0.0010954,2.0019e-06,1.7494e-07,
15,2.7361,0.00090632,1.4477,1,0,0.020495,1,2.9427,0.00090632,4.9262e-07,1.813e-08,
16,2.7361,0.0006931,1.5109,1,0,0.013791,1,2.9427,0.0006931,3.1833e-07,1.1715e-08,
17,2.7361,0.00064527,1.5708,1,0,0.011917,1,2.9427,0.00064527,2.9174e-07,1.0737e-08,
18,2.7361,0.00057824,1.6302,1,0,0.0095465,1,2.9427,0.00057824,2.2091e-07,8.1313e-09,
19,2.7361,0.00051354,1.6913,1,0,0.0077894,1,2.9427,0.00051354,1.6672e-07,6.1372e-09,
20,2.7361,0.00045782,1.7524,1,0,0.0064329,1,2.9427,0.00045782,1.2581e-07,4.6313e-09,
21,2.7361,0.00040789,1.8127,1,0,0.0053525,1,2.9427,0.00040789,9.4118e-08,3.465e-09,
