"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0.24753,0.023345,5.7316,1,1.8103,1.7859,
1,0.085361,6.1289,3.3333,0.14375,0.014182,6.2593,1.1437,4.592,4.5862,
2,1.0956,6.1289,3.3333,0.25896,0.013059,4.5748,2.007,1.23,1.1932,
3,1.1558,12.5072,3.3333,0.060009,0.0030589,5.1834,2.207,0.24548,0.23553,
4,1.9953,0.28419,3.3333,0.012098,0.00067087,5.3358,2.2473,0.053003,0.05084,
5,2.798,1.7306,11.1111,0.047847,0.0030675,5.5543,2.124,0.39695,0.39248,
6,3.7927,11.6308,11.1111,0.0087986,0.00069527,5.4124,2.0195,0.22281,0.22242,
7,4.7232,1.546,37.037,0.0049338,0.00036175,5.4009,1.9383,0.13401,0.13385,
8,5.0341,1.7397,37.037,0.00057125,5.5981e-05,5.3767,1.9595,0.031243,0.031232,
9,5.0955,0.44722,37.037,8.7866e-05,8.6919e-06,5.3785,1.9627,0.0049085,0.0049067,
10,5.1386,0.029727,37.037,1.9305e-05,1.8012e-06,5.3788,1.9634,0.00096895,0.00096854,
11,5.1558,0.0055302,123.4568,2.1349e-07,1.5964e-08,5.3789,1.9634,7.281e-05,7.2809e-05,
12,5.202,2.9977e-05,123.4568,1.1752e-06,1.1049e-07,5.3789,1.9635,0.00019768,0.00019767,
13,5.2455,0.0012341,123.4568,4.3535e-07,5.9617e-08,5.3789,1.9635,7.3555e-05,7.3551e-05,
14,5.2642,1.11e-05,123.4568,0,0,5.3789,1.9635,4.9215e-05,4.9215e-05,
15,5.2829,1.369e-06,123.4568,1.2884e-07,1.4286e-08,5.3789,1.9635,3.6698e-05,3.6698e-05,
16,5.2908,8.3973e-07,411.5226,1.2884e-07,1.4286e-08,5.3789,1.9635,1.6036e-05,1.6035e-05,
17,5.3114,0,411.5226,2.2955e-10,3.0818e-11,5.3789,1.9635,2.7275e-05,2.7275e-05,
18,5.3322,3.031e-07,411.5226,1.5888e-08,1.7617e-09,5.3789,1.9635,1.5624e-05,1.5624e-05,
19,5.3563,1.2998e-07,411.5226,4.9276e-11,5.3093e-12,5.3789,1.9635,1.6511e-05,1.6511e-05,
20,5.4299,2.0976e-07,411.5226,2.9718e-09,2.222e-10,5.3789,1.9635,4.2771e-06,4.2771e-06,
21,5.4379,4.9227e-05,1371.7421,2.9718e-09,2.222e-10,5.3789,1.9635,4.2989e-06,4.2989e-06,
22,5.4574,0,4572.4737,4.1707e-09,4.5991e-10,5.3789,1.9635,6.2204e-06,6.2204e-06,
23,5.4779,1.5489e-08,4572.4737,7.7526e-10,5.7965e-11,5.3789,1.9635,6.5541e-06,6.5541e-06,
24,5.4979,9.4711e-09,4572.4737,7.6579e-10,8.4463e-11,5.3789,1.9635,5.9925e-06,5.9925e-06,
25,5.5238,3.6006e-09,4572.4737,1.3116e-10,9.8066e-12,5.3789,1.9635,4.2967e-06,4.2967e-06,
26,5.5447,3.282e-09,4572.4737,8.7032e-14,1.2489e-14,5.3789,1.9635,3.9651e-06,3.9651e-06,
27,5.82,8.6207e-09,15241.579,3.6967e-09,2.7648e-10,5.3789,1.9635,2.4603e-05,2.4603e-05,
28,5.8449,0.0016217,15241.579,3.0796e-13,2.3021e-14,5.3789,1.9635,2.1415e-08,2.1415e-08,
29,5.8534,5.378e-09,50805.2634,3.0796e-13,2.3021e-14,5.3789,1.9635,5.8793e-10,5.8793e-10,
30,5.8621,0,169350.8781,3.0796e-13,2.3021e-14,5.3789,1.9635,2.1415e-08,2.1415e-08,
