"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.9248,5.0867,4.4177e-05,NaN,NaN,NaN,NaN,1,5.114,0.2732,0.043789,
1,1.0434,1.2156,0.039358,1,0,1.6383,1,1.8685,1.2156,0,0,
2,0.62999,0.26842,0.077359,1,0,0.68545,1,1.8685,0.26842,0,0,
3,0.50867,0.032753,0.11536,1,0,0.39855,1,1.8685,0.032753,0,0,
4,0.49555,0.036939,0.15143,1,0,0.45878,1,1.8685,0.036939,0,0,
5,0.49135,0.30477,0.18776,1,0,0.22989,1,5.451,0.30477,0,0,
6,0.48893,0.36969,0.22478,1,0,0.12543,1,18.6999,0.36969,0,0,
7,0.48841,0.2603,0.26212,1,0,0.11742,1,85.6101,0.2603,0,0,
8,0.48818,0.10102,0.29953,1,0,0.084556,1,103.8361,0.10102,0,0,
9,0.48803,0.07784,0.33606,1,0,0.010792,1,103.8361,0.07784,0,0,
10,0.48801,0.005921,0.37181,1,0,0.019773,1,103.8361,0.005921,0,0,
11,0.48801,0.00064638,0.40899,1,0,0.010314,1,103.8361,0.00064638,0,0,
12,0.48801,0.00036153,0.44609,1,0,0.01323,1,103.8361,0.00036153,0,0,
13,0.48801,2.0315e-05,0.48337,1,0,0.00085379,1,103.8361,2.0315e-05,0,0,
14,0.48801,5.8384e-06,0.51991,1,0,0.0035939,1,103.8361,5.8384e-06,0,0,
15,0.48801,3.1388e-06,0.55604,1,0,0.00064913,1,103.8361,3.1388e-06,0,0,
16,0.48801,7.8272e-06,0.59307,1,0,0.00097095,1,103.8361,7.8272e-06,0,0,
17,0.48801,2.8186e-06,0.62985,1,0,0.00041414,1,103.8361,2.8186e-06,0,0,
18,0.48801,1.7099e-06,0.66669,1,0,0.00056015,1,103.8361,1.7099e-06,0,0,
19,0.48801,8.0369e-07,0.70323,1,0,0.00011666,1,103.8361,8.0369e-07,0,0,
