"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,14041.1501,7158.5072,804.507,14043.9551,
1,0.031229,14040.3536,7158.1089,804.507,14043.6808,
2,0.058353,14041.2708,7158.5675,804.507,14044.0181,
3,0.08874,14040.7276,7158.2959,804.507,14043.7146,
4,0.12849,14040.8058,7158.335,804.507,14043.1092,
5,0.16471,14040.7839,7158.3241,804.507,14043.6547,
6,0.19855,14040.5872,7158.2257,804.507,14044.0388,
7,0.23067,14040.9293,7158.3968,804.507,14043.2311,
8,0.26152,14040.8626,7158.3634,804.507,14043.7951,
9,0.28901,14040.7092,7158.2867,804.507,14043.6811,
10,0.31593,14040.5373,7158.2008,804.507,14043.3875,
11,0.34227,14040.6051,7158.2347,804.507,14043.4621,
12,0.37273,14040.9096,7158.3869,804.507,14044.02,
13,0.40445,14040.859,7158.3616,804.507,14043.6494,
14,0.429,14040.7287,7158.2965,804.507,14043.6767,
15,0.45731,14040.5382,7158.2012,804.507,14043.6441,
16,0.48676,14040.8287,7158.3465,804.507,14043.9401,
17,0.51935,14041.0705,7158.4674,804.507,14043.5013,
18,0.55215,14040.8857,7158.375,804.507,14043.4433,
19,0.58402,14040.4735,7158.1689,804.507,14043.9641,
20,0.61541,14040.6099,7158.2371,804.507,14043.487,
21,0.64688,14040.3358,7158.1,804.507,14043.6403,
22,0.67044,14040.9367,7158.4005,804.507,14043.2923,
23,0.69205,14040.7525,7158.3084,804.507,14043.293,
24,0.72528,14041.1266,7158.4954,804.507,14043.3753,
25,0.75491,14040.4253,7158.1448,804.507,14043.7414,
26,0.77807,14040.908,7158.3861,804.507,14043.7269,
27,0.79981,14040.563,7158.2136,804.507,14043.9823,
28,0.82148,14040.4583,7158.1613,804.507,14043.1624,
29,0.84372,14040.6049,7158.2346,804.507,14043.6162,
30,0.8684,14040.5214,7158.1928,804.507,14043.5181,
