"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,10.3823,5.927,132.998,16.1965,
1,0.2898,0.021799,0.0109,82.622,9.4273,
2,0.59204,0.10641,0.053204,24.7334,3.5718,
3,0.76975,0.030887,0.015443,22.506,3.1741,
4,0.77912,0.024619,0.012309,22.5189,3.1747,
5,0.78856,0.019833,0.0099167,22.5299,3.1751,
6,0.79856,0.016237,0.0081186,22.539,3.1754,
7,0.8108,0.0047722,0.0023861,22.5788,3.1773,
8,0.82044,0.0037476,0.0018738,22.5841,3.1774,
9,0.82927,0.0029574,0.0014787,22.5888,3.1775,
10,0.83686,0.0023574,0.0011787,22.5928,3.1777,
11,0.84448,0.0018926,0.00094632,22.5962,3.1778,
12,0.85236,0.0015411,0.00077056,22.5991,3.1779,
13,0.86587,0.00045922,0.00022961,22.6113,3.1785,
14,0.87335,0.00036175,0.00018088,22.6129,3.1785,
15,0.88036,0.00028531,0.00014266,22.6144,3.1786,
16,0.88748,0.00022637,0.00011318,22.6156,3.1786,
17,0.89429,0.00018118,9.0589e-05,22.6167,3.1787,
18,0.90098,0.00014686,7.343e-05,22.6176,3.1787,
19,0.91513,4.4031e-05,2.2016e-05,22.6213,3.1789,
20,0.92497,3.4706e-05,1.7353e-05,22.6219,3.1789,
21,0.93922,2.7334e-05,1.3667e-05,22.6223,3.1789,
22,0.94968,2.1699e-05,1.085e-05,22.6227,3.179,
23,0.96255,1.7315e-05,8.6574e-06,22.623,3.179,
24,0.97481,1.4018e-05,7.009e-06,22.6233,3.179,
25,0.98924,1.1525e-05,5.7626e-06,22.6236,3.179,
26,0.9992,3.3284e-06,1.6642e-06,22.6246,3.179,
27,1.0083,2.6104e-06,1.3052e-06,22.6248,3.179,
28,1.0176,2.0657e-06,1.0328e-06,22.6249,3.1791,
29,1.027,1.6484e-06,8.242e-07,22.625,3.1791,
30,1.0362,1.3308e-06,6.6539e-07,22.6251,3.1791,
