"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,5.8892,4.1203,41.8257,9.4452,
1,0.12803,0.28377,0.14188,25.4374,1.9435,
2,0.21691,0.022585,0.011293,25.8333,1.8344,
3,0.23134,0.022585,0.011293,25.8333,1.8344,
4,0.24144,0.022585,0.011293,25.8333,1.8344,
5,0.25054,0.022585,0.011293,25.8333,1.8344,
6,0.39547,0.0019559,0.00097795,25.9386,1.7907,
7,0.42464,0.0019559,0.00097795,25.9386,1.7907,
8,0.44237,0.0019559,0.00097795,25.9386,1.7907,
9,0.45852,0.0019559,0.00097795,25.9386,1.7907,
10,0.47497,0.0019559,0.00097795,25.9386,1.7907,
11,0.4913,0.0019559,0.00097795,25.9386,1.7907,
12,0.50726,0.0019559,0.00097795,25.9386,1.7907,
13,0.69899,0.00022156,0.00011078,25.9673,1.7781,
14,0.73056,0.00022156,0.00011078,25.9673,1.7781,
15,0.76539,0.00022156,0.00011078,25.9673,1.7781,
16,0.79855,0.00022156,0.00011078,25.9673,1.7781,
17,0.83452,0.00022156,0.00011078,25.9673,1.7781,
18,0.87005,0.00022156,0.00011078,25.9673,1.7781,
19,0.90883,0.00022156,0.00011078,25.9673,1.7781,
20,0.94747,0.00022156,0.00011078,25.9673,1.7781,
21,0.98756,0.00022156,0.00011078,25.9673,1.7781,
22,1.0199,0.00022156,0.00011078,25.9673,1.7781,
23,1.0484,0.00022156,0.00011078,25.9673,1.7781,
24,1.0768,0.00022156,0.00011078,25.9673,1.7781,
25,1.1301,0.00022156,0.00011078,25.9673,1.7781,
26,1.1651,0.00022156,0.00011078,25.9673,1.7781,
27,1.1993,0.00022156,0.00011078,25.9673,1.7781,
28,1.2327,0.00022156,0.00011078,25.9673,1.7781,
29,1.2671,0.00022156,0.00011078,25.9673,1.7781,
30,1.3217,0.00022156,0.00011078,25.9673,1.7781,
