"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,31.4676,11.2212,0.00010686,NaN,NaN,NaN,NaN,1,10.1301,3.0661,2.0296,
1,27.1706,10.8406,0.09935,1,0,2.0246,1,3.8418,7.3724,0.12745,0.063723,
2,26.1661,17.2951,0.12486,0.25,0,0.74534,1,17.0118,6.1094,0.089224,0.044612,
3,26.1723,3.9891,0.14317,0.25,0,0.54591,1,17.0118,6.1231,0.02397,0.011985,
4,25.6973,5.2853,0.16183,0.5,0,0.31196,1,17.0118,5.9078,0.014406,0.0072031,
5,25.5192,0.90459,0.20225,1,0,0.27347,1,17.0118,5.5483,0.098638,0.052534,
6,25.569,2.2333,0.21282,1,0,0.2287,1,23.1487,5.4217,0.00098225,0.00049112,
7,25.6514,2.245,0.22162,1,0,0.096558,1,51.1321,5.3927,0.00020827,0.00010413,
8,25.7574,4.0706,0.23062,1,0,0.12493,1,113.8876,5.3883,9.6786e-06,4.8393e-06,
9,25.7145,1.4845,0.2399,0.25,0,0.061171,1,460.1107,5.385,5.1087e-06,2.5543e-06,
10,25.6871,2.3353,0.2495,0.25,0,0.052164,1,768.9891,5.3799,2.0972e-06,1.0486e-06,
11,25.6738,1.2018,0.25848,1,0,0.033482,1,1003.5534,5.3717,0.097347,0.048674,
12,25.6716,1.4567,0.26829,0.03125,0,0.0047555,1,1160.1036,5.3774,9.9927e-07,4.9964e-07,
13,25.6788,0.41155,0.27937,1,0,0.015843,1,1160.1036,5.372,1.3775e-06,6.8875e-07,
14,25.6824,0.095601,0.28899,1,0,0.0071778,1,1160.1036,5.3785,0.23087,0.11544,
15,25.6825,0.5414,0.29974,0.0019531,0,0.00017312,1,1160.1036,5.372,0.068897,0.034449,
16,25.6833,0.0059002,0.30896,1,0,0.0018867,1,1160.1036,5.3719,1.3791e-06,6.8955e-07,
17,25.6833,0.25873,0.31903,0.0019531,0,9.8831e-05,1,1160.1036,5.3719,1.379e-06,6.8951e-07,
