"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,79.7556,4.4555e-05,NaN,NaN,NaN,NaN,NaN,28.3424,28.3424,
1,62.3026,0.080406,16.0814,0.03125,0,3.3695,1,30.1751,30.1751,
2,62.6758,0.11622,0.97297,1,0,0.95841,1,17.5943,17.5943,
3,34.4478,0.2083,29.5446,0.03125,0,4.4926,1,12.8817,12.8817,
4,34.6549,0.2459,0.56904,0.5,0,0.56591,1,12.4352,12.4352,
5,34.1409,0.33061,4.9598,0.0625,0,2.0719,1,6.996,6.996,
6,33.1435,0.40855,0.42885,1,0,0.42753,1,2.8673,2.8673,
7,36.1583,0.50576,4.9648,0.015625,0,2.0809,1,1.2739,1.2739,
8,36.2216,0.55163,0.078033,0.125,0,0.078026,1,1.2177,1.2177,
9,36.7423,0.62934,2.7589,0.0039063,0,1.6107,1,0.83795,0.83795,
10,36.5057,0.66398,0.13888,1,0,0.13884,1,0.31928,0.31928,
11,36.9951,0.73666,0.98735,0.0625,0,0.86401,1,0.076956,0.076956,
12,36.9803,0.77391,0.010643,0.03125,0,0.010643,1,0.076353,0.076353,
13,36.9499,0.85174,0.79193,0.0019531,0,0.72495,1,0.0074833,0.0074833,
14,36.9528,0.88571,0.011339,1,0,0.011339,1,0.0019517,0.0019517,
15,36.9252,0.99318,0.24893,3.0518e-05,0,0.24718,1,0.00025814,0.00025814,
16,36.9633,1.062,0.19113,3.0518e-05,0,0.1895,1,4.1743e-05,4.1743e-05,
17,36.9216,1.1743,0.090915,1.5259e-05,0,0.090752,1,5.9197e-06,5.9197e-06,
18,36.9212,1.2109,0.0002625,0.25,0,0.0002625,1,5.5011e-06,5.5011e-06,
