"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,95.0558,31.1249,5.5882e-05,NaN,NaN,NaN,NaN,17.6347,17.6347,
1,85.9359,17.6399,0.048541,0.5,0,1.6625,1,2.8702,2.8702,
2,79.5571,44.0446,0.09064,0.0625,0,1.192,1,3.3006,3.3006,
3,78.007,12.259,0.12393,1,0,0.25591,1,0.8347,0.8347,
4,72.8337,12.3311,0.15776,0.25,0,0.51834,1,1.1243,1.1243,
5,72.6895,14.2056,0.19165,0.0078125,0,0.039284,1,1.1372,1.1372,
6,72.5556,13.4413,0.22954,0.015625,0,0.037892,1,1.1419,1.1419,
7,72.5096,21.233,0.2641,0.00097656,0,0.018154,1,1.1461,1.1461,
8,72.4541,15.0237,0.29517,0.0078125,0,0.022633,1,1.1458,1.1458,
9,72.4504,71.8956,0.32882,7.6294e-06,0,0.0017553,1,1.1458,1.1458,
10,72.4002,15.9438,0.36242,0.015625,0,0.026681,1,1.1402,1.1402,
11,72.3931,29.7716,0.40171,0.00012207,0,0.0034244,1,1.1402,1.1402,
12,69.4913,188.175,0.46728,0.0078125,0,1.0336,1,1.1503,1.1503,
13,69.3424,12.1065,0.50563,0.5,0,0.17542,1,1.0869,1.0869,
14,66.0002,11.9109,0.54055,0.25,0,0.34483,1,1.0478,1.0478,
15,57.9923,14.9664,0.58227,0.25,0,1.1971,1,0.43367,0.43367,
16,55.5629,98.9806,0.73926,0.0078125,0,1.4518,1,0.12319,0.12319,
17,53.0741,784.6943,0.84434,0.00024414,0,0.76308,1,0.0058037,0.0058037,
18,53.0514,11.7089,0.88391,1,0,0.0095364,1,0.0014514,0.0014514,
19,53.0497,11.6733,0.92105,0.00048828,0,0.00023773,1,0.0014514,0.0014514,
