"iter","time","maxviolation","meanviolation","cost",
0,0,15.421,15.421,77.0619,
1,0.22516,0.42006,0.42006,17.7561,
2,0.25689,0.070443,0.070443,18.2408,
3,0.26858,0.020371,0.020371,18.3971,
4,0.27693,0.016079,0.016079,18.4174,
5,0.28585,0.012748,0.012748,18.4352,
6,0.29459,0.010182,0.010182,18.4505,
7,0.30188,0.0082137,0.0082137,18.4636,
8,0.30891,0.0067142,0.0067142,18.4747,
9,0.31608,0.005591,0.005591,18.4839,
10,0.32909,0.0015468,0.0015468,18.5292,
11,0.33614,0.0012242,0.0012242,18.5347,
12,0.34268,0.00097543,0.00097543,18.5396,
13,0.34918,0.00078445,0.00078445,18.5437,
14,0.35587,0.0006388,0.0006388,18.5472,
15,0.36242,0.00052899,0.00052899,18.5501,
16,0.37473,0.00014867,0.00014867,18.5639,
17,0.38267,0.00011746,0.00011746,18.5657,
18,0.38962,9.3402e-05,9.3402e-05,18.5672,
19,0.39624,7.4905e-05,7.4905e-05,18.5684,
20,0.40229,6.076e-05,6.076e-05,18.5695,
21,0.4107,5.0076e-05,5.0076e-05,18.5705,
22,0.42213,1.4282e-05,1.4282e-05,18.5747,
23,0.42872,1.1159e-05,1.1159e-05,18.5753,
24,0.43522,8.8754e-06,8.8754e-06,18.5757,
25,0.44154,7.1159e-06,7.1159e-06,18.5761,
26,0.44849,5.7702e-06,5.7702e-06,18.5765,
27,0.45498,4.7455e-06,4.7455e-06,18.5767,
28,0.46374,1.5619e-06,1.5619e-06,18.5779,
29,0.47068,1.0662e-06,1.0662e-06,18.5782,
30,0.47768,8.5352e-07,8.5352e-07,18.5783,
