"iter","time","maxviolation","meanviolation","cost",
0,0,24.0421,24.0421,89.5538,
1,0.24593,0.61534,0.61534,30.5318,
2,0.33697,0.053357,0.053357,31.3921,
3,0.34393,0.053357,0.053357,31.3921,
4,0.46413,0.0046339,0.0046339,31.6419,
5,0.47564,0.0046339,0.0046339,31.6419,
6,0.4896,0.0046339,0.0046339,31.6419,
7,0.50209,0.0046339,0.0046339,31.6419,
8,0.51507,0.0046339,0.0046339,31.6419,
9,0.52876,0.0046339,0.0046339,31.6419,
10,0.54025,0.0046339,0.0046339,31.6419,
11,0.58047,0.00046914,0.00046914,31.7129,
12,0.59296,0.00046914,0.00046914,31.7129,
13,0.6056,0.00046914,0.00046914,31.7129,
14,0.61781,0.00046914,0.00046914,31.7129,
15,0.63019,0.00046914,0.00046914,31.7129,
16,0.64474,0.00046914,0.00046914,31.7129,
17,0.65939,0.00046914,0.00046914,31.7129,
18,0.67577,0.00046914,0.00046914,31.7129,
19,0.69222,0.00046914,0.00046914,31.7129,
20,0.70939,0.00046914,0.00046914,31.7129,
21,0.7284,0.00046914,0.00046914,31.7129,
22,0.74789,0.00046914,0.00046914,31.7129,
23,0.769,0.00046914,0.00046914,31.7129,
24,0.79093,0.00046914,0.00046914,31.7129,
25,0.81583,0.00046914,0.00046914,31.7129,
26,0.84244,0.00046914,0.00046914,31.7129,
27,0.86433,0.00046914,0.00046914,31.7129,
28,0.88669,0.00046914,0.00046914,31.7129,
29,0.90855,0.00046914,0.00046914,31.7129,
30,0.92916,0.00046914,0.00046914,31.7129,
